Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CS03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	52	34.7114265	42.53993928			5.294066295		0	0.038254046	0	0	9.897123277	0	1.522871759	4.478367418	1.517949533
1		CS03_03	PM10	19.66711066	5.004092627	16.67867602	1.125570547	691	50.52509308	2.092960663		12.29596809	10.85141599	16.74979031	0	0	0	0	1.90679878	4.550182447	0	1.027797069	0
5		CS03_03	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	24	73.12951684	0			0		0	13.29371333	0	0	0	0	0	13.57676834	0
6		CS03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	7.051561773	29.67134416			0		25.32672882	0.023507517	0.269840215	1.094799954	1.226287801	0.199055905	0	0	35.13687551
4		CS03_03	PM10	10.61576996	3.676468156	12.72184183	1.213217373	398	35.99737287	5.949510261			13.72909546	16.27313644	1.057187933	0.826610066	0	4.024475068	4.636987671	0.50822529	4.072412103	2.306833863	10.61814874
7		CS03_03	PM2.5	2.90536862	1.923338301	6.229648392	1.062957658	88	2.584369481	7.046536356			0		35.59313715	0	0	0	0	3.863175958	17.04075634	10.74293405	23.12909514
8		CS03_03	PM10	7.375166496	3.06436839	10.10958492	1.102770034	363	9.185618162	3.040174395	34.42296684		0		33.41775537	1.791272499	0.883786008	4.119776934	6.237669662	3.520625457	0	0	3.380354121
9		CS03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	33	0	49.87797439			5.820131674		20.60602605	0	15.43771178	8.00242275	0	0.255735149	0	0	0
12		CS03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	20	11.2653397	55.04171848			0.012484771		27.25979984	5.043688789	0.125992438	0.134572154	0.150939263	0.170873909	0.207014685	0.25841496	0.329151959
10		CS03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	66	44.33898032	18.83611679			0		0.00317138	18.67908239	0	0	9.746573865	0	2.853581123	4.669154808	0.873348489
13		CS03_03	PM2.5	1.676174204	1.46088031	5.410161198	1.389605083	89	0	33.11230838			0.775951706		55.30532598	0	2.328183688	0.623924891	1.687412336	2.073513903	1.797592454	2.295783907	0
15		CS03_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	99	33.62194002	10.62130705			0		0	6.54515177	2.065652236	0.591159984	0	0	3.543427214	17.883645	25.12771487
14		CS03_03	PM10	49.16777664	7.912165161	32.69166018	1.729750711	1560	53.26693058	0		3.090845607	1.11465659	12.51640171	2.559490129	19.31170076	2.849088609	0	0	0	0.924687739	4.103593901	0.262592756
16		CS03_03	PM2.5	0.893959575	1.066876133	4.328128958	1.6675261	37	0	24.64566976			0		0	1.114978734	0	0	27.92038321	0	13.68169636	25.52899718	7.108275592
22		CS03_03	PM2.5	1.117449469	1.192803778	4.590674005	1.50077349	47	37.00831831	6.311053038			6.385145336		0.628820527	0	0	2.212327346	6.696794927	0.472297613	1.926789246	36.2572372	2.101206966
18		CS03_03	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	135	24.0886718	23.7994507			6.601522118		17.04764217	0.185621611	2.073945664	0	2.093189955	5.793502927	0	0	18.31644922
19		CS03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	76	41.22993052	0			0		0	4.529000074	4.113556445	7.700248063	23.09880257	6.324975938	6.919150054	0.888465438	5.195869133
17		CS03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	0	48.30734432			0		50.17723441	0.040015663	0.136061234	0.145021931	0.162356673	0.183481933	0.221634819	0.276003685	0.350850984
20		CS03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	0	29.31355238			7.020588964		27.03651786	0.021803603	0	0	20.48985511	0	3.653702885	4.33165729	8.132317662
21		CS03_03	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	106	0	14.12645429			1.47770429		34.90860164	0	2.371139266	7.99389407	6.760881841	18.81998479	13.54133189	0	0
23		CS03_03	PM10	28.94194125	6.070422069	26.01381936	1.860675841	1267	15.8882156	1.917786337	35.91155708		1.089448761		36.60471737	0.466465205	0.837283395	3.194179386	2.408805303	1.681538671	0	0	0
24		CS03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	31.10102415	18.5297206			1.579635404		25.64550042	0.023051995	0	0	0	12.97087818	6.479840726	3.670352697	0
25		CS03_03	PM10	5.698992292	2.693730193	10.18648259	1.448907166	224	0	34.65292156			0		32.35581219	0	13.96280974	19.02845353	0	0	0	0	0
26		CS03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	35	71.3817358	25.93041658			0		0	0.179443508	0	0	0	0	0	2.508403361	0
