Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
7		AG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	67.70681739	29.70304787			0.106804224		0.032811132	0.059454126		0.214388454	0.230260892	0.259366911	0.295060012	0.360327726	0.452483725	0.57917852
11		AG01_01	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	42	66.07674956	22.58521616			0.028547822		0.009249098	11.30024567		0	0	0	0	0	0	0
14		AG01_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	65	21.61325216	0			0		1.8653851	0		0	0	0	15.553087	51.62614584	9.342119098	0
18		AG01_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	20	23.04969579	3.822099417			0.050324382		0.014407966	0.072095462		0	0	13.44279498	17.53693521	10.93332246	31.07833266	0
19		AG01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	0	0			8.511002362		1.67519208	2.462031879		8.092416078	8.602766693	9.548047185	10.78173071	13.04720044	16.38910174	20.89051604
20		AG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	60.61093807	9.991925955			0		0.030120532	0.051064003		2.033772506	2.06157472	0.483635487	3.964175656	0	0	20.77279836
23		AG01_01	PM2.5	1.005704522	1.131593022	5.967103346	2.817389243	48	54.20073867	4.75383848			2.021569572		0.025596781	0		1.192949712	0	6.647611409	15.35376459	15.80393165	0	0
24		AG01_01	PM10	5.698992292	2.693730193	9.366995392	1.225159634	163	36.07234657	46.69744372			1.457609516		3.236337006	0		0	0	2.644629776	0	0	5.636351183	4.255272448
32		AG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	5.12618795			0		0.029727304	2.942837588		0	0	37.75562942	0	8.23739171	45.90823352	0
31		AG01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	36	81.7227006	0			0		0	17.37748086		0.696419133	0.203396962	0	0	0	0	0
35		AG01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	0	8.781711757			20.93037814		0.082937343	0		3.918999806	4.359982908	0	0	0	0	61.92599535
36		AG01_01	PM10	6.14597208	2.79737282	9.181348009	1.091471629	163	31.37441576	3.64879854			2.321686037		0	0.697416952		0	4.32144627	12.42205054	15.25025815	3.543085232	0	26.42083466
39		AG01_01	PM10	5.587247345	2.667190332	11.08286744	1.749429783	148	48.58857393	22.71511108			0		0.51700254	0		2.868688852	2.093526721	0	0	4.494758695	0	18.72234344
38		AG01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	18	35.2894485	52.83250809			0.798533391		1.314490288	7.707028836		0.186112197	0.199417514	0.224252953	0.25455826	0.309797633	0.388093479	0.49577402
37		AG01_01	PM10	51.84965536	8.125086559	29.29176813	1.31684736	1685	45.35290003	0.936839916	5.866607279		10.08105054	27.18412876	0	0.725606829		1.224328391	0	0	2.784298733	0	2.46804785	3.376191482
41		AG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	93.67345572	0			0		0.083859992	0.151505438		0.545376353	0.586055731	0.659691496	0.751182809	0.918349717	1.153639052	1.47688305
40		AG01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	24.94598031	44.79328096			27.25112736		0.042670936	0.073756895		0.261448114	0.280189258	0.315069663	0.357748359	0.435567554	0.545796147	0.69736829
43		AG01_01	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	35	0	37.0871067			0.210802234		46.04015946	11.95968762		0.436678249	0.464565679	0.519073009	0.585754681	0.705805328	0.877240207	1.113124657
42		AG01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	29	5.745021999	41.74484909			5.083432794		1.302319299	4.801348224		9.910220653	0	0	31.41281307	0	0	0
45		AG01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	18	68.84222627	26.555264			0.840681419		0.495449733	0.411902601		0.256101694	0.275016273	0.309706526	0.3522933	0.430140598	0.540058874	0.691163912
46		AG01_01	PM10	9.274830593	3.436434356	13.17003426	1.488188552	240	46.14997506	0			3.67137827		0	5.648755655		5.612572283	9.684293717	0	0	0	0	29.23302948
48		AG01_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	15	0	4.067115486			0.072869664		0.015413034	9.757833928		1.691210642	2.35619843	6.13777265	8.837641031	0	67.06394553	0
49		AG01_01	PM10	5.587247345	2.667190332	12.31869501	2.161332799	140	62.10608482	16.64317995			0		0	5.071751401		0	0.18683552	0.350738456	0	0.677756639	14.96365368	0
51		AG01_01	PM2.5	2.234898938	1.68687928	5.224513816	0.971905435	83	40.26688337	7.307575643			21.32699341		1.981641911	0.009951015		0	15.35094976	10.66586748	0	0	3.090127185	0
50		AG01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	22	0	0			0		6.823345274	10.9033443		52.8328836	23.95324707	0	5.487181619	0	0	0
53		AG01_01	PM2.5	3.017113566	1.959976608	6.492193438	1.111684066	94	24.87665713	15.80644697			10.58849394		2.850036323	0		0	0	13.58440965	11.99738979	0.249242201	20.04731447	0
52		AG01_01	PM2.5	4.469797876	2.385607556	8.918802963	1.41617	167	26.34636164	0			24.22039807		0.130407081	0		0	1.399966422	0	0	5.164091662	14.45738077	28.28139663
54		AG01_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	28	23.35698754	0			8.651805669		0.010888721	0.098507339		1.127125882	2.015580423	0	0	49.59095418	10.20560935	4.942539334
55		AG01_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	28	10.24882197	17.1976462			0.222853501		0.012019726	8.240947872		49.74263012	7.197380066	0	7.137702405	0	0	0
59		AG01_01	PM2.5	4.246307982	2.325202624	9.258245673	1.606334724	137	65.29415846	11.13053709			0.154670666	23.16913009	0	0.251501077		0	0	0	0	0	0	0
60		AG01_01	PM2.5	0.446979788	0.754395348	2.951699618	1.551124184	22	0	0			45.61735988		3.478144854	14.8807466		0	8.384940773	5.271182582	0	22.36762196	0	0
61		AG01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	30	28.32727432	0			16.58324599		0.016888538	0.269670598		0	54.80291247	0	0	0	0	0
66		AG01_01	PM2.5	3.24060346	2.03127164	6.306546055	0.976668965	71	40.94954729	8.019661903			0		0	5.419185758		1.360839233	0.739054056	0.187122321	0.396164833	0	35.81928611	7.109145075
68		AG01_01	PM10	24.47214337	5.582015826	30.15630094	2.957156198	700	84.85726118	0			0		2.109022997	4.201392829		3.013991565	1.105112024	0	0	0	4.713218659	0
67		AG01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	20	0	0			2.034334093		6.510361284	0.080042309		0	0	34.53219235	6.324221939	20.57501376	23.42172414	6.52211085
70		AG01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	0	0			0		0	0.152171636		0	0	43.25048625	0	14.67640847	31.7625314	10.15839502
