Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	31	42.91858077	0	2.294000052		0.011388458	0	1.363969874	1.463158149	4.68348451	8.855316788	0	38.4101063	0
3		AG01_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	61	51.99193358	0	1.580302231		0	0	0	0	3.368780017	0	0	32.44133294	10.61764807
5		AG01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	53	50.20722151	12.75480092	2.808808908		0.006959095	0	0	0	0	0	24.4893074	8.011948317	1.72094889
6		AG01_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	95	39.735955	9.807480872	0.876939669	28.08443308	0	3.886556625	0.658546481	12.21032888	4.73975949	0	0	0	0
7		AG01_03	PM2.5	3.128858513	1.995942481	7.651123341	1.488862589	111	67.89371371	17.79756695	11.8626073		0	2.446114086	0	0	0	0	0	0	0
8		AG01_03	PM2.5	0.782214628	0.997971241	4.21937924	1.811178799	52	51.12131238	8.94818306	0		0.004860764	0	0	0	2.145624906	0	1.214286219	0	36.56572998
10		AG01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	66	42.56464839	7.708757371	5.411914736	34.27764475	0.014284864	0.858791452	0	0	0	0	0	4.346128181	4.817819223
11		AG01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	48.35833609	17.52530932	0.038227433		0	27.41636038	4.279838502	1.389739849	0	0.327028963	0.256833527	0	0.40831985
14		AG01_03	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	142	51.4421165	29.31909859	4.93298173		0	1.071979292	0	0	0	0	13.23383301	0	0
13		AG01_03	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	49	68.3113575	0	0		1.575226337	0.195979909	0.460194098	0.575249828	3.109628335	4.259854183	6.595849991	0	14.91665542
15		AG01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	34.77923274	0	1.622286253		0.01099383	0.017023944	0	0	0	0	0	7.960671932	55.60979247
17		AG01_03	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	55	35.97578406	34.58618522	11.24451533		0.409222161	0	0.118171296	0	0	0	0	6.805363297	10.86075678
12		AG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	41.69246554	48.66094291	0.53110579		0.016122576	7.782516629	0	0	0.449114339	0.146718661	0.178572233	0.256487099	0.285953819
16		AG01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	53.39506269	40.05416036	0		0.404919265	0	1.095565781	0.83304001	0.24836408	0.365652051	0	0	3.603238612
20		AG01_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	55	54.87831831	0.816224329	21.33713663		0	7.872144133	2.33345367	0	0	12.76272237	0	0	0
19		AG01_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	20	66.14591479	18.92938614	12.03767881		0.041947063	0.361416023	0.223373668	0.239703385	0.26983968	0.306732464	0.37412555	0.469424855	0.600455888
22		AG01_03	PM2.5	1.899664097	1.555225852	5.410161198	1.226122132	118	51.91408396	0.895381719	10.6354095		0	12.40558028	0	0.365698384	16.77240133	0	7.011444867	0	0
24		AG01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	10	44.38405633	47.71314263	1.081729215		0.092399004	0.164507178	0.589152891	0.632646307	0.711790612	0.809982326	0.98929815	1.24204699	1.589254662
23		AG01_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	67	0	0	46.78186476		0	1.042035595	11.1914821	1.127608214	0	0	39.85701203	0	0
21		AG01_03	PM2.5	1.005704522	1.131593022	3.956834194	1.238840621	46	50.35980344	24.31580275	4.432774335		4.302308708	1.416866109	0	0	1.291234884	0.345265307	3.904672712	3.130896389	6.500373036
25		AG01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	41.99757278	45.75517476	3.011712991		0.037323125	6.487430632	0.24480063	0.262403139	0.295133004	0.335152796	0.408138521	0.511509879	0.653651636
27		AG01_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	24	51.74502134	0	0.01379829		3.499224037	0.030289637	0	0	0	44.71167028	0	0	0
29		AG01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	49	18.81239712	0.845597032	32.26857185		0.448828097	0	0	3.810999915	0.259157829	0	37.92907298	0	5.625371262
