Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AG01_02	PM10	13.63288352	4.166284485	15.48789406	1.400190577	337	48.792395	5.856823549	13.38681728		0.411206391	0.077718828		6.742743403	3.898058459	3.742109239	0	2.540545724	0	14.55157697
4		AG01_02	PM10	9.721810381	3.518265684	11.71670725	1.123709747	308	58.89054537	4.622985795	0.268917112		0.254520704	14.56676126		7.604568452	0.493654562	1.899645291	0.173763942	10.93696877	0.28767949	0
1		AG01_02	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	39	46.95216417	0	2.763496153		0.041715644	1.325624622		5.843686312	21.64751589	21.42581344	0	0	0	0
3		AG01_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	26	28.59452963	25.22110045	31.13899231		1.487903669	0.06813762		1.739092171	1.339906827	0.67192181	4.979322478	0	0	4.759086668
6		AG01_02	PM2.5	2.570133779	1.808976496	9.104450346	2.566503553	136	62.81245947	0	0		0	1.55518977		10.12542844	6.222157925	0	0	7.575083524	0	11.70967594
5		AG01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	17.35066921	0	2.329521067		0.039902228	9.090319276		33.58265162	12.74178177	8.838349581	16.02681428	0	0	0
7		AG01_02	PM10	10.05704522	3.578411335	15.1165993	1.808122854	403	33.75560939	1.379483659	9.944190085	30.32205999	0	0		4.569062963	4.278917238	3.604196012	3.777601942	2.231961675	0	6.136924401
9		AG01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	49.6925801	3.270983323		0	6.201082096		3.723748773	3.980517387	4.449206963	5.047021434	6.135802716	7.68981427	9.809242934
11		AG01_02	PM2.5	2.234898938	1.68687928	5.781455963	1.190163674	102	52.97694802	0.938563608	8.703003079		0.011634759	3.712423518		13.17414492	4.379696026	7.347827405	0	8.36622864	0	0.389527087
10		AG01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	21.83241695	0	0.420562224		2.098316327	0.016160969		0	0	34.1163516	19.11206841	12.52805442	5.712888017	4.16319631
13		AG01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	42.41563678	2.767760493	25.33674538		0.04871843	5.676181242		15.3480798	6.725875288	0	1.68100521	0	0	0
12		AG01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	15.799357	14.29111809	29.07859385		0.050323148	0.859760493		0	0	16.29780829	0	7.554028928	12.36793473	3.701071441
15		AG01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	40	50.13617277	26.60169005	6.074444577		12.85749376	0		1.17896283	0.861086883	0.306897797	0.34832051	0.42418316	0.531657878	0.679087127
17		AG01_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	28	37.47988343	31.77265227	8.6023435		0	0.226945686		10.07805094	7.570592314	0	0	0	3.481307998	0.788228028
19		AG01_02	PM2.5	1.340939363	1.306651072	5.672706244	1.909684335	66	6.03675209	11.94383949	0		6.145516038	0.94654737		0	5.42685315	13.1593883	16.23575985	9.437699616	0	30.66764176
16		AG01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	37	20.95932364	0	21.44170702		9.466044605	0		0	0	33.38936865	14.31270689	0	0.430856133	0
