Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AG02_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	55	26.52540803	28.20594907		29.7790885		6.658405811	8.241331577		0.07802028	0.054944807	0.061669387	0.069847272	0.084692653	0.105794414	0.134835963
4		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	0	0		0		5.291265994	91.01736546		0.982192345	0.303665246	0.33661183	0.376946712	0.448394893	0.551071856	0.692492258
2		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	42.96860993	0		3.712511435		0.009172942	0.019131912		41.02292061	7.128027081	0	5.139626563	0	0	0
5		AG02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	53	80.78246713	0		2.869354188		0	0.15573994		8.999121189	0	0	4.936969653	2.114925534	0.141420017	0
8		AG02_01	PM2.5	3.352348407	2.065996747	11.05101539	2.898980907	152	55.35090566	0		1.212092768	18.6502248	0	1.721013896		2.93865595	1.910956204	0	0	7.356066257	0.630040746	10.23003832
10		AG02_01	PM2.5	3.24060346	2.03127164	6.569091101	1.059680187	103	56.5530479	0		9.509016573		4.34143953	0.098049769		1.036322024	1.722972281	0	0	0	26.73915029	0
9		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	21.84031606	20.85678875		0		0.009461933	2.371403016		42.29009748	7.345419377	0	5.286514387	0	0	0
13		AG02_01	PM2.5	2.681878726	1.847883667	6.67784082	1.32319279	56	33.87071192	0		28.81016731		6.273309141	0		12.13707328	18.90874952	0	0	0	0	0
12		AG02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	55	48.17639291	28.1697154		13.48243207		9.130144119	0.343306432		0.063142425	0.067649287	0.07608945	0.086353294	0.105062616	0.131600385	0.168109499
11		AG02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	7	0	1.143378671		3.974403813		0.018907088	4.904852062		0	0	13.06862384	74.81380105	2.076038532	0	0
15		AG02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	13	74.27531481	24.40480143		0		0.017325123	0.031543378		0.113957759	0.122391793	0.137912412	0.156857353	0.191514939	0.240507093	0.307874661
14		AG02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	42	0	0		58.33137035		0	0		0.492531946	2.005171031	0	39.17092979	0	0	0
16		AG02_01	PM10	22.23724443	5.321028	27.99223646	2.804041018	724	70.53079009	0		1.838544197		0	26.46512389		0	0.504868431	0	0	0.660673203	0	0
19		AG02_01	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	105	57.64783025	0		18.90920401		0	1.455062721		0	0	0	0	0	0	21.98790461
18		AG02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	0	10.30810103		28.81175578		1.175406203	0.205762358		12.46944144	0	0	0	26.058653	18.66632402	2.304564975
17		AG02_01	PM10	6.14597208	2.79737282	12.79873949	2.120967198	226	59.44811106	6.400769204		15.88221341		0.455988385	5.819174275		2.520750836	1.737195998	0	0	0	7.735803723	0
20		AG02_01	PM10	7.263421549	3.04106487	9.738290157	1.038997031	268	51.95770264	0.267543714		7.373226434	34.05846357	2.760091424	1.237030979		0	0	0	0	0	2.345957235	0
22		AG02_01	PM10	6.369461974	2.847779989	9.81518782	1.203606753	187	40.86940289	0.589810126		1.910249144	36.8086189	0.36000777	0		0	0	0	9.27855745	6.549488008	3.633866459	0
21		AG02_01	PM2.5	3.24060346	2.03127164	8.361860816	1.716999281	104	44.55318749	10.51004082		0		0	41.39332175		0	0	0	0	0	0	3.54344435
26		AG02_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	49	36.03180945	11.35861799		10.45803949		0.004635138	0.012080229		0	11.42477542	7.595283538	0	0	4.980117083	18.13464761
27		AG02_01	PM2.5	2.458388832	1.769213915	7.311680631	1.730509503	78	63.0976975	0		2.379322425		3.570517898	5.564971268		1.202763058	0.965819973	0	1.370920707	0	0	21.84798419
23		AG02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	39	34.94204581	0		0		0.861323718	5.972345918		31.37265742	3.282963857	0	0	0	1.535984594	22.03267366
28		AG02_01	PM10	9.610065434	3.497987327	11.79360492	1.151746606	463	46.7254132	0		2.391618118	36.66634858	0.937326998	3.104470856		0	5.832005292	1.529765408	0	0	2.794764936	0.01828636
