Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
1		AG02_02	PM10	14.07986331	4.23403339	16.12173388	1.468977667	348	47.90689051	0	0.931288768		0	49.65414405		0	0	0	0	1.507683005	0	0	
3		AG02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	12	62.5279367	0	12.58339286		0.018168647	0.030729294		0	0	0	0	24.83977675	0	0	
4		AG02_02	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	51	49.99316335	14.06125128	7.609859109		0.004550425	0		5.164624006	11.62261367	6.012066826	2.884840406	1.856153831	0	0.790865254	
2		AG02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	25	94.93864775	0	3.376660123		0.022123716	0.040269142		0.145438989	0.156209117	0.176002597	0.200198963	0.244458974	0.306999544	0.392992282	
8		AG02_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	110	56.41508102	8.710861206	6.200487539		0	11.769104		0	0	0.068464637	14.7977069	1.628569327	0.409726799	0	
9		AG02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	44.18902099	36.12702787	14.91003036		0.053554564	0		0	0	1.878472976	0.476648146	0.7126424	0.752183143	0.900417846	
13		AG02_02	PM2.5	1.676174204	1.46088031	5.858353627	1.629379133	60	67.10640788	0	13.08937222		6.099859998	0		0.26629793	0	0	0	0	5.358025804	8.080036938	
11		AG02_02	PM10	22.01375454	5.294221643	17.57506088	1.116579609	668	37.26288676	1.384330261	0.858760159		0.920815207	2.426210791	46.82986736	1.608724147	0	0	0	7.154922932	0	1.553486101	
12		AG02_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	65	52.29469538	20.29831111	12.97023743		0.588290161	0		2.562279627	6.212708354	0	0	0	5.073486641	0	
10		AG02_02	PM2.5	4.134563035	2.294403878	8.284963152	1.321118216	170	56.23494983	0	3.354609758		1.076098438	30.31606376		3.392646462	0	0	2.019611374	0	3.606022149	0	
20		AG02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	47.93786705	0	7.584519684		0.012833126	29.3676883		0	0	0	1.512337197	0	13.58474791	0	
23		AG02_02	PM2.5	3.24060346	2.03127164	7.049135585	1.220213913	99	41.80545211	5.015312508	4.765744507		0.589193311	0		0	0	0	0	15.16105682	0	32.66324699	
22		AG02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	32	30.52093983	18.86996031	0		0.013596503	0		0	1.623304375	4.390479252	0	14.68845159	0	29.89327312	
25		AG02_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	75	43.75528395	20.7937479	30.0319463		0.007862872	0		0	0	2.034214325	0	3.376941755	0	0	
26		AG02_02	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	26	84.67456698	3.303833678	3.824864328		0.020538061	0.036678047		0	0	0	8.139512688	0	0	0	
21		AG02_02	PM10	10.50402501	3.657067134	13.88077173	1.459693297	235	44.43051815	9.124262631	13.24418038	26.82307065	0	0		0	0	0	0	0	6.377976388	0	
24		AG02_02	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	123	47.64747918	0	1.710045896	32.62149096	0	2.874920331		2.06372533	3.062867746	0	0	8.701212704	0	1.31826112	
28		AG02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	52	61.3689959	0	0.152963062		0	0.479157874		0	24.27571416	0	0	0.988203008	10.17546952	2.559497766	
32		AG02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	43.0981487	2.436804213	0		0	0.959713198		1.046815049	0	0	14.26290721	0	38.19561303	0	
30		AG02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	77.51357555	6.733531505	1.782912202		0.006698988	12.59969771		0.085864821	0	0	0.103737868	1.079141814	0.094836846	0	
33		AG02_02	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	101	53.94471884	15.27122855	15.41662961		2.040353604	0		5.532157794	0	0	0	2.197162621	5.597752333	0	
34		AG02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	0	0	76.9498229		4.174641147	0.49746749		1.689064875	1.801631786	2.014663257	2.279878594	2.760617249	3.446136042	4.386081174	
35		AG02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	1.774682663	0	0.717061432		0	0.009164033		15.214926	0	0	0.250610034	0	0	0	82.03355074
