Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
5		AG02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	27	7.565280795	5.966265127			11.71436086		0.008066881		0.012185443				7.948040962	12.96020895	0	0	38.75951767	11.44019961	3.625866771
6		AG02_03	PM10	6.928186708	2.970057456	11.34541249	1.478465292	279	48.38194847	12.17260286			0.346163381	35.57885289	0		0				1.069453266	0.705657247	0	0	0	1.745314151	0
4		AG02_03	PM10	10.39228006	3.637562637	11.60795753	1.031789052	381	42.26751924	0.611593388			0	18.08900684	0		1.947456785			32.50963092	0	0.676612323	1.463429723	0.32193677	2.112820372	0	0
1		AG02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	43	65.7738924	0			11.63202226		0.942309387		9.806207567				0	0	5.145541206	0	1.965188794	3.583870083	1.150968019
2		AG02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	44	44.73265111	0			13.09533417		0		0				0	1.313693356	0	0	0	0	40.85832834
8		AG02_03	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	38	13.26248795	0			0		0		29.31173742				0	0	36.25403643	21.17174417	0	0	0
7		AG02_03	PM10	5.922482186	2.746040517	9.923937539	1.323288131	251	58.76720548	0			0	31.317541	0		2.516861632				4.154426232	3.243966028	0	0	0	0	0
10		AG02_03	PM10	10.05704522	3.578411335	22.69082498	4.073993248	449	50.55547953	7.32049197			2.818150446	27.19546258	1.296797395		0.417915918				0	0	0	10.39570943	0	0	0
9		AG02_03	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	96	38.00472617	21.18690163			5.472589657		0		1.287175994				5.197114497	24.13023114	4.721274599	0	0	0	0
13		AG02_03	PM2.5	1.45268431	1.360005555	4.96196877	1.34873598	64	63.74950409	0			0		5.565357581		1.312380657				0	17.0664534	12.30630279	0	0	0	0
