Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AG03_02	PM10	8.045636177	3.200628398	10.71157268	1.134844151	298	61.25143766	0	21.13781422		0		0.12444352	0	0	0	0	9.580709785	0	7.905597985
2		AG03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	22	53.20689082	15.44254124	0.187641254		0		0.025800767	14.43125308	10.71325317	0	0	0	4.892397672	1.100223698
3		AG03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	19	68.09508204	0	7.150164247		0.155843468		23.53321314	0.227292278	0.090153347	0.101137056	0.114501372	0.13875016	0.173216616	0.220644102
4		AG03_02	PM2.5	3.352348407	2.065996747	6.863488203	1.118229051	156	42.60858297	0	0		0		0	0	0	0	0	0	57.39141107	0
5		AG03_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	111	49.0998745	15.67600071	3.686065227		3.355584666		0	0	0	0	0	0	28.1824708	0
6		AG03_02	PM2.5	0.670469681	0.923941834	3.508641765	1.461130645	35	97.66124487	0	0		0		0.95072249	0.124433485	0.133648608	0.150596665	0.171292457	0.209152699	0.262664771	0.336246146
7		AG03_02	PM10	5.475502398	2.640383718	11.08286744	1.785132432	242	50.95462203	3.840442374	4.75672558		0.391805964		17.10339338	0	0	8.65708217	14.29592371	0	0	0
8		AG03_02	PM2.5	1.340939363	1.306651072	4.853219051	1.397786314	70	54.99154329	0	0.292702252		0		8.973971009	9.020754695	26.72103345	0	0	0	0	0
9		AG03_02	PM2.5	3.911073142	2.231531534	8.208065488	1.370805454	137	57.29708672	1.401239913	9.482569247	27.77785361	0		0.535081699	0	0	0	2.924017049	0.320824608	0.26133561	0
11		AG03_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	67	30.78392744	0	26.89941227		0		0	27.68830657	0	0	14.43344057	0.194915885	0	0
13		AG03_02	PM10	5.810737239	2.72001111	8.918802963	1.089361538	205	52.7538836	15.28139859	2.320698462		0		2.214113437	0	0	0	0	0	27.42989957	0
14		AG03_02	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	37	51.34824514	18.96519661	11.89093515		0.426031509		0	0	0	0	0	0	11.31460667	6.05497621
16		AG03_02	PM2.5	3.352348407	2.065996747	7.465475959	1.32298826	97	37.532112	6.736008078	0.326358108		1.609875076		0	0	18.67020577	0	0	0	35.12544036	0
17		AG03_02	PM2.5	0.670469681	0.923941834	4.065583912	1.961809578	51	70.88003159	0	1.526333485		0.006594681		4.894030094	0.852367282	0	4.099729657	9.849014133	7.891885936	0	0
18		AG03_02	PM2.5	3.128858513	1.995942481	6.940385866	1.225099731	119	59.03298855	0	8.074715734		0		0.57026078	9.39315632	21.31500989	1.20949829	0	0	0.404375326	0
21		AG03_02	PM2.5	2.458388832	1.769213915	6.754738484	1.476918875	132	33.09422731	30.67242503	17.68272966		0		2.508473396	3.250631317	12.14784384	0.643674424	0	0	0	0
20		AG03_02	PM2.5	3.24060346	2.03127164	6.569091101	1.059680187	146	29.0685147	3.078921698	2.632416598	37.71105409	0		1.507493574	4.905288666	0	9.420315176	5.146345869	0	0	6.529641896
19		AG03_02	PM2.5	1.78791915	1.508790696	5.410161198	1.302754765	73	41.76969528	7.138936222	6.308700144	44.77746487	0.005205166		0	0	0	0	0	0	0	0
22		AG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	89.41378593	0	0		0.490021566		0.246237637	0.882478245	0.948193949	1.066497248	1.214615069	1.485028677	1.865441538	2.387695014
23		AG03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	40.01505077	0	13.28222603		0.01026703		0.016565682	0	0	13.49567771	16.92878902	9.90171209	4.74146232	1.608250663
