Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	56.36577606	16.39264524	0	0.023837789	25.3044188	0.253286026	0.178566098	0.200279593	0.226736558	0.274719903	0.342935999	0.436793314
2		AG03_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	72	64.89103436	0	0	0	1.185863651	6.587301195	3.781084716	0	9.050393105	6.60058707	2.402406	5.501329526
4		AG03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	60.78849435	0	0.156956562	0.019669664	0.351917022	4.313857481	6.480202079	0.54115979	0	0	0	27.34774351
6		AG03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	12.5381276	0	0	0	39.20351863	15.30879587	5.815263838	0.750416564	2.499464713	10.69939509	13.18501085	0
5		AG03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	55	90.54226875	0	1.31463334	0.111787114	0	0.719324732	0.772933662	0.869671535	0.990393013	1.210864261	1.521061826	1.94706656
8		AG03_03	PM2.5	1.899664097	1.555225852	5.672706244	1.348012472	77	0	0.723146368	0	0	18.7240079	3.630127758	0	1.649156585	27.13861167	0	35.31142771	12.82352656
7		AG03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	66.05049372	0	16.26577675	0.118617155	0.203004223	0.711309537	0.761378184	0.853639282	0.968701299	1.189002953	0	12.87808418
9		AG03_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	9	0	2.830453962	0.117159076	0.104135275	0.424346095	62.44657636	32.7724129	0	1.304907724	0	0	0
11		AG03_03	PM2.5	1.676174204	1.46088031	6.044001009	1.734283291	87	59.59236622	8.293616772	10.28490961	0	0	0	0	0	0	0	21.82911038	0
13		AG03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	0	2.463637665	0.262921373	20.23532838	45.74576318	8.355417848	22.93693274	0	0	0	0	0
12		AG03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	29	24.8634547	17.16916114	0.667654537	0.013632589	27.3979038	0	0	0	0	0	29.88819182	0
14		AG03_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	60	27.91745365	29.48969305	0	0.626048166	3.337477148	0	0	17.37997085	9.78346318	6.449688226	2.905165404	2.111031674
16		AG03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	45.10372579	1.910165325	0	0.925489515	0.021218519	0	0	0	40.3367281	0	0	11.70265749
15		AG03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	59	49.58359897	29.0664643	3.857073188	0.412309496	13.01849037	1.086686458	2.42295973	0.077717501	0	0	0	0.474696793
18		AG03_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	66	28.30038965	24.57286566	5.552468449	0.514904503	1.984521933	0	0	0	8.54716599	0	13.62357587	16.90410972
19		AG03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	84.47202444	0	0	8.14268887	0.181974552	0.648332899	0.695634214	0.782252662	0.889478158	1.08515285	1.361449901	1.741012
21		AG03_03	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	21	53.48467231	42.65066385	0	1.879069023	0	0	0.166355027	0.602506613	0.213015568	0.259874831	0.326295034	0.417550094
22		AG03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	0	22.43895829	2.498503216	0.023654706	3.075665236	0	21.64723277	9.141933918	0	26.3435483	14.83050585	0
