Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ru Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AI01_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	32	18.90586019	2.359935082		0		0.618170202	0.948197022		12.74528354	54.45352197	8.966392279	0	0	0	1.00264689
4		AI01_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	25	80.44753671	0		0		1.423104107	0		0	2.034773119	9.837119281	0	0	6.257467717	0
2		AI01_01	PM10	19.44362076	4.975579046	16.78742574	1.153403337	773	23.46967608	1.5651308	27.49254704	4.903200641		33.03758502	1.074111834		2.312080003	3.760707751	0	0	2.384956926	0	0
5		AI01_01	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	44	68.13192368	8.585426211		0		20.98339647	0.513972947		0.049856567	0.053368491	0.067644118	0.068024854	0.082747586	0.18218339	1.281455904
6		AI01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	65	44.16816831	25.97191334		0		11.25978753	0		4.919684306	0	0	12.04116717	0	0	1.639291644
7		AI01_01	PM10	47.71509233	7.794404559	25.67437665	1.099345451	1663	51.19780898	0		5.974049121	35.65197885	0.330064795	0.88287387		0	0.168508885	2.592145465	0	0	3.202560544	0
8		AI01_01	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	108	0	28.23286951		4.118999839		38.448897	3.045714833		0	0	11.42446995	5.898754299	4.934497923	2.476814017	1.418984029
10		AI01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	18.00090671	14.40145671		0		16.15545452	0.032514302		11.95875779	0	0	0	33.19538534	0	6.25552237
9		AI01_01	PM10	7.039931655	2.993913722	13.4325793	2.039578943	245	35.07438302	0	22.71180302	0		27.60168016	5.670944974		0	0	0	0	6.282908469	2.658277936	0
12		AI01_01	PM2.5	3.575838301	2.133752265	9.181348009	1.875966862	128	54.85477448	0		4.86725606		8.826927096	0.903686974		0	0	0	0	0	16.75090641	13.79644126
