Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Zn Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	0		0.135025254			81.02816343	0.527854636				1.719807833	1.823739707	2.029905841	2.285174467	2.743262425	3.401787952	4.305272549
3		AI01_02	PM10	6.14597208	2.79737282	15.1165993	2.958746488	233	36.01740003	0	27.49420702	0.60735154			20.23969591	1.914744079				0	0	0	3.085678443	10.64092666	0	0
4		AI01_02	PM2.5	2.458388832	1.769213915	7.388578295	1.767100791	93	42.12881029	6.758435071		0			14.06731158	1.363329589				3.371832147	0	0	0	18.48758608	13.08668107	0.736012682
2		AI01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	0	0		15.4596433			0.24985713	66.07002616				1.730710641	1.830058917	2.03202609	2.281673066	2.72683762	3.368955478	4.250205308
5		AI01_02	PM10	5.363757451	2.613302144	11.79360492	2.063546002	194	31.05921447	31.52305484		0			10.76540649	13.92135173				1.372362394	0	3.863818944	4.554436728	1.865778118	1.074577123	0
7		AI01_02	PM2.5	0.670469681	0.923941834	3.694289147	1.619842392	32	0.656149583	33.31008554		0			30.29174507	0.018197886				10.55695787	18.22969615	0	0	3.45550403	2.380851284	1.100812107
6		AI01_02	PM2.5	1.229194416	1.251023157	5.224513816	1.767100791	62	48.4076947	32.96763897		0			12.87205368	5.424308032				0.050269999	0.029699813	0.033384573	0.037861161	0.046010455	0.057578663	0.073496165
8		AI01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	35	62.68071532	0		0			24.53847378	5.179664493				0	0	0	0	7.60114342	0	0
10		AI01_02	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	31	31.58782721	45.06313205		0			0.015718686	0				1.53459534	0	0	0	5.257997289	16.54073	0
14		AI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	26.12096965	1.878850162		0			0.008807682	0.013721664				0	8.964657038	18.74924153	41.20521545	2.931286208	0	0.127247325
11		AI01_02	PM2.5	2.011409044	1.600314199	7.01728353	1.948174193	66	35.28515399	61.05901599		0			0	0				1.309152413	0.853778142	0	0	1.492894907	0	0
13		AI01_02	PM2.5	3.017113566	1.959976608	6.754738484	1.20341538	79	1.102642901	28.48769426		3.711343557			33.0380857	0.010353091				11.27684936	16.45678282	0	0	0	5.916243047	0
12		AI01_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	25	60.64891219	3.673570603		1.581732929			32.55808949	0.084386423				0.132565515	0.141711161	0.159061863	0.180194201	0.218563643	0.273090717	0.348121044
16		AI01_02	PM10	9.274830593	3.436434356	13.9576694	1.671513793	285	46.55794799	6.947505474		5.889245868	21.66611552		0.782667939	0.95150033				9.708576649	0	0	7.49643147	0	0	0
17		AI01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	19	0	91.57367349		2.338549495			0.083884713	0.147648738				0.526760472	0.565278623	0.63582696	0.723057799	0.882295333	1.107086521	1.415943913
18		AI01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	0	39.59434032		0			31.99754953	0.034625182				0	0.351641024	0	0	0	5.645154044	22.37669826
20		AI01_02	PM2.5	3.687583248	2.166835669	9.81518782	2.078957119	119	0	34.8703891		7.680661231			17.141743	0				11.90622374	0	0	0	11.4715673	10.42321324	6.50620535
21		AI01_02	PM2.5	4.134563035	2.294403878	7.388578295	1.050708578	121	64.37350512	0		3.37179713			0.183698419	22.60555923				1.081912126	0	0	8.383534849	0	0	0
19		AI01_02	PM10	7.59865639	3.110451704	11.26851482	1.329801108	225	32.5540334	4.756863415	33.6407125	6.846997142			14.59626257	1.122619025				0	0	0	0	6.482513249	0	0
27		AI01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	11	44.24770176	19.88372058		26.97238624			0.689357193	5.801171064				0.21827966	0.233668811	0.262553967	0.297815003	0.361996843	0.453053182	0.578295067
23		AI01_02	PM10	19.55536571	4.989856203	18.20890069	1.349247582	747	50.93407631	0.786851067	10.64106002	4.257817194	23.36358875		6.880187988	1.654506475				0	0	0	1.08646825	0.395451253	0	0
22		AI01_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	46	78.02484035	1.451070514		3.411227092			0	16.32071584				0	0	0.256822375	0.093208393	0.113201444	0.148212689	0.180688919
26		AI01_02	PM10	10.7275149	3.695767335	12.42744473	1.145657203	270	34.9565357	14.49693739		1.760073751			13.05915266	12.45595142				0	0	4.227726161	0	11.09582633	0	7.947800308
25		AI01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	13	0	38.98814917		22.73367643			29.65002954	0				5.493807793	1.782372035	0	0.426119613	0.357473083	0	0.568377739
28		AI01_02	PM10	14.19160826	4.250801905	17.65195854	1.747206832	343	60.50035357	8.516553044		0			2.786763012	15.34307152				0	2.148223855	0	0	0	0	10.70502847
30		AI01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	55	41.32285118	0		7.294902205			0.584751042	0				0	0	0	0	0	0	50.79749227
29		AI01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	45	35.43849289	21.92777246		9.371653944			0.213253871	0.037328745				9.987326711	16.93384498	0	0	0	6.090326235	0
34		AI01_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	44	4.28629145	14.00800198		0.048329544			21.73282951	0				4.629765823	10.4286395	18.0444926	0	17.37201065	6.074466184	3.375169262
35		AI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	0	16.19000435		24.52693433			0.042556811	10.35713628				32.07302988	14.85491693	0	1.955421828	0	0	0
33		AI01_02	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	37	42.80179739	33.74018669		2.131631598			19.71667409	0.898387656				0.103895145	0.064914901	0.072953617	0.082728593	0.100521091	0.125777046	0.160526182
31		AI01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	34	27.83980072	23.09387326		0.067545264			16.99139029	0.696674315				0	0	4.463546351	25.1640588	0.819288567	0	0.86381929
36		AI01_02	PM2.5	2.90536862	1.923338301	6.492193438	1.154441146	91	47.78048396	7.632742822		5.169855803			10.10130644	3.510067612				1.268712245	0	11.92712933	0	4.448994622	0	8.160703629
32		AI01_02	PM2.5	1.005704522	1.131593022	4.328128958	1.482245422	45	37.64688969	24.50307161		0.99402545			0	0.013140167				26.83909535	4.989875481	0	4.897390306	0	0	0.116511493
40		AI01_02	PM10	7.59865639	3.110451704	14.74530453	2.276988424	245	41.41590297	0		4.99012582	20.89284658		1.060998999	0.90704076				1.291645318	0.028575526	0	0.022315176	0	10.95017269	18.44037771
43		AI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	1.962399483	64.38561082		2.426900528			0	0.789731834				2.752431482	2.949396335	3.304038197	3.756079078	4.580058157	5.748219788	7.34513253
37		AI01_02	PM10	31.28858513	6.31172432	26.91020422	1.84178189	1104	14.57943767	5.242007226	28.148368	1.75661128			35.06706059	2.450571582				1.955763996	3.398588672	0.598628586	0	0	0	6.802949309
42		AI01_02	PM10	15.30905773	4.414985582	15.67354145	1.276956046	453	19.83808428	0		0.318619376			0.626661303	0.583229586	72.75603414			0	0	0	0	0	1.740868948	4.136489332
39		AI01_02	PM2.5	2.123153991	1.644166543	5.147616152	0.99316396	91	71.81641459	4.010264575		0			13.75288814	1.474386919				0	0	0	0	0	1.334326528	7.611723989
49		AI01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	35	92.47080684	0		3.401429579			0	3.133673593				0	0	0.35203679	0	0.148252316	0.255779689	0.238014478
48		AI01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	45	52.72830725	37.49137521		5.25889881			2.34796796	1.279814914				0.527129928	0.366503908	0	0	0	0	0
46		AI01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	14	20.41731775	38.33442032		3.010699525			0.034344924	0.05638497				0	0	0	8.947175741	6.523869187	22.67578691	0
47		AI01_02	PM10	12.40368911	3.97402409	15.48789406	1.538948202	316	63.30008507	0		0			10.97475067	8.592756093				0	0	0	2.830420807	0.527095236	5.019770935	8.755126595
51		AI01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	49.32918251	9.258019924		8.363997936			23.27411771	6.953580678				0.257987063	0.275595649	0.309096207	0.349989068	0.424151728	0.529600307	0.674671307
54		AI01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	8.997329324	0		0.0645336			6.702858955	0.013846502				0	0	39.07099068	15.93251526	15.01850337	8.982185274	5.217248201
53		AI01_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	49	38.49300146	23.38838279		0			7.142643631	3.386403993				8.217731863	19.37183738	0	0	0	0	0
52		AI01_02	PM2.5	2.570133779	1.808976496	5.595808581	0.969527442	85	26.13289356	27.28483081		1.266930439			3.997886553	14.88503665				17.51597226	8.916451037	0	0	0	0	0
56		AI01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	78.92201543	0		0			13.87812495	5.102667212				0.190101354	0.203562505	0.228794897	0.259571825	0.315612787	0.395104289	0.504442304
58		AI01_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	41	34.25218463	0		4.886151478			13.20269555	0				0	4.603775218	28.14248204	0	4.230978712	6.369291991	4.312443361
59		AI01_02	PM10	37.881537	6.944945711	25.22618422	1.33679764	1206	52.22322941	0		2.473013289	24.20681417	7.52396211	0	6.025488302				0.484008482	1.329422463	2.380780131	1.915337518	0	1.437937655	0
60		AI01_02	PM10	66.26475351	9.185363607	42.01360996	2.119764173	1766	46.36084139	4.135329276		2.43109446	28.95287871		1.754559204	2.64084246		6.115297228	7.609156519	0	0	0	0	0	0	0
