Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AI01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	27	0.842201896	57.84216523			3.001265414			37.52457201	0.050897221		0.314384536	0.187130575	0	0.237377966	0	0	0
3		AI01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	23	75.53562522	0			20.64356208			0	0.094023295		0.335586444	0.360002741	0.405053189	0.460362993	0.561333681	0.704097888	0.900354795
5		AI01_03	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	40	36.08471751	21.1350739			2.710695937			7.543988526	0		2.350638434	0	0	0	30.17489016	0	0
2		AI01_03	PM10	57.54864766	8.55997745	37.62177689	1.957192851	1426	57.91403651	2.168782428			4.578816891	14.10836875		3.737968579	5.305334181		2.050945349	0	5.374675617	0.772380829	3.592866287	0.395830395	0
8		AI01_03	PM2.5	3.352348407	2.065996747	7.388578295	1.295873913	63	27.0570308	46.4407593			0			7.366122305	0		0	0	0	0	19.13608313	0	0
7		AI01_03	PM10	5.922482186	2.746040517	11.53105987	1.786589705	209	25.81333816	24.90223497			3.070238978			36.58504784	8.956395835		0	0	0	0.628830679	0.043908897	0	0
6		AI01_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	31	32.81321526	3.34706679			0			25.97652674	0.839324296		29.53475118	5.076414347	0	2.412703075	0	0	0
12		AI01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	40	21.93024307	48.16899598			0.120219775			2.771493606	1.184014324		0	0	10.02404764	0	4.784953594	8.550584316	2.46544946
15		AI01_03	PM2.5	2.793623673	1.88598837	7.388578295	1.555048696	86	24.49053675	42.11333394			0			11.74858734	0.408671098		0.569995353	0	0	20.66887617	0	0	0
16		AI01_03	PM2.5	2.793623673	1.88598837	7.465475959	1.587585912	75	34.06383097	9.845194221			6.647446007			27.74633467	0		7.675254345	11.45921946	0	0	0	2.562722564	0
14		AI01_03	PM10	17.65570161	4.741301243	19.44472826	1.704154289	487	50.8910656	4.259720445			7.320684195			9.426493943	12.67184615		0	0	0.800981838	3.678077087	0	4.931763932	6.019379944
18		AI01_03	PM2.5	3.352348407	2.065996747	6.940385866	1.143426416	107	55.85027933	24.42917526			2.60428302			9.910536557	1.605086587		0	0	0	0	0	2.237375267	3.36326547
17		AI01_03	PM10	11.06274974	3.75306947	15.67354145	1.767100791	304	35.48249304	4.128236324	23.71048182		0			29.09239531	1.896621101		0	2.867783047	0	0	0	2.821989544	0
20		AI01_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	31	5.808645114	14.32152987			0			13.52265626	0.557974866		0	0	0	11.21908873	48.98687601	5.583228543	0
21		AI01_03	PM2.5	1.564429257	1.411344463	6.306546055	2.0231	56	37.74604499	0			1.095403638			8.332797885	8.450098336		23.09752703	2.868176252	0.376706105	11.67898178	6.180048361	0	0.174218346
24		AI01_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	37	0	66.62117243			0			33.24467242	0.134151615		0	0	0	0	0	0	0
25		AI01_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	27	25.95940828	59.22677517			9.385994077			0.017281466	4.16794084		0	0	0.44104741	0	0.185361796	0.319334213	0.296860444
26		AI01_03	PM10	30.5063705	6.232328401	22.87647236	1.365141616	824	51.20438933	14.45533931			4.461907223			7.489272207	5.65919131		4.517917335	4.484380782	2.678666636	0	0	5.048936978	0
28		AI01_03	PM2.5	3.575838301	2.133752265	6.754738484	1.015381726	128	64.17940855	0			8.591905981			2.979251184	8.987123519		0	1.321459096	0	0	3.942231089	9.998625517	0
29		AI01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	43.3059752	38.99704218			0.241765985			3.480581567	13.13311756		0.124809938	0.076657342	0.086129142	0.097648858	0.118606712	0.148359663	0.18929526
31		AI01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	46	80.92500567	4.226860404			2.273118682			11.38902828	0.029257167		0.104352133	0.111885276	0.125912414	0.142993522	0.174164982	0.218334794	0.279088551
30		AI01_03	PM10	28.49496146	6.023363824	33.06295494	3.052849484	837	23.80283475	0	28.94825935		0			32.03967512	0.699751219		0	0	5.638975278	4.223646596	1.695812494	0	2.951039933
33		AI01_03	PM10	13.40939363	4.131993495	13.4325793	1.070778945	447	22.73804694	6.161877513	18.9101398		0			41.48749411	2.486127801		1.962497272	0	1.736162789	0	1.628704555	0	2.888951451
37		AI01_03	PM2.5	3.911073142	2.231531534	7.279828576	1.078292299	119	11.05974764	23.82582128			0.620692968			13.65838349	1.714590378		0	0	0	0	13.03424239	33.78031552	2.306203358
36		AI01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	66	85.28733253	0			12.99950331			0.00946432	0.174329896		0.891208835	0	0	0.242803944	0.102417893	0.128522259	0.164422591
35		AI01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	38	20.43559849	0			2.098963968			0	0		1.339107379	2.28072051	3.375386074	3.63936685	0	56.28991127	10.54094359
40		AI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	20.11918575	6.371748447			0.157304876			0.724548567	0.009239882		8.888690174	11.83559895	7.969707251	0	29.67156768	10.08218005	4.170217738
39		AI01_03	PM10	10.83925985	3.714966255	12.35054706	1.119857849	466	41.93682373	3.497007489			6.01564683	36.13559902		1.006887201	0		1.252254657	1.915871911	4.503494129	3.71394679	0	0	0.022471709
43		AI01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	53.00394893	24.78156537			0.496841222			0	2.575838193		3.384820372	0	0	15.75698704	0	0	0
42		AI01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	28	49.30733144	21.65856063			20.88502347			6.518994272	0		0.351211545	0.242641545	0.138956471	0.157709594	0.191937014	0.240459386	0.307168509
41		AI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	39.26358223			3.198842332			0.068605889	0.107823859		5.667083338	4.88887392	3.149839118	15.74986577	0	0	27.90549099
46		AI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	14.62609768	6.781225652			8.48428458			0.007329512	0.011350539		11.14309505	17.87067354	27.72297561	0	5.509311333	3.818026558	4.025633633
45		AI01_03	PM10	6.257717027	2.822688927	11.08286744	1.561990878	100	0	21.84704542			2.878008969			31.63545132	0		0	0	30.79658747	9.523667395	1.723284274	1.595949568	0
47		AI01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	37	28.77919376	0			0			0.007303806	0		3.412079066	20.31898201	46.99107409	0	0.491361599	0	0
49		AI01_03	PM10	11.73321942	3.865125995	14.59150921	1.444020539	310	14.10696954	6.56619817			0.312792649			29.8782289	2.291776054	44.00741756	0	0	0	0	0	2.821314707	0.015305688
51		AI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	31.45685792	7.535840571			0			0.284286914	0.044215587		6.154859439	0	0	53.84886861	0	0	0.675072428
50		AI01_03	PM10	7.822146283	3.15586216	10.55777735	1.133989937	198	33.59172344	7.726216316			0			3.199841827	15.00239372		0	0	8.050259203	0	11.49746403	3.465918452	17.4661845
52		AI01_03	PM2.5	4.134563035	2.294403878	7.388578295	1.050708578	90	12.34949902	25.57194531			0.142473017			38.03152144	6.621956825		0	0	3.025662899	0	8.628619462	3.999114409	1.629212871
53		AI01_03	PM10	19.89060055	5.032444653	17.3894135	1.209795903	545	42.41205454	3.121943958			1.468986459			2.521099336	26.12186968		2.991839126	9.099750221	8.771341294	0	3.491101041	0	0
54		AI01_03	PM2.5	3.352348407	2.065996747	9.552642774	2.166147683	104	24.61677045	0			3.364103287			1.215340011	8.163265884		12.54426837	34.84119177	13.62756938	0	0	1.627491228	0
55		AI01_03	PM10	5.698992292	2.693730193	18.59338901	4.827354333	230	40.51655233	11.649248			0			20.64496875	4.828858003		1.264812518	2.389485762	0	0	0	14.77094889	3.93512398
57		AI01_03	PM10	17.09697688	4.665677556	17.72885621	1.462959309	455	21.93846852	0	32.20436871		0			29.22424972	0		0	5.283821002	8.108013123	3.241087124	0	0	0
																									
																									
																									
																									
