Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AI02_01	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	40	62.10084558	2.390584722	0			11.85500026	17.84661114	0	0	2.917781286	0.524764135	0.990388356	0.936718378	0.437303167
1		AI02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	50.56051612	1.626866311			11.8112281	0	20.95434517	0	0	5.680279806	2.433649264	3.047043271	3.886071965
3		AI02_01	PM10	5.922482186	2.746040517	9.366995392	1.178927195	183	66.28057957	0	0.485952618			4.972181842	11.26147732	6.417705864	10.58209017	0	0	0	0	0
5		AI02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	34	76.16296411	0	0.596292317			0.006013009	19.67237741	0	0	2.842685953	0	0.23247241	0.487195561	0
4		AI02_01	PM2.5	3.575838301	2.133752265	6.940385866	1.071962265	124	45.35678327	23.84278923	0.965105742			1.40041979	16.97331369	2.801602706	0	0	8.659988642	0	0	0
7		AI02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	27.33988464	3.414175659	3.555657342			0.703639444	0	10.66469178	45.89132667	7.586888969	0	0	0	0.843743049
8		AI02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	74.87850785	1.027283631	0			0.015849849	22.74729013	0.221783458	0.119057647	0.133629469	0.151365995	0.183577882	0.229340955	0.292305509
12		AI02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	7	2.305292897	0.31138109	1.417637523			0.071963156	0.010905602	2.772644535	5.190831423	32.75735974	12.22372577	12.64928579	0	30.28897941
9		AI02_01	PM10	68.6113974	9.346589987	34.51628195	1.381789497	2593	53.96631956	0.865493249	1.484083571	41.87086821		0.107326964	0.066961593	1.010568906	0	0	0.628382526	0	0	0
11		AI02_01	PM2.5	3.799328195	2.199421492	7.836770723	1.286345429	132	27.8245151	0	0.372143835		19.20921057	0	21.41337693	5.63576892	0	0	5.385875702	4.685053974	2.575048432	12.89900988
13		AI02_01	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	82	67.83031225	4.483620077	6.999830157			2.800357528	4.134230316	1.068449486	0	0	0	7.077788562	5.605405942	0
14		AI02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	0	19.28114593	0.094217638			3.426071629	77.19856501	0	0	0	0	0	0	0
15		AI02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	11	89.757061	0	5.919598043			0.059111306	0	0.382420374	0.410728063	0.462413067	0.526166847	0.642675813	0.806994457	1.032825373
17		AI02_01	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	14	59.28983688	0	0			0.037120047	0.061635271	0	0	0	15.16083479	14.77184892	10.67872345	0
18		AI02_01	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	108	0	0	8.924870193			0	53.49615812	0	0	0	0	0	4.07949537	33.49947929
