Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AI02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	61.06894612	21.58724368	0		2.011854388		0		4.546407983	2.724574134	1.072111074	1.219030656	1.492366195	1.876914129	2.400545776
3		AI02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	48.39950502	23.6522913	0.342183211		0.318566733		26.05198622		0.257704454	0.10526753	0.118048955	0.133605592	0.161814468	0.20192049	0.257108291
4		AI02_03	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	87	75.49141049	0	0		0.163260219		15.41781127		0	0	0	0	1.389768627	7.537745684	0
7		AI02_03	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	43	56.74698949	11.42105609	0.127349666		20.54492831		10.46169549		0	0	0.427175127	0.071493984	0.091096247	0.108210417	0
5		AI02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	95.25911212	0	0		0.062477414		0.113352761		0.408731727	0.439202227	0.494556222	0.563035347	0.688207988	0.86451862	1.106804889
6		AI02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	34	24.76252466	55.27195334	0		16.54756218		2.117588185		0.11802282	0.126334513	0.141970033	0.16101069	0.195663748	0.244846405	0.312509225
9		AI02_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	69	3.50735262	0	8.205483109		0		8.544416726		4.491146654	18.04498881	21.29255831	31.84773922	3.068528511	0	0.99779563
11		AI02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	51.35363936	0	4.946669564		0		0		13.06352466	5.802349374	0	0	5.312716588	19.52110827	0
14		AI02_03	PM10	9.945300275	3.55847574	16.49302864	2.176572121	345	42.24064946	0	11.94072962	23.92863929	1.899356395		0		0	0	0	0	11.64802089	8.342603594	0
12		AI02_03	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	27	46.68532908	35.83825827	0		0.006560638		9.36479345		5.295515805	2.276219614	0	0.533319497	0	0	0
13		AI02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	36.40385866	56.19838834	2.64101252		0		0		0.177521689	0	0	0.369484024	3.835467622	0.374261127	0
15		AI02_03	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	92	31.86880648	18.0159539	0		6.032012776		19.4849804		3.181796893	21.41644657	0	0	0	0	0
17		AI02_03	PM2.5	2.458388832	1.769213915	5.672706244	1.041646001	105	66.97642803	5.937386677	1.125842705		0		20.20587176		0	1.875410601	3.690525144	0.188540632	0	0	0
18		AI02_03	PM2.5	4.69328777	2.444520318	7.75987306	1.02099164	119	34.50003862	0.927218795	0.762493256		0.102174957		8.499435335		0	9.678005427	11.18116304	9.400292486	0	19.83315796	5.116019398
19		AI02_03	PM10	8.604360912	3.309896157	11.79360492	1.286366339	282	25.0973165	11.29062399	2.184389904		2.446144633		13.54572922		7.862589508	12.60393709	7.950950414	3.876707703	6.565507501	0.188661343	6.38743192
20		AI02_03	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	142	46.90681994	0	6.459119916	35.4437381	0.131817139		0		0	3.3539664	3.867328167	0	0	3.837206215	0
24		AI02_03	PM2.5	3.575838301	2.133752265	7.388578295	1.214881794	175	57.53597617	0	2.820697241	30.94581962	0		0		0	0	0	0	0	0	8.697506785
23		AI02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	63	53.44078541	18.96793991	10.9606199		0.00497275		0		0.94638085	0	0	10.65155342	0	0	5.027757958
21		AI02_03	PM2.5	3.24060346	2.03127164	6.940385866	1.182854913	151	45.77426016	19.90337372	6.078444421		0.121725898		13.11472803		8.43694061	6.570527703	0	0	0	0	0
22		AI02_03	PM10	25.92482768	5.745303804	27.28149898	2.284602857	873	48.93916249	17.88441539	7.137860358	13.32406849	0		3.010166995	3.722865507	0.122449768	2.775419503	1.890728436	0	0	1.192865986	0
26		AI02_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	91	61.04527712	6.183722615	6.311355531		6.661232561		4.148680344		0	0	10.7892409	4.799371585	0	0	0.061121106
27		AI02_03	PM10	9.38657554	3.457073787	12.31869501	1.286507618	298	54.69996929	0	12.43420392	20.9107995	2.051864937		1.355778798		0	0	0	0	0	6.963181496	1.584202796
