Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AI03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	0	51.21068954			40.39158821		0.429527042	0.201623538			0.705100689	0.754681788	0.847106799	0.961139239	1.168661378	1.462849975	1.867033169
5		AI03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	48	20.55710852	0			0		41.71981215	0.142175355			16.06099159	0	0	12.96881884	8.213962615	0.337128364	0
1		AI03_01	PM2.5	3.799328195	2.199421492	7.126033249	1.063601679	133	57.70965219	0			1.125648245		0.470307982	10.56346968			0	0	0	21.59689218	0	8.534032106	0
2		AI03_01	PM10	14.86207794	4.350055787	15.48789406	1.284385342	470	63.16681504	0		12.51167357	1.131877303		0.744683016	17.92675853			0	0	0	1.54432198	0	2.973873727	0
7		AI03_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	48	0	33.56585503			0		0.502232043	13.39645833			0	0	22.29801416	0	0	0	30.23743331
6		AI03_01	PM10	20.22583539	5.074675698	18.39454807	1.331257024	921	12.80576438	0	31.3686192		0		41.49264991	0			3.973402083	4.915097728	0	0	4.010244086	1.434216369	0
8		AI03_01	PM10	9.051340699	3.394779067	13.06128454	1.499854066	362	36.18801534	5.932790413			11.1643374		2.196775191	0		44.35819089	0	0	0	0.159893231	0	0	0
9		AI03_01	PM10	19.44362076	4.975579046	19.63037564	1.577139884	577	46.01271451	4.519059509			6.317292899	9.28247422	1.700812578	1.835668832	18.65617931		0	0	6.191972643	0	0	1.456181798	4.027636722
11		AI03_01	PM10	13.52113858	4.149174415	15.51974612	1.417575169	541	50.87653995	0			5.641227961	24.25191849	0.531124976	0.71046385			12.33309135	3.144964203	0	0.003880231	0	2.385951206	0.120837591
14		AI03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	22.41859436	0			0.009157202		0	0			0.470557483	0	0	1.286779437	49.56878126	15.98018557	10.26594117
18		AI03_01	PM10	52.52012505	8.177450709	35.75210952	1.936723974	1732	44.32175457	0	13.51558417		14.14363831	19.72487718	0.414135261	0			3.406578302	3.723080829	0.383409671	0.366935856	0	0	0
