Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AI03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	0	88.87197375	0.098927924	0.15378769	0.268414617	0.954008009	1.023849566	1.150677167	1.309103332	1.598148234	2.005784772	2.56532412
3		AI03_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	28	97.20511436	0	0	0.032759801	0.346840476	0.216357666	0.232438603	0.261864765	0.297975936	0.364025147	0.457238313	0.585383642
4		AI03_02	PM2.5	2.793623673	1.88598837	6.492193438	1.200618792	137	58.1617713	0	17.74219275	0	1.321669575	0	0	0.44486085	1.629990153	2.975718305	0	17.72379577
5		AI03_02	PM2.5	4.581542823	2.415243569	8.022418106	1.117864001	135	50.62017441	0	0	1.007189322	0	0	7.182066888	3.324401379	0	0	13.78814578	24.07802492
6		AI03_02	PM2.5	1.229194416	1.251023157	4.776321387	1.476918875	70	79.96066213	0	0	14.0543744	0	1.675722748	1.782116108	2.527133003	0	0	0	0
7		AI03_02	PM2.5	3.128858513	1.995942481	7.465475959	1.417487421	98	48.74477983	29.72641289	0	17.94606298	0.005757382	0.926504936	1.418367121	1.232119184	0	0	0	0
8		AI03_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	78	0	23.67485315	0	39.69187737	5.153111368	0	0	3.004598059	20.85980326	7.615758479	0	0
9		AI03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	0	69.19673681	0.514321821	0.800275896	2.709192783	2.889865264	3.228464723	3.654629365	4.428170994	5.533396453	7.044941932
11		AI03_02	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	77	33.9279592	27.51591206	0	0	7.045757771	3.570150584	8.948343992	1.79156214	0	13.36997002	0	3.830345348
10		AI03_02	PM2.5	4.69328777	2.444520318	9.181348009	1.429308085	192	54.02018428	4.58885096	5.02609238	9.407140315	1.287982613	0	2.208545059	12.1809639	3.309357911	6.157227606	0	1.813657023
13		AI03_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	49	31.46113753	7.815726101	1.963106915	7.961210608	1.196241844	0	0	14.3601954	17.99090803	10.50548255	5.026114359	1.719882712
14		AI03_02	PM2.5	4.581542823	2.415243569	10.34027791	1.85713215	148	63.16896081	0	2.028175443	0	20.3816399	0	0	0	2.353426814	3.996842355	3.318915516	4.752042145
12		AI03_02	PM10	7.93389123	3.178324096	10.44902763	1.095104715	252	39.10681903	6.981639564	13.1944716	0.445668539	0	0.231803022	3.35836336	0	0	0	8.715283871	27.96594799
15		AI03_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	33	73.49226475	0	7.32581988	0.01263179	0	0	0	1.082519721	0.127813662	5.949670449	12.0092757	0
16		AI03_02	PM2.5	4.805032717	2.473450559	10.71157268	1.90020416	205	58.0538094	0	12.51442581	0	0	17.08799601	12.34376058	0	0	0	0	0
18		AI03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	26.57543123	50.52108169	0	20.65058351	0.582950236	0.151686673	0.162334566	0.182380271	0.206810771	0.251257257	0.314346398	0.401138002
19		AI03_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	48	61.95389032	12.63691932	18.3672145	5.599936843	0.016864603	0.791780371	0.551208248	0	0.082186121	0	0	0
20		AI03_02	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	54	42.89560616	17.17316359	0	0.408001617	17.16134846	0	0	0	22.36188501	0	0	0
21		AI03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	0	0	7.589248568	12.87671775	75.00748038	0.831350964	0.412396435	0.457668118	0.513106259	0.611512968	0.752903381	0.947605632
23		AI03_02	PM10	9.610065434	3.497987327	14.59150921	1.763048332	248	40.14413953	11.29690036	9.489603341	16.22122973	2.809251845	2.597972006	8.067110181	2.928783558	5.837158486	0.607845979	0	0
22		AI03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	0	47.11350799	0	4.129607603	45.53248882	0.454542041	0.30279709	0.33802567	0.381049374	0.458363211	0.5688	0.720811496
24		AI03_02	PM2.5	2.123153991	1.644166543	5.487058862	1.128464444	107	0	42.26106107	0	0	57.39365816	0	0.050467509	0.061299966	0.063357031	0.076015596	0.094132265	0
25		AI03_02	PM2.5	4.358052929	2.35559872	7.651123341	1.068926987	162	53.04504633	15.82120061	0	1.14815291	13.11942786	6.7614384	7.129269838	0.848351885	0	0	2.127110586	0
26		AI03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	44	22.19244391	57.86316991	0	2.204947546	11.24299392	0	0	4.596053064	0	0	1.900382899	0
28		AI03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	64	30.07674515	0	2.796192281	0	6.327723712	9.969477355	42.27772951	7.040680945	0	0	0	1.511448063
27		AI03_02	PM2.5	3.017113566	1.959976608	6.569091101	1.138175015	126	47.04215527	11.97571829	2.690093778	0.076642563	17.44575948	0	0	0	0	12.60287464	8.166752011	0
