Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AI03_03	PM10	16.76174204	4.619709168	16.04483621	1.222197975	387	78.46454382	17.1790719		2.864201181			0	0.763652939		0	0	0	0.728528947	0	0	0
4		AI03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	28	53.74156833	20.58133334		23.80092144			0	0		0.169207761	0.181435316	0.204156316	0.231891894	0.28251037	0.354195619	0.452781189
6		AI03_03	PM10	9.721810381	3.518265684	11.71670725	1.123709747	380	16.4195165	2.292750217	34.69480872	0.888888352			37.13535368	0		0	0	0	4.949970171	0	2.114208043	1.504500117
10		AI03_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	22	0	1.123958454		0			0.029848286	0.043074624		0	0	0	62.12999821	0	36.67311668	0
9		AI03_03	PM10	8.716105859	3.331319657	11.26851482	1.159313787	157	15.66571146	11.28963605		4.856406152			0	5.462377146		3.712615371	9.192749858	14.96429443	0	14.84045684	12.04471439	7.971046865
11		AI03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	61.00414991	11.57259867		10.91270223			0.183325447	13.41018826		0.844574906	0.47687199	0.214597862	0.243298942	0.295682554	0.369975623	0.472027529
13		AI03_03	PM10	6.034227133	2.771825501	9.290097728	1.138175015	167	43.24343801	4.536996782		1.738298312			3.610661253	0.589614687		25.18765926	21.09333873	0	0	0	0	0
12		AI03_03	PM10	19.7788556	5.018288663	22.31953021	2.004283146	676	27.6707679	3.296648711	25.52382648	0.600793259			24.93717372	5.524159223		0	0	0.613634055	6.504625827	0	5.328369141	0
17		AI03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	11.53881773	26.51393116		1.270165201			0.038958067	0.061450078		2.783433348	0	0	46.06325924	0	10.2097325	1.520249434
16		AI03_03	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	118	37.79393137	31.07585311		0			22.3157689	5.485424399		0	0	0	0	3.329022974	0	0
15		AI03_03	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	116	44.40740943	9.174138308		9.594912082			9.398943931	2.550336346		0	4.81299907	0	0	0	0	20.06126344
18		AI03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	31	68.08885932	31.86612129		0			0.015938263	0.029076546		0	0	0	0	0	0	0
20		AI03_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	38	41.93003476	21.30917162		19.00856197			12.90566474	0		3.560611606	0.380079076	0	0.369112822	0.206610025	0	0.330146658
21		AI03_03	PM2.5	1.45268431	1.360005555	4.853219051	1.29026429	69	45.7046181	0		0			0.81629334	0		0	0.950709917	14.12209123	27.66360939	0	7.676720619	3.065955639
22		AI03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	52	86.10358238	2.150735259		11.03118509			0	0.017398935		0.062632666	0.067227602	0.075733569	0.086082262	0.105002848	0.131789607	0.168630714
26		AI03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	1	0.565382	0.965761114		1.403357275			1.784281246	2.616509609		8.58822912	9.128549695	10.12908667	11.43606156	13.83787692	17.38564372	22.15926647
23		AI03_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	20	53.59789729	0		0.438239891			16.11202806	0.421361718		7.336105406	8.612041175	1.016050205	6.572926044	0	0	5.893337354
24		AI03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	38	0	51.32325888		2.665094659			44.46822703	0.040483708		0.138291961	0.147486443	0.165201747	0.186789106	0.225820555	0.281410711	0.357931433
28		AI03_03	PM2.5	4.469797876	2.385607556	9.366995392	1.562078534	113	54.99173403	0		2.312213928			0.596317276	14.06234354		0	0	0	3.216012195	0	0	24.82138425
30		AI03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17	66.29204154	0		0			0	0.188141502		0.58618444	1.360218227	0.132871489	0	0	0	31.44053817
29		AI03_03	PM10	9.38657554	3.457073787	31.57777588	8.453684445	376	58.55156183	0		1.323332544		12.24464402	3.050481342	13.05669546		0	0	0	0	0	1.233102567	10.5401814
32		AI03_03	PM10	6.034227133	2.771825501	10.18648259	1.368412324	176	64.45834637	5.182524025		0			8.112923801	1.00254491		0.066917931	0.186975475	0.333186681	0.073207112	0.427931128	0	20.1554358
31		AI03_03	PM10	10.7275149	3.695767335	14.2520665	1.506769045	456	16.42461866	3.121376224	30.33879697	0			36.60928011	3.097736649		0	0	0	0.969658978	0	0.37058515	9.067939222
34		AI03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	47.77860641	33.8830322		12.18059063			0.020243936	0.994550902		3.262354434	1.063827612	0	0.256250077	0.215166854	0	0.345368381
33		AI03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	41	0	0		16.37553573			2.924470417	2.754165791		0.485332869	0	0	0	0	0	77.46049762
35		AI03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	23.32706302	0		1.984969713			0.012282288	0.019056405		17.00265259	23.15767705	21.96952403	0	3.187913448	5.159160495	4.179690406
36		AI03_03	PM2.5	2.011409044	1.600314199	6.044001009	1.445236075	59	35.54629683	12.81416118		7.61141181			6.032633409	8.5143812		0	0.671542715	1.023040432	0.121719006	0.095510553	0	27.56929994
39		AI03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	36	20.73563635	0		0			0	0		8.262928575	29.58033979	25.57856441	0	9.407632053	2.927329578	3.507564217
38		AI03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	16.70495272	0		0			0.008957399	0.014117445		13.32092285	21.32952213	33.03108811	0	6.530541927	4.431140423	4.628766328
41		AI03_03	PM2.5	4.246307982	2.325202624	7.836770723	1.150940647	133	64.55032229	0		0			3.772087768	3.844279051		0	0	3.076934442	0	0	23.93811345	0.818270724
44		AI03_03	PM10	10.39228006	3.637562637	13.61822669	1.420104855	257	35.5039537	0		0			2.370256744	2.314512245		5.659765378	0	0.404817192	8.398902416	0	10.42435095	34.92344022
42		AI03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	19.19059902	0		0			0.694358954	0		0	0	0	19.0864265	30.9982717	28.98854613	1.041791402
43		AI03_03	PM10	7.039931655	2.993913722	11.90235464	1.601354429	217	0	38.15659285		10.99674478			21.82802111	6.565530598		0	0	1.912892424	15.29574841	0	0	5.24447225
40		AI03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	26	17.72529632	1.826258376		0.135220902			0.132846995	0.019846937		0	4.025055468	49.11640882	27.01907158	0	0	0
46		AI03_03	PM2.5	2.793623673	1.88598837	6.67784082	1.270265079	88	39.75872099	3.935954347		7.839409262			5.263193324	4.371767119		0	0	18.03657115	20.7943812	0	0	0
47		AI03_03	PM2.5	4.469797876	2.385607556	7.836770723	1.093393614	137	29.00826931	0		3.397521004			0.795097742	0.306913955	36.70409918	0.487812888	7.17042461	9.619946033	10.50215513	2.007754147	0	0
45		AI03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	47	0	0		0			0	34.97290611		4.622616991	22.69379646	37.71068454	0	0	0	0
48		AI03_03	PM2.5	2.346643885	1.728536893	6.831636147	1.582677409	66	40.87431729	3.473285213		0			14.26768452	0.010643327		25.27673244	14.06038404	0	2.036952414	0	0	0
49		AI03_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	41	49.14931357	0		10.3681162			14.37141746	0.038046748		7.758992165	3.990363702	2.670750022	11.29748896	0	0	0.355500937
50		AI03_03	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	57	0	16.47400409		0.109787309			30.54870963	9.545787424		0	0	3.22166346	0	0	10.38365513	29.71639037
51		AI03_03	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	39	0	0		10.03553271			0.187351031	0		0	0	5.450949445	0	0	41.18176997	43.14440489
52		AI03_03	PM2.5	1.229194416	1.251023157	4.405026622	1.256222687	49	42.32334197	5.02117388		5.298944563			0.395929394	11.31479144		0.81944894	1.2411342	1.800967753	2.693060972	0	29.01109755	0.080105837
