Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	B Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AM01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24		41.74959958	55.20572066	1.265552081			0.023731332		0.042730005		0.153776701	0.16509234	0.18594662	0.211433391	0.258030696	0.323905121	0.41448758
6		AM01_01	PM2.5	4.69328777	2.444520318	8.022418106	1.091248192	145		23.94264042	18.37248057	6.699735671			0		1.84444394		2.445995249	6.025520712	0	0	0	20.21779716	20.4513818
1		AM01_01	PM10	18.77315108	4.889040635	27.31335104	3.162299021	685		54.94661927	0	5.578838661	25.44600368		0.394593272		0.557785574		2.093558386	0	0	2.149100602	2.094773017	1.047202386	5.691521242
4		AM01_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	82		58.8175416	0	12.80238628			0		0		0	0.274866517	6.665157527	13.40008229	0	8.039958775	0
3		AM01_01	PM10	25.70133779	5.720485961	19.02838788	1.121084629	937		54.15151715	0	21.74158245	17.30064452		0.236189133		0		0.804330222	0.506486697	0	0	1.860961877	1.521146763	1.87714342
8		AM01_01	PM10	7.486911443	3.087496027	12.68998977	1.711630371	217		64.02084827	0	14.75270838			1.493483409		0		0	0	0	0	0	5.027603731	14.70535547
9		AM01_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	78		55.788517	26.917997	9.984891117			0		0.061356282		0.929747894	2.703128196	0.927071273	0	2.687288448	0	0
11		AM01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16		57.40077496	36.7108494	1.990382187			0.052133424		0.093665597		0.336666312	0.361529714	0.407030247	0.463057403	0.565452687	0.709932484	0.908523984
12		AM01_01	PM2.5	4.358052929	2.35559872	7.913668387	1.143545188	192		30.88027835	0	8.693012595	27.21092701		0		2.637593262		0	0	9.638243169	0	6.948396564	13.9915511	0
10		AM01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19		63.09268475	0	28.11179459			0.056436565		5.289036781		0.947823841	1.588633843	0.428107334	0.485486118	0	0	0
