Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		AM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	36.86059415	0	5.765001848		0.026582359	0.041836759	0	0	12.87671328	0	0	2.425551228	42.003721
5		AM01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	0	0	0		0.095965655	0.136548304	0	0	2.52711568	0	23.78200591	73.45835567	0
8		AM01_03	PM10	15.19731278	4.398842985	14.48275949	1.098312613	456	55.86830974	0	16.81373864	13.49868327	0	0	2.297313698	7.185383141	0	0	0	4.336564988	0
9		AM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	0	0		0.009840383	0.014367017	10.53452641	18.30309182	43.42123866	6.483411789	10.0977093	5.317606032	5.818205327
10		AM01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	15	36.61336601	9.114676714	13.4104684		0.017204591	0.027963525	5.650338158	0	0	14.88387883	0	2.261688188	18.02041978
16		AM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	0.013713678	26.41691267	15.72731286		0.057593023	0.248089642	37.17290461	19.5786953	0	0.784782786	0	0	0
17		AM01_03	PM2.5	1.45268431	1.360005555	6.229648392	2.125915316	71	29.97446358	17.09824502	43.10905635		0	0	1.567704603	4.985903949	3.170385212	0.09423446	0	0	0
18		AM01_03	PM2.5	4.469797876	2.385607556	9.181348009	1.50077349	156	58.95555019	0	0		0	0	0	6.88194707	12.97564059	18.08936894	2.29409039	0	0.803395733
19		AM01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	44	52.82141566	7.615137845	8.3377406		0.21762508	0.239531323	0	0	2.69278232	0	28.07576954	0	0
23		AM01_03	PM10	8.269126071	3.244777082	11.71670725	1.321118216	215	63.83436918	0	3.725685179		0	7.877214998	0	0	6.810154021	17.75258183	0	0	0
