Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AM02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	81.39998913	0	0		0		0.07249646			2.88329646	2.401543409	0	4.092215374	0	0	9.150456637
2		AM02_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	71	36.90429628	14.82100785	6.02248013		0		24.42468554			5.329386145	9.532285482	0	0	2.965865284	0	0
3		AM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	64.11530375	15.33638984	1.265278365		0		9.501101077			6.447006762	0	0	0	3.334911913	0	0
6		AM02_02	PM2.5	2.123153991	1.644166543	6.306546055	1.490705263	72	56.64234757	0	0.398610672		0.005482621		18.5006395			0.406524166	1.824149303	0	0	7.167394459	15.05485326	0
5		AM02_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	74	34.21277702	24.93993491	2.511318587		0.084843178		1.365678012			7.40358755	11.310523	6.620272249	0	0	11.55107394	0
8		AM02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	45	33.56128931	5.3988114	14.68456089		0		0			0	0	17.38471091	6.369780749	0.659914734	18.92124414	3.019688651
9		AM02_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	66	21.0753113	0	0		0.011291553		26.95004046			0	1.347856317	0	0	27.52766609	14.18544054	8.902387321
10		AM02_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	81	51.14890933	0	0.008920066		0.60475627		35.21461189			0	0	7.801341265	5.22146523	0	0	0
15		AM02_02	PM2.5	1.78791915	1.508790696	4.853219051	1.048339735	108	31.39675558	9.743375331	6.476182491		0		2.501397021			5.481851473	11.37295663	3.366133571	0	0	0	29.66134846
14		AM02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	37	46.47341371	0	0		0		1.894502155			2.707078122	0.56944536	0	0	0	3.902785107	44.45277452
