Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
8		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	0	40.08096755	0.629016152		0.242277607		6.818085909			0	0	0	52.22963691	0	0	0
10		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	12.49266639	30.01741171	17.09229648		5.029960349		6.880623102			10.01578718	15.27172625	0.608979352	0	0	2.59054713	0
11		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	50.1163125	37.56008148	0.055453449		0.013654197		0			0	0	11.6395697	0	0.614922494	0	0
14		AM02_03	PM2.5	2.90536862	1.923338301	6.940385866	1.319338172	129	54.94292974	5.639825016	0		0.212844997		37.27278411			0.872238167	0	0	0	1.059383899	0	0
12		AM02_03	PM10	21.23153991	5.199311129	19.44472826	1.41713883	755	39.42537606	5.395392329	19.73360926	21.16278112	0.375197222	6.738045812	0.261356379			0	0	0	0	2.202867344	2.830196545	1.875177585
18		AM02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	26	0	6.849878281	4.497032985		0		11.99546382			2.917025425	14.1706273	16.17605984	25.71155727	0	0	17.68233776
15		AM02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	50.27780533	32.2522223	0.356645603		2.189203538		13.74833286			0	0	0.126781117	0.308329007	0.243542739	0.218412932	0.27873253
17		AM02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	48	53.284657	0	28.45294178		0		0.255190907			9.43858698	0	0	0	3.317179903	5.251449719	0
16		AM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	91.22375846	0	0		0		0.213545258			0.766759831	0.823962782	0.927030761	1.055828668	1.291048061	1.621878892	2.076188661
20		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	97.4752605	0	0		0.150783395		0			0.99914344	0	0	1.37481587	0	0	0
19		AM02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	23	42.59065986	15.99347442	17.02168882		0		0.03380125			3.003710322	10.76723337	10.58943421	0	0	0	0
23		AM02_03	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	62	57.50231147	0	17.81907976		4.460026324		6.008166447			7.603158057	0	0	3.856220469	1.772749424	0.978284888	0
24		AM02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	27	36.80230081	14.59905356	10.27729213		0		0.01439396			0	0	0	0	0	14.23868835	24.0682736
22		AM02_03	PM2.5	3.575838301	2.133752265	7.913668387	1.393695698	122	46.41839266	10.46035439	8.349562436	29.57297862	0.976399239		0			0	0	0	0	0	4.222307354	0
25		AM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	72.85607457	0	16.13679379		0.771313813		9.705734253			0	0	0.53008995	0	0	0	0
27		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	87.05778122	5.90134263	3.620580211		2.44735498		0.023668696			0.085255306	0.091520773	0.103102031	0.117207249	0.14299961	0.179497385	0.229693251
30		AM02_03	PM10	6.928186708	2.970057456	10.18648259	1.191842992	226	48.61187041	18.17942262	14.93015289		3.823296726		2.247694135			0	5.964003131	0	0	0	6.243563816	0
29		AM02_03	PM2.5	1.564429257	1.411344463	6.012148954	1.838627158	59	43.56108606	0	39.7707969		0.009298259		0			0	0	0	0	0	0	16.65882915
28		AM02_03	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	104	39.48427141	9.035587311	17.36505777	22.72660732	0		0			0	0	1.380723529	0	0	2.264638804	7.743118703
32		AM02_03	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	71	46.64411545	0	1.275795419	28.13420892	0.06455672		2.914799564			0	0	1.704469509	0	1.945978403	0.561348628	16.75471514
36		AM02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	32	0	0	38.88882995		2.03620214		13.12175095			23.31976593	16.84958935	0	0	0	5.783854052	0
39		AM02_03	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	57	33.66501927	0	3.539996222		0.016773367		1.460084785			29.79466617	0	0	0	0	0	31.52346611
38		AM02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	31	40.51521122	4.059870169	2.977118827		0.015211247		2.276597917			0.50422051	5.271654949	0	0	32.56956041	9.409933537	2.400621027
40		AM02_03	PM2.5	4.246307982	2.325202624	9.181348009	1.579761568	168	73.81174564	0	13.67929578		0		3.392164037			0	0	0	3.425655141	0	5.691133812	0
37		AM02_03	PM2.5	4.246307982	2.325202624	10.52592529	2.076343548	214	30.68893552	4.333845899	5.540321767	25.62181354	0		2.172205783			0	6.2668778	5.889153108	4.052693769	0	13.05914223	2.375008911
41		AM02_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	54	35.08117795	13.47876638	7.738262415		1.144205779		2.109067701			0	0	0	0	0	16.00894928	24.43956733
47		AM02_03	PM2.5	3.128858513	1.995942481	6.754738484	1.160436259	106	42.7400738	1.461350173	4.080935568		0		1.481689233			0	0	3.912273049	0	0	4.871995375	41.4516896
