Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	20	32.6977998	0		0		0.006832098		0.010546461			0	0	0	6.988990307	0	23.78774583	36.5080893
1		AM02_01	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	31	38.58873248	27.43147016		0.310951751		0		8.584652841			8.108595759	0.136862055	0	0	8.30893591	6.200241297	2.329551801
3		AM02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	43	30.9674263	0		1.149824262		0.008760501		0.154193689			4.65833582	3.190780431	1.230689883	3.313610703	5.575070158	0	49.75131452
5		AM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	68.3511734	0		21.36704326		0.015288476		0			0.093976752	2.224935777	2.380650304	0	5.566931143	0	0
6		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	30	21.96300477	44.83133554		1.843720861		0.019418968		0.016336831			0	0	0	0	0	31.32617474	0
7		AM02_01	PM10	7.151676602	3.017581393	12.87563716	1.844674429	272	35.45188904	3.237585723		13.92197907	25.58938563	3.673526272		4.978208616			0	0	3.231728077	6.125509739	0	3.404965997	0.385229127
9		AM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	47.14221656	0		24.9467358		0		0.040871091			13.23462576	0	0	0	2.041908912	12.59364337	0
12		AM02_01	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	69	61.01230979	0		25.49655437		0.006715042		0.245739915			4.178233445	0	0	0	9.060446173	0	0
10		AM02_01	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	61	51.11772418	10.98843366		13.83627206		0.665873801		3.50686051			13.31323087	5.358822644	0	1.212779991	0	0	0
11		AM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	92.163378	0.910391659		0		1.128918957		4.093855992			0.153224228	0.164419436	0.185128918	0.21040407	0.256582373	0.321923546	0.411780318
13		AM02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	57	44.33243573	3.94134894		21.93820179		0.005098671		0.428380026			7.993873954	14.45346177	0	0	0	2.157937177	4.749256745
14		AM02_01	PM2.5	2.681878726	1.847883667	8.361860816	2.074707465	112	54.0615797	0		15.35062194		0.056312169		0.606513442			0	0	0	0	17.29564667	0	12.62932718
16		AM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	37.44308352	24.96405989		0		0.010734414		12.5207901			0	0	7.949192077	6.775333732	10.33680141	0	0
15		AM02_01	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	70	40.53307474	6.660960615		0		0.33527012		18.71985048			13.90873492	9.531474113	6.033126265	2.364920825	0	0	1.912595332
