Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	23.20827097	0		12.85106093		0.051798252	15.05018622	0	0	27.32247114	21.51620686	0	0	0
1		AU01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	32	29.46838439	66.2985146		0		0	1.517412532	0.244163768	0.262039388	0.294981617	0.335354405	0.409107096	0.513362186	0.656693941
4		AU01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	59	36.93253994	12.8233999		6.342695653		1.162306219	13.01758587	0	14.52840418	12.47445419	0	0	0.979383476	1.739235222
8		AU01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	30	88.29650879	9.812887758		0		0.024738748	0.045131956	0.163135258	0.175245665	0.197459105	0.224649371	0.274390611	0.344638084	0.441221846
10		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	56.29198551	2.379815653		0		2.251232415	0.019683721	0	4.03444618	24.1694048	10.85343137	0	0	0
12		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	30	0	0		0		0	13.6479035	8.05631578	8.551237732	9.48683396	10.69472879	12.9006803	16.14388078	20.51841766
13		AU01_01	PM2.5	1.340939363	1.306651072	4.405026622	1.151537463	62	56.28913641	18.5904175		0		0	22.66599536	0	0	0.220743753	0.057984493	0.141892675	0.324532134	1.70930326
14		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	19	0	10.26381627		0		0.10775472	13.16357255	1.376371738	2.280969918	5.091030151	6.56061098	0	50.90846419	10.24741754
15		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	53.10680866	0		0		6.26694113	4.187331721	0	0	0	9.197679907	18.74543279	0	8.495796472
16		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	37	21.30447179	13.23473155		6.718406081		14.74464238	42.49299765	0.433139037	0.122540095	0.130254054	0.146755332	0.176387921	0.218704133	0.276970887
18		AU01_01	PM2.5	4.246307982	2.325202624	7.836770723	1.150940647	133	50.6467402	3.652587906		3.562122583		0.440261373	15.28606862	0	7.048927248	18.66173893	0.701560313	0	0	0
17		AU01_01	PM2.5	1.899664097	1.555225852	5.410161198	1.226122132	58	38.72869611	0		4.919390008		3.469092026	0	12.61149198	4.986843094	2.268687263	11.18719727	16.29826277	1.634569094	3.895770758
19		AU01_01	PM2.5	0.670469681	0.923941834	3.694289147	1.619842392	24	67.47917533	17.66580641		0.005647916		0	0.016210189	7.019012421	3.146095574	0	0.772869913	0	0	3.895179555
22		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	9	0	0		5.060308427		0.309561566	0.292035309	9.860857576	45.94283104	38.53439987	0	0	0	0
21		AU01_01	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	109	68.6091423	0		5.48713021		3.773798794	3.938388824	6.763165444	0	0	8.316737413	3.046832606	0.064804032	0
23		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	82.18976259	0		0		0	16.56720191	0.163530093	0.115397002	0.129669183	0.14703949	0.178650615	0.223514531	0.285234093
30		AU01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	45	26.35759115	9.408915043		0.05380481		5.288174376	5.505575985	0	0	0	0	5.396093428	10.6538631	37.3359859
31		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	66.00749493	14.66147751		0.005964475		0.461912248	7.534959167	0	0	0	11.32819057	0	0	0
34		AU01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	88.93806934	0		3.983831778		4.872527719	0.115814107	0.187901431	0.201651547	0.227041799	0.258080708	0.314789731	0.394999655	0.505291019
35		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	39.37703669	30.45191765		17.88785458		0.054123771	8.420366794	0.345633226	0.369990198	0.415618345	0.471472461	0.573126553	0.717305718	0.915555935
37		AU01_01	PM10	24.13690853	5.543651002	19.36783059	1.236717331	595	67.1248138	0		11.0527128		1.776360162	3.268972039	7.137192041	4.538245872	0.710858498	2.334090322	2.056754753	0	0
38		AU01_01	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	34	60.54857373	0		0.747381663		5.4127004	12.85425872	4.213977605	2.418909408	0	0	0	6.245269626	7.558932155
39		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	80.68419099	0		0.109333592		0.014363442	18.01976562	0.17395789	0.106828869	0.120010308	0.136050128	0.16522666	0.206645904	0.263628992
36		AU01_01	PM10	36.87583248	6.852136029	25.78312637	1.434562444	953	65.98522663	0		0.148858142	10.81766337	1.06158955	16.32550955	0	0	0	0	0	0.592551008	5.068610236
42		AU01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	56	10.23225561	0		13.29539865		0.510317739	0.075969344	13.27388734	23.62394631	23.13895226	9.785290062	3.534079716	0	2.529905178
41		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	0	63.1105721		2.173410729		0	33.42759013	1.036892086	0.251534791	0	0	0	0	0
44		AU01_01	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	90	54.31647897	0		0		0	16.70432389	0	0	7.63047412	17.63045639	0	3.718262911	0
43		AU01_01	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	104	85.47713161	0		0		6.585197896	7.077924162	0.605288474	0.188982009	0	0.065474462	0	0	0
46		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	37	68.54650974	0		0		0.152635679	13.2039845	11.18758321	6.909284741	0	0	0	0	0
47		AU01_01	PM10	5.475502398	2.640383718	8.470610535	1.042786957	164	42.550686	15.35365433		0		1.92466341	7.135751098	5.534128845	9.839743376	3.088207729	0	13.52901906	0	1.044154074
49		AU01_01	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	94	25.41600764	9.175753593		1.996732503		2.038632892	12.4959901	17.52330214	10.95768288	0	0.424479274	0	0	19.97141838
50		AU01_01	PM2.5	3.017113566	1.959976608	8.09931577	1.730195351	147	64.975667	28.55287492		0		2.125170082	4.346287251	0	0	0	0	0	0	0
52		AU01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	31	70.57107687	8.911316842		0		0	19.38300431	0.199800124	0.100142136	0.112461962	0.127451902	0.154705136	0.193403778	0.246645859
53		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	34	0	13.08243722		0		0	0.174168206	14.03645724	14.49175924	14.74938989	0	0	0.556602376	42.9091841
54		AU01_01	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	50	31.76720738	33.48215222		0		4.787199199	14.82409686	0	0	4.421479627	5.494873226	5.222994089	0	0
57		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	65.28154016	0		0		0.523096323	0	3.08335498	3.307163343	3.705700487	4.21663411	5.148145929	6.466586143	8.267782629
55		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	53.51597667	43.46163869		0.162413577		0	0.069532171	0.250321743	0.26881923	0.302735856	0.344377151	0.420500198	0.527974404	0.675719511
56		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	43.75365674	12.55688667		13.2424444		0.011408164	0.018891701	0	0	0	0	0	19.81711388	10.5995968
58		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	83.29306841	0		0		15.13453871	0.038958481	0.138516433	0.148463913	0.167014333	0.189622771	0.230855448	0.289293192	0.369670591
61		AU01_01	PM10	8.045636177	3.200628398	11.08286744	1.214881794	209	56.89686537	11.38242856		0		6.644894928	4.172732309	0	0	6.636269391	7.451220602	2.756927535	4.058649763	0
60		AU01_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	41	44.61904764	0		0.455994112		0	1.580777578	0	0	0	0	0	47.31599987	6.028183177
63		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	29.4408828	66.07477069		1.163129229		0.044727206	0.079986308	0.287088938	0.30820095	0.346970954	0.394598208	0.481623132	0.604529772	0.773482304
62		AU01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	30	57.78474808	0		0		0	0	0	14.69483823	18.97441894	0	4.043209553	3.656058758	0.846724398
64		AU01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	45	83.8832736	0		2.290849574		0.039407623	12.62945384	0.326730334	0.153481448	0.090856623	0.103081507	0.125379104	0.156998076	0.200477941
65		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	84.15212631	0		1.133092679		0.0148217	13.51458877	0.165575393	0.108819176	0.122339732	0.138793967	0.168769551	0.211288827	0.269777933
67		AU01_01	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	76	52.5485754	8.596683294		0		5.884356424	9.919092059	0	0	5.71536459	4.280415177	7.339264452	0	5.716244131
68		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	24	36.41486764	0		0.292852474		0	9.372490644	17.37958938	36.54020131	0	0	0	0	0
69		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	14.94635195	32.82026052		3.844142333		0	46.44511044	0	0	0.473445142	0.255944487	0.307945115	0.422124518	0.484667486
71		AU01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	56	42.11368561	26.56315267		0		6.797561795	11.08785048	1.243741903	0	0	0	0	11.58489287	0.609125011
73		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	61.44868731	18.78097355		0.634048088		0.595727004	17.23593622	0.605990225	0	0	0.488563534	0.210075919	0	0
72		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	30.12981117	0		7.76271075		0.60064476	5.836915597	1.125620026	30.25535345	11.48443967	0	7.957156003	0	4.847339913
70		AU01_01	PM10	7.59865639	3.110451704	10.0008352	1.047432081	323	27.66016126	1.325807068	27.75880396	2.78284587		31.51620328	3.865448385	0	0	1.601982117	0.60657938	2.882168256	0	0
74		AU01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	0	58.28183889		3.004018962		0	36.55326068	0.361403963	0.195414363	0.218580733	0.246828771	0.297797122	0.370442285	0.470425375
75		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	12.56964356	10.70896387		0		10.95849499	0	0	22.6093635	19.17282343	0	0	0	23.98070395
76		AU01_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	41	51.35443807	0		0		0	0	0.930107757	0	0	1.029918157	34.54881907	9.171175957	2.965545468
77		AU01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	0	0		1.570923068		0.06340585	92.60376692	1.003226731	0.533202803	0.591035746	0.661935238	0.787489768	0.968146138	1.216874551
79		AU01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	38	38.9036417	42.418015		4.737362638		0	1.038908213	0.534354337	0	0	12.27385476	0	0.093877671	0
78		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	59.10476446	0		3.682447597		0.041693877	35.80222726	0.359831261	0	0	0.139071746	0.86996397	0	0
80		AU01_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	72	80.23989201	0		4.105503857		0	5.192870274	1.451409236	3.153207153	0.48246407	0	0.586353522	4.788300768	0
82		AU01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	52.00974941	4.873722792		2.555405349		40.20089805	0	0.152935658	0	0	0.207286747	0	0	0
83		AU01_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	96	59.49025154	0		0		0	15.81926048	3.367234021	12.08693981	0	0	0	0	9.236315638
84		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	52.82599926	0.238227611		0.177120534		4.667929187	39.69759345	0	0	0.794889219	0.279596751	0.337056583	0.449356809	0.53222375
87		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	76.24164224	5.048276857		0		0.016378167	17.38730818	0.171814952	0.121370971	0.136353413	0.154590351	0.187765842	0.234859041	0.299646496
85		AU01_01	PM2.5	1.117449469	1.192803778	4.065583912	1.177085747	32	14.33698982	17.68288612		0		5.302278697	55.04723191	0	0	2.640834078	0.870255288	1.043354627	1.43974321	1.636422053
88		AU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	65.77792764	0		9.404467046		0.022021431	23.06511998	0.22900356	0.161486515	0.181133603	0.205067173	0.248476071	0.310189463	0.395104242
90		AU01_01	PM10	5.587247345	2.667190332	8.656257917	1.067216704	163	58.33572149	3.616120294		5.439428985		0.461923564	13.59684169	0	0	0	8.727867901	5.064935982	2.099821344	2.657345682
93		AU01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	31	44.65467334	24.56718981		1.705929637		6.463319808	0	16.52614176	4.784661531	0	1.298077404	0	0	0
92		AU01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	12	55.12769222	19.93350089		0.03261239		0.256890524	1.283065602	3.896746784	9.86340791	3.777175024	1.271204837	0	4.55769673	0
91		AU01_01	PM10	10.39228006	3.637562637	11.90235464	1.084788484	351	62.52608895	6.018347666		0.693935528	9.248105437	1.41656464	17.3791334	2.717817947	0	0	0	0	0	0
