Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AU01_02	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	102	61.82023883	0	0			0	23.11762422	0	0	1.807654463	12.83828169	0.416202145	0	0
4		AU01_02	PM2.5	1.229194416	1.251023157	4.513776341	1.31901468	63	41.64230824	9.967683256	7.800214738			6.247854978	21.73244655	0.626340834	0	0	0	0	5.760862306	6.222284213
5		AU01_02	PM10	37.99328195	6.955181451	31.65467355	2.098741758	915	53.97322774	0	1.459758729			3.910589591	35.25853455	0	5.397890881	0	0	0	0	0
6		AU01_02	PM10	19.44362076	4.975579046	18.47144574	1.396415855	574	62.15204597	6.651984155	4.601754993	14.20550048		0	10.02114862	1.904591545	0	0	0.462971535	0	0	0
9		AU01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	13	71.54309154	0	0			0.096936326	20.2556923	0	0	2.807067335	0.894054119	1.084374543	1.588512585	1.730270498
8		AU01_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	45	79.8851192	0	0			0	19.27446723	0.194901763	0.069122144	0.077638798	0.087994692	0.106829347	0.133570388	0.170361763
11		AU01_02	PM2.5	3.24060346	2.03127164	7.728021005	1.466563366	117	18.7542662	0	0			5.486687273	29.95691597	3.614332154	12.76960522	11.902529	13.29833269	0.90959724	0	3.30773592
12		AU01_02	PM2.5	4.246307982	2.325202624	9.552642774	1.710116592	113	52.41621733	6.671988964	1.743653789			0.647899462	17.08338112	7.924216241	2.959615551	0	3.28374356	1.794689894	0	5.474589393
7		AU01_02	PM10	5.363757451	2.613302144	8.470610535	1.064511685	196	8.183155209	24.32513684	0			28.68550122	0	20.59594095	14.72964138	1.341277082	0	0.312267337	0	1.827076264
10		AU01_02	PM10	42.46307982	7.352936313	31.31523084	1.837764596	1150	59.92015004	3.605509922	1.499420963		9.614703059	0.469497452	17.76733845	0	0	0	0	0.456548249	0	6.666827947
13		AU01_02	PM2.5	4.469797876	2.385607556	8.022418106	1.145810601	126	71.21886015	0	3.744864464			0	11.24637723	1.085297205	4.515945911	1.578614488	0	0	0	6.610041112
14		AU01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	13	30.42128086	0	0			0.048224221	0.074952521	0	0	28.7460357	0	12.9971534	21.26621306	6.446139514
15		AU01_02	PM10	7.375166496	3.06436839	9.923937539	1.062640469	221	59.68572497	0	0			2.749291062	29.03043628	1.137312688	2.289392985	0	0	0	0	5.107840896
16		AU01_02	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	45	27.92620957	14.42355216	6.68283999			0	0	0	0	1.913907938	0	0.664927159	40.81341028	7.575151324
22		AU01_02	PM10	42.01610004	7.314134267	25.89187609	1.269700929	964	54.50947881	1.062364411	0			5.228501931	0.012477237	0	0	11.34910062	20.3684479	0	0	7.469635457
18		AU01_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	49	47.72696793	25.30673146	2.172673121			0.016353298	17.68665165	0	0	1.412165537	0.075651694	1.317920536	4.284884036	0
17		AU01_02	PM10	5.698992292	2.693730193	9.104450346	1.157442779	175	11.64522022	23.40560108	0.395075465			24.02648628	2.381468378	1.118892059	0.818077661	2.673695609	15.14364779	5.413997173	0	12.97783405
23		AU01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	41	0	35.52021086	2.422870509			48.94453883	2.44953949	2.069769055	3.515443578	0	0	0	5.077626184	0
26		AU01_02	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	26	87.39427328	0	3.345388547			4.646353796	2.19776649	0.21757842	0.233406434	0.262697181	0.29851303	0.363908312	0.456443755	0.583682209
24		AU01_02	PM10	12.51543405	3.991884963	14.03456706	1.252397696	417	56.12738132	1.837454177	6.11335896	17.85018146		0	6.795565039	0.682834629	1.731457189	1.588958316	5.289369822	0	1.983433031	0
28		AU01_02	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	77	20.39221078	14.39882368	0			12.0088473	0.051938609	5.10433577	4.551234096	0	0	7.891685516	0	35.60092449
30		AU01_02	PM10	18.21442635	4.815737525	21.45499741	2.011090298	455	55.70185781	0	0.66217198			2.132541314	30.13385832	1.245755702	6.493615359	2.892715484	0	0.737481331	0	0
29		AU01_02	PM10	28.04798167	5.975935024	21.45499741	1.306006847	861	49.29891825	0	15.51041901	18.6017856		0.061561028	0.091183255	3.175183013	5.770967901	3.121136501	4.368843511	0	0	0
32		AU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	0	7.636728883			0.501424074	56.25082254	3.387145326	3.581082076	3.97326611	4.45988588	5.32839112	6.583052874	8.298201114
31		AU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	98.63362908	0	0			0	0	0.743940659	0.361887482	0	0.260540983	0	0	0
33		AU01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	49.52995479	0	0			0.010687164	3.469656408	0	0	0	43.99500489	2.99470257	0	0
