Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AU01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	79.43528891	2.656426281		0.256544421	0.439793151		1.551180333	1.663835905	1.86763145	2.124336921	2.592381462	3.25328894	4.159279168
2		AU01_03	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	45	40.60040116	0	5.846910551		37.36818731	15.44689685		0.152147748	0.06360613	0.071148179	0.080331229	0.096886052	0.120489858	0.152991712
3		AU01_03	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	84	19.9292317	11.12122163	0		50.62795877	9.237584472		7.315473258	0	0	0	0	1.768532768	0
4		AU01_03	PM2.5	2.234898938	1.68687928	5.672706244	1.145810601	98	59.33042169	12.29971275	3.048038669		6.870174408	7.70964101		0	0	0.164050376	1.8241629	2.417488024	0	6.33630231
7		AU01_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	24	0	46.9044745	0		34.68880653	17.27590114		0.158403488	0.105746533	0.118248072	0.133479503	0.160919724	0.200060708	0.253956392
5		AU01_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	65	68.71230602	0	0		0	0.014084343		0	0	14.45391625	4.971116781	4.594252259	0	7.254325598
6		AU01_03	PM10	9.274830593	3.436434356	13.32382959	1.523148646	279	63.92611861	2.754738182	4.888539016		13.22298199	9.698081017		0	0	0	0	2.21319627	3.296340257	0
9		AU01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	49	0	0	0		4.667269439	13.12311739		2.862588316	15.38015604	20.58623135	30.47671318	3.002166934	0	9.901760519
8		AU01_03	PM10	7.263421549	3.04106487	10.0008352	1.0957751	234	23.40115011	0	0.94244713		1.051638741	3.2462392	68.62952113	0	0	2.728999592	0	0	0	0
11		AU01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	10	85.44400334	0	0		0.388634088	0.347089511		1.239031088	1.3311035	1.496138237	1.704047248	2.08341293	2.617164329	3.34937349
13		AU01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	36	52.74488926	0	1.578642242		1.025394816	4.241850972		1.481182594	7.423527539	0.982081518	0	17.43396372	13.0884707	0
10		AU01_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	38	42.46882796	7.751827687	24.35646653		0.009549138	1.196220983		0.121928938	0.684543652	0.612177281	0	0	0	22.79846072
14		AU01_03	PM2.5	4.358052929	2.35559872	7.574225677	1.047548447	152	23.14413339	46.2077558	0.387364486		26.31743252	0		0	0	0	3.31130065	0	0.632014498	0
15		AU01_03	PM10	58.33086228	8.617955705	48.51899695	3.211555026	1431	55.29351234	3.080525063	0	7.521789521	7.649625838	12.03578711		3.29204239	9.41144228	1.459116954	0	0	0	0.256162486
