Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	45.70699036	38.31832111			0		0.013348984		14.97921795			0	0	0.248875143	0.123991235	0.150609133	0.218218751	0.240434357
5		AU02_01	PM10	15.19731278	4.398842985	14.48275949	1.098312613	570	46.21766508	4.378867149		9.880816936	8.096586913	11.3907516	0.636175741		0.566193135	14.46008086		0	0	0	0	1.537756436	2.835108712	0
4		AU02_01	PM10	13.52113858	4.149174415	18.85593406	2.092536169	549	47.25994766	0		12.80817538	9.974669665	15.37556499	0		0			5.911955237	3.721765429	0	4.947923869	0	0	0
6		AU02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	25	31.65069222	15.93635678			10.94908342		0.607644487		0.011008926			0.74220337	1.00151496	3.505306691	5.488436669	0	24.21223819	5.895514786
11		AU02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	100	84.22471285	0			7.958009094		1.174157858		0.093325251			0	0	0	0	0	0	6.549800187
7		AU02_01	PM2.5	3.911073142	2.231531534	7.651123341	1.191090071	160	33.98660421	4.155273363			12.16806248		0		1.468585059			0	10.56355014	9.521393478	6.072367355	0	22.06416726	0
8		AU02_01	PM10	12.85066889	4.044994414	13.58637463	1.143066701	454	53.2112956	4.979394376			10.86002812		0		0			0	0	0	0	0	2.618538402	28.33074629
9		AU02_01	PM10	5.475502398	2.640383718	9.81518782	1.400113978	134	31.802091	1.50964288			1.84529759		2.111259662		3.83512266			25.96326172	3.61545831	0	2.837301418	0	0.08223154	26.39833689
10		AU02_01	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	210	42.7064687	5.354721844			7.130887359	24.70511347	2.751321532		0			0	1.57165844	3.634155169	3.775675222	0	8.369997144	0
12		AU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	53.51734161	18.50189716			3.357918188		0		0.029045725			1.827172562	0.869302638	0	0	0	0	21.89731598
15		AU02_01	PM10	9.610065434	3.497987327	17.62010649	2.570874335	308	56.16111755	0			21.81613892		0		1.205179747			0	0	0	0	0	0	20.81756294
16		AU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	36.45541668	9.31263119			4.182253033		0.025490701		0.097019458			1.664447226	0	0	45.89005113	0	0	2.372696251
13		AU02_01	PM10	13.74462847	4.183324574	14.29711211	1.183460524	512	50.60245395	11.4976272			3.732417151	7.887526602	2.230082452		22.15712368			0	0	0	1.89276468	0	0	0
18		AU02_01	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	32	56.74193501	0			29.29059267		0.05571284		10.76255739			0	0	0.424317131	0.480980705	0.583762862	0.729633542	0.9305018
19		AU02_01	PM10	17.32046677	4.696073171	16.23048359	1.210301201	663	41.25621319	1.358159352			2.686544321	34.36044157	0.163232395		0.008752825			2.747508325	4.063208774	0.44886237	0	2.844654582	4.148116708	5.914303288
20		AU02_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	6	92.17098355	0			0		0.46524168		0.179048267			0.643491186	0.691440329	0.778113818	0.886048656	1.083203219	1.360662375	1.741765067
23		AU02_01	PM2.5	2.570133779	1.808976496	6.383443719	1.261666216	84	0	32.9501003			1.621944644		27.37796605		2.974582464			0	9.72847417	0	21.8155086	0.277197687	3.254222497	0
21		AU02_01	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	79	46.44460082	35.01318693			6.576567143		0		0			0	0	3.545113653	0.140489405	8.280046284	0	0
22		AU02_01	PM10	6.034227133	2.771825501	9.81518782	1.270473795	197	25.37913918	0	31.31359518		0.994117465		23.4749034		6.777830422			1.03400927	2.488392591	0	0	0	0	8.538014442
24		AU02_01	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	82	45.6536144	0			0		1.114676706		10.31995639			0	19.77272481	6.395337731	0	8.066834509	8.676858991	0
26		AU02_01	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	93	22.6514712	1.506756525			0.357108912		0		35.41089892			13.29483241	21.58720642	2.483309433	2.656094544	0.052319904	0	0
28		AU02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	76.16288662	0			0		0.012887655		9.837937355			0.893924013	6.822129339	6.270231307	0	0	0	0
27		AU02_01	PM10	74.98085937	9.770803204	42.2124509	1.891127714	2252	48.2932359	1.037981082			0	18.21165532	0.143331557		11.86856702	4.660064727	12.42953986	0	0	1.043334045	2.312282845	0	0	0
29		AU02_01	PM2.5	1.899664097	1.555225852	6.044001009	1.530249962	78	44.87171173	10.40054187			6.238602474		0.527929049		5.264925212			6.708309799	25.84951222	0	0	0.138458912	0	0
																										
																										
																										
																										
