Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		AU02_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	51	0	58.48436356		1.765142009		26.36048496	7.108449191	0	0	0.71721212	0.159529306	0.388124259	0.865048356	4.151649028
1		AU02_02	PM10	5.587247345	2.667190332	8.656257917	1.067216704	219	2.531841397	0	33.20124149	0.075957959		45.8558172	0.199267431	0	0.47322344	16.36009514	0.738903321	0.563649228	0	0
2		AU02_02	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	36	41.20761156	0		8.829806		0	1.676960103	0	0.717299245	2.546092123	0.806951709	4.813126475	0.153505581	39.24864531
4		AU02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	56	29.37349379	21.67825401		0		0	0	37.66994476	6.546123326	0	4.732181132	0	0	0
6		AU02_02	PM10	8.716105859	3.331319657	12.16489968	1.351091319	288	49.82214868	19.88589317		0.567011954		4.247481748	8.580745012	0.008872664	6.662558764	0.601827353	3.093060851	0	0	6.530409306
7		AU02_02	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	37	0	9.781754762		5.10404706		28.01103592	11.36721373	20.0078398	2.55936645	0	20.72444409	2.444298379	0	0
9		AU02_02	PM2.5	4.69328777	2.444520318	8.022418106	1.091248192	145	44.92703378	24.4827792		0.025254404		8.090911061	2.396472916	3.235559911	16.84199125	0	0	0	0	0
8		AU02_02	PM2.5	4.358052929	2.35559872	7.574225677	1.047548447	136	5.222851038	4.674451426	40.40661752	4.242264107		22.31675386	3.138141707	4.843119159	9.659723192	0	2.331566811	1.970667206	1.193839405	0
10		AU02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	14	41.22166336	21.96769714		1.737845317		19.07586753	15.08439481	0.141186058	0.083143066	0.09321004	0.105460838	0.12764975	0.159218872	0.202669972
11		AU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	73.95991087		0		21.70127928	0.110096205	0.384657946	0.411494868	0.461959327	0.523769157	0.636153575	0.79566678	1.015000697
13		AU02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	31	76.1063993	0		0		1.60972774	21.11013383	0.507786823	0	0	0.1046294	0.561329536	0	0
12		AU02_02	PM2.5	2.123153991	1.644166543	5.595808581	1.173638483	60	51.25979781	40.21282792		4.830607027		0	2.472619712	0	0.387481716	0.470211077	0.064240873	0.078285183	0.098253018	0.125670317
14		AU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	0	41.53270721		15.66590071		38.92975152	0.039404069	0.134237483	0	0	0.278457743	3.146544471	0.27299975	0
15		AU02_02	PM10	23.46643885	5.466113603	17.65195854	1.056644132	873	10.67621261	1.328068599	35.43969095	1.053672843		40.11670947	1.309714001	0.880271103	1.005737763	0	2.596597001	0	0	5.593320355
17		AU02_02	PM10	6.816441761	2.946008012	10.44902763	1.274630079	260	18.15511882	12.59615272		14.07705694	22.61662185	0	1.261566114	6.237687171	2.374298312	0	0	0	9.660510719	13.02098483
16		AU02_02	PM10	6.14597208	2.79737282	8.918802963	1.029941818	236	15.46149701	10.61616242	30.75909615	0		32.83982575	1.107532624	4.05334942	3.897492588	0	0	1.265031379	0	0
18		AU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	0	89.16546106		0.097648823		0	0.26489126	0.941766519	1.010745391	1.135993376	1.292429306	1.57785248	1.980355941	2.532862313
21		AU02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	0	0		4.26575467		74.50420856	0.068902748	0	6.666513532	3.310523182	0	11.18409485	0	0
20		AU02_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	60	40.05236328	0		7.473197579		48.13476503	3.540803492	0	0	0.253318297	0.090605073	0.109392311	0.17248455	0.1730763
22		AU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	35.57575941	22.47938216		0.023407808		0.012557802	0.020589154	0.646336935	0.809322298	4.37005274	5.976432934	9.23839733	0	20.84776312
23		AU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	13.32909316	2.654174343		0		0.010632335	9.597391635	49.76553917	19.74647045	0	4.89670597	0	0	0
24		AU02_02	PM10	8.716105859	3.331319657	14.77715659	1.993652174	230	50.15140176	3.086072765		0.358135765		2.871059068	3.240260482	17.0927152	0.800120272	0	0	0	22.40023762	0
26		AU02_02	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	99	0	13.97048831		0.83767958		50.42684674	17.55360067	0	0	7.852070034	0	1.853153482	3.964922205	3.541242331
