Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AU03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	59.83852148	0		0		0.54916949	17.28896052		0.915442873	1.349826623	0	0	0	0	20.05807608
4		AU03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	0	0		0.232107495		96.15702033	0.101771147		0.33071416	0.350467931	0.390272727	0.438957801	0.525908917	0.650553964	0.822224747
3		AU03_02	PM10	6.704696814	2.92176062	10.0008352	1.187089692	280	22.4754557	0	29.28825319	0		21.71898633	0		6.389483064	5.430657417	5.719764531	8.756427467	0.220978027	0	0
2		AU03_02	PM2.5	2.011409044	1.600314199	6.569091101	1.707262523	77	0	41.93591475		7.012895495		37.92587221	2.648106404		0	0	0	10.47721282	0	0	0
6		AU03_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	28	0	57.82496929		4.45035398		0	22.40196764		3.322140872	6.61720112	0.159488351	0.627976749	0	4.59590219	0
5		AU03_02	PM10	5.810737239	2.72001111	11.08286744	1.682144022	214	23.24740142	6.378888339		0		16.58762544	0	38.01411986	3.391496092	7.232032716	4.481189325	0	0	0	0.667244615
9		AU03_02	PM10	21.56677475	5.24019756	18.65709312	1.2843781	679	52.62237191	0		6.597564369	9.526003152	4.602265358	11.73368469		0	0	0	0	4.223399609	2.543688007	8.151020855
																							
																							
																							
																							
