Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
8		BU01_01	PM2.5	3.575838301	2.133752265	7.094181194	1.119996892	128	41.80152118	9.104886651	0			2.137226053	3.69736366	0.196308247	10.04748419	26.94825232	6.066961586	0	0	0
6		BU01_01	PM2.5	2.234898938	1.68687928	6.306546055	1.41617	91	41.22921228	12.86691129	1.746111736			0	21.5233162	1.922640577	0	0	20.43637931	0	0	0.275435462
1		BU01_01	PM10	23.01945906	5.413805092	18.36269602	1.165649312	567	74.87295866	0	4.324536026			3.960394487	6.099741161	0	0	0.285280566	0	0	9.550812095	0.906277262
7		BU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	10.17475054	0	0.113052514			52.49060988	22.12146074	1.419080142	1.504782774	1.675258391	1.885651983	2.262789197	2.804431878	3.548128158
4		BU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	36.29452884	29.67225909	0.297923479			0.017662955	0.029365518	0	0	0.911849923	0	0	14.12801445	18.64838451
3		BU01_01	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	34	31.44752979	25.72956681	1.651660912			0.005402963	0	6.871830672	29.00056839	4.772225395	0	0	0	0.521211792
5		BU01_01	PM2.5	4.134563035	2.294403878	8.208065488	1.296707862	144	35.90714037	45.87148726	0			0	6.194980815	0.498201093	0	0	2.570546418	0	8.957651258	0
9		BU01_01	PM2.5	2.234898938	1.68687928	5.224513816	0.971905435	74	46.77111506	20.1540634	12.55063415			1.27254352	0.557107991	0	2.22843159	0	0	16.46610349	0	0
11		BU01_01	PM2.5	3.464093354	2.100147767	8.918802963	1.827316129	114	39.06936049	17.4567163	1.831525005			0	22.13327885	0	0	2.270064689	0.320210075	0.108904275	14.19221908	2.617718093
13		BU01_01	PM10	43.91576413	7.477652542	53.21842068	5.132082822	1266	66.52825475	7.012850791	0.960753486			6.479297578	2.230014093	0	0	5.798347667	0.785138272	0	10.20534188	0
14		BU01_01	PM2.5	3.352348407	2.065996747	8.733155581	1.810436856	137	54.03543115	11.97219342	24.75765198			4.346737266	0	0	0	0	4.887977242	0	0	0
15		BU01_01	PM2.5	2.123153991	1.644166543	5.858353627	1.286351947	85	42.05845594	0	4.326685891			0	44.26949024	0	0	0	0	1.738489605	7.606881112	0
10		BU01_01	PM2.5	4.134563035	2.294403878	10.10958492	1.967103304	141	55.47628403	0	0			0	0	1.178213768	0	0	0	0	8.774212003	34.57128704
17		BU01_01	PM10	5.363757451	2.613302144	9.443893055	1.32319279	216	65.53262472	2.590319887	0.867106672			2.078849822	2.737959661	5.989723653	19.60743666	0.595970405	0	0	0	0
16		BU01_01	PM10	5.698992292	2.693730193	11.19161716	1.748951465	207	46.98064625	11.95351109	27.60931849			5.939956754	0	0	0	0	0	0	7.516575605	0
20		BU01_01	PM2.5	0.446979788	0.754395348	2.874801954	1.471357183	35	51.74460411	26.7848134	0.231260667			0.036588902	19.3308562	0	0	0	0	0	1.871872693	0
18		BU01_01	PM2.5	2.90536862	1.923338301	6.229648392	1.062957658	77	31.50800467	8.116172999	1.644603722			0	51.9705832	1.927750185	0	0	0	0.590891391	2.8296059	1.41238356
25		BU01_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	15	37.28286922	57.3451519	0.738695124			0.062439864	0.111584505	0.400302745	0.429813238	0.483776722	0.550354552	0.671985	0.84359264	1.079432014
23		BU01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	45	44.82934475	13.14013749	0.402820855			0.607111072	0.092460669	0	5.059242994	4.07272242	0	0	1.231553033	30.56460321
21		BU01_01	PM2.5	0.893959575	1.066876133	4.667571668	1.939341297	52	0	19.92868185	0			0	25.88414848	0	0	24.25164878	0	9.976007789	11.50353476	8.455983549
22		BU01_01	PM2.5	2.346643885	1.728536893	5.672706244	1.091248192	107	42.92248487	0	4.03514728			0.028764163	9.283395857	2.67175287	17.27049798	0	0	0	17.19619632	6.591764092
24		BU01_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	84.88234282	11.78141981	0			0.04392126	0.079767074	0.287801959	0.309192366	0.348248892	0.39632055	0.484218588	0.608184049	0.778581295
27		BU01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	80.34983873	19.34247166	0.052007404			0.090328779	0.165350176	0	0	0	0	0	0	0
29		BU01_01	PM2.5	2.681878726	1.847883667	7.945520442	1.87324982	122	67.29103923	0	12.98753172			17.78445691	1.936972514	0	0	0	0	0	0	0
28		BU01_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	79	56.54627085	8.633357286	14.16647285			0.42966227	0	0	0	0	0	11.68758348	8.536652476	0
31		BU01_01	PM2.5	2.570133779	1.808976496	6.120898673	1.160018156	75	44.85291541	12.67888248	0			2.69285813	12.50668615	8.301524073	18.96712631	0	0	0	0	0
