Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		BU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	97.23928571	0	0	0.030525643	0.055677345	0.201097247	0.216027629	0.243340828	0.276906881	0.338547421	0.425226986	0.973365549
2		BU01_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	33	53.73360515	8.033539355	0	0.015999757	20.88251412	0	0	3.315798193	7.06731528	6.951230019	0	0
3		BU01_02	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	33	83.33973885	0	0.522099948	1.271262486	10.63968986	0	0	1.458772086	0.465411134	0.566169014	0.83045261	0.906393863
4		BU01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	65	79.03860211	0	0	19.55449432	0	0	0	0.20437527	0.48321127	0.366221182	0.353092956	0
8		BU01_02	PM2.5	1.340939363	1.306651072	4.96196877	1.461130645	82	44.92339492	4.964724556	0	10.74246541	0	6.349488348	5.864566565	0	0	0	27.1553576	0
5		BU01_02	PM10	24.36039843	5.569256916	18.81088845	1.155910915	634	71.62746191	0	0	1.147162542	0.798036996	12.29434758	6.10040687	0	1.234548446	0	0	6.798034161
7		BU01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	37	35.0443691	15.62072784	6.908158213	0	6.850625575	1.20277321	1.267954055	0	2.233941481	0	28.92325222	1.948193274
9		BU01_02	PM2.5	3.575838301	2.133752265	7.01728353	1.095847984	104	3.536256403	5.550919101	0	5.341800675	10.41824669	10.17601565	28.45175564	23.25012833	1.175379846	0	12.09949106	0
6		BU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	80.20815849	0	0	0.282771164	0	1.750610396	1.880301163	2.11157836	2.405083179	2.940392867	3.694131225	4.726978019
11		BU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	0	48.55337739	0	4.913004488	43.24540496	0.442727795	0.31072516	0.346981408	0.391260488	0.470879115	0.584578747	0.741072698
12		BU01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	32	21.55233622	13.32475543	3.589295596	0	2.295766957	2.324974723	42.4211055	14.4917652	0	0	0	0
13		BU01_02	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	54	39.95305896	4.290774837	5.480056256	0	10.78990772	1.834646054	1.090083923	3.008888848	5.313079804	0	22.73978442	5.499715731
14		BU01_02	PM2.5	0.782214628	0.997971241	3.771186811	1.446839294	48	25.95306337	0	1.466621552	0.011576164	10.71224287	13.66096586	21.00876421	0	0	2.149638906	25.03712177	0
16		BU01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	38	35.52005887	0	0	0.517347502	2.164201625	0.055870006	0	0	1.260247733	44.6847856	11.94880903	3.848679736
17		BU01_02	PM2.5	4.022818089	2.263186044	13.69512435	3.710151993	163	70.60906887	10.68560407	0	4.112808406	10.31139195	0	0	1.414998341	0	2.866125107	0	0
15		BU01_02	PM10	5.698992292	2.693730193	16.72372163	3.905331698	242	67.07855463	0	4.280495644	0.353379757	7.108064741	0	0	3.382926062	0.423860038	4.270480946	3.281999379	9.820241481
18		BU01_02	PM2.5	1.45268431	1.360005555	4.96196877	1.34873598	57	36.33072376	0	0	0.004620997	7.718516886	8.04188624	10.00580117	23.84339571	9.998408705	0	0	4.056655243
19		BU01_02	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	117	40.60126245	0	5.540760234	0	7.711282372	0	3.766166791	16.42601192	25.95451772	0	0	0
20		BU01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	54	36.70933843	0	0.601136498	0.005731613	0.58885077	0	0	0	0	0	11.6629228	50.43201447
22		BU01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	82.43602514	12.87306547	0	0.028436101	2.564653195	0.188405823	0.20225984	0.227780337	0.258996594	0.316052604	0.396710541	0.507611223
21		BU01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	58	96.8069911	0	1.592259854	0.067169097	0	0.444539636	0.477345847	0	0.611698767	0	0	0
23		BU01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	0	37.72557378	1.118125953	0.044392835	48.07359278	8.408275247	2.691642568	0	0.636536675	0.505516119	0	0.79634469
24		BU01_02	PM2.5	3.464093354	2.100147767	8.656257917	1.721317264	173	77.60436535	0	0	0	1.032501552	0	0	0	5.492538214	15.87059796	0	0
25		BU01_02	PM10	7.59865639	3.110451704	11.00596978	1.268556929	211	49.31665063	0	14.55927193	0	10.60181409	0	0	0	0	12.93601692	5.111650378	7.474603504
26		BU01_02	PM2.5	2.570133779	1.808976496	6.569091101	1.336118496	105	77.04244852	0	10.6559433	0	12.30161414	0	0	0	0	0	0	0
27		BU01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	19	0	18.8245073	15.50128013	0.019230209	19.26907748	3.121271916	0	0	38.78647387	0	2.37350259	2.104642801
28		BU01_02	PM10	8.269126071	3.244777082	11.90235464	1.363315257	256	49.95963573	45.14253139	0	0	0	0	2.99472753	0	0	0	0	1.903098635
29		BU01_02	PM10	7.039931655	2.993913722	10.44902763	1.234165632	217	54.06779647	0	5.176088586	0	22.18749523	8.751250803	9.817362577	0	0	0	0	0
31		BU01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	33	73.71955514	0	0	0.015033722	11.46775633	11.06657982	0	0	0	0.164841255	0	3.566239774
34		BU01_02	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	29	24.52198267	5.06885089	0.138426444	0.221593888	0.169889862	0	12.10508943	3.938468173	0	35.43002307	11.9089216	6.496752053
35		BU01_02	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	64	68.03830862	0	0	0.027081551	0.046149179	9.696121514	4.936628416	3.12566869	14.13004398	0	0	0
