Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		BU01_03	PM2.5	3.464093354	2.100147767	10.34027791	2.456207037	169	58.58232379	9.328333288	4.751589149		0		9.779080003	1.296446379	16.16799533	0	0	0	0.094223022	0
2		BU01_03	PM2.5	0.782214628	0.997971241	4.142481576	1.745763357	45	52.69936919	0	8.859285712		0.072594418		4.376205429	2.204110473	0	0	9.677286446	0	16.34334773	5.767807737
1		BU01_03	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	47	59.41479206	0	1.178117562		0.01694309		2.362284996	0	0.185206649	0	0	0	15.25363177	21.58902436
4		BU01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	0	3.603734821	19.38583106		31.67280555		0.054670393	0	0	0	0	1.587504707	43.69544685	0
5		BU01_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	67	22.92209864	0	6.082047522		0.090839824		2.513451502	0	0	0	0	11.22212708	0	57.16943741
6		BU01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	50	9.691759944	9.623842686	1.554379519		7.073297352		7.625680417	0.714121433	3.32641229	2.606384456	0	0	57.78412223	0
8		BU01_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	46	40.80382884	1.064166706	9.428022057		6.952925771		0	1.13474559	0	0	18.90937835	14.06825334	5.177270621	2.461404167
12		BU01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	26	73.48392606	0	0		0		1.022363268	10.42219028	14.29583132	0	0	0	0	0.775683904
11		BU01_03	PM2.5	4.134563035	2.294403878	7.126033249	0.977363705	120	35.83262265	8.525835723	3.563758731		0		0.061750773	2.963164449	15.65696001	11.07570156	11.69790328	0	10.62229946	0
9		BU01_03	PM2.5	3.687583248	2.166835669	7.574225677	1.238011801	151	45.37604749	5.923089758	11.92253903		0.020829265		0	0	0	6.072706357	30.684793	0	0	0
13		BU01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	58	43.62634122	0	0		0.009915361		0.016053455	9.169238061	23.31972122	12.54707575	5.761374161	3.855754063	0	1.694533229
14		BU01_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	85	53.68545055	4.973774776	20.52461952		1.356521342		5.296231806	0	7.767558098	6.395842135	0	0	0	0
16		BU01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	32	21.30197585	4.52115573	1.351039205		0.006940542		0.029828408	7.039620727	7.339509577	31.27986491	11.10999286	8.606302738	3.5417106	3.872055188
15		BU01_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	54	70.27516365	0	0.139886083		0.020367194		18.30711216	2.6625406	1.785566472	0.27117501	6.538190693	0	0	0
17		BU01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	67.69990921	12.79152036	0		10.13836116		8.56127888	0.079772313	0.077909132	0.087561877	0.099301583	0.120667368	0.15099498	0.192721887
21		BU01_03	PM10	7.039931655	2.993913722	10.44902763	1.234165632	150	57.87916183	10.66092849	1.743819378		0		0	0	8.019813895	0	0	0	2.210531011	19.48574483
22		BU01_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	37	55.20388484	0	2.627794445		0.544196367		9.07568112	0	0	0	0	0	5.791315809	26.75712705
23		BU01_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	92	71.80181742	0	8.593646437		0		13.52430433	0	0	0	0	0	0	6.080230698
24		BU01_03	PM10	16.87348698	4.635082619	19.10528555	1.721441867	506	63.76920342	11.79886833	0		0		1.354027167	4.278009757	0	0	3.926119581	6.715343148	8.158435673	0
25		BU01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	26	0	11.48771867	0		0.008557268		35.26259959	0.455820654	0	0	1.114224829	38.42719793	10.17927527	3.064604104
27		BU01_03	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	68	42.13264883	0	0		12.38677055		0	11.90446541	4.556962103	0	0	22.25200683	0	6.767147779
26		BU01_03	PM2.5	1.117449469	1.192803778	5.301411479	2.001452423	55	34.79709029	29.44454849	0.854761433		0.342402398		0	2.177958377	10.39693132	9.728038311	8.305348456	0	0	3.952930123
30		BU01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	44	4.966229573	12.69173175	2.50883624		1.119831391		15.29314965	42.42638946	16.82445258	0	4.169372097	0	0	0
29		BU01_03	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	85	35.15254855	0	18.00639033		0.002590206		0	7.420134544	1.381912734	0	0	7.749971747	12.05217466	18.23427528
32		BU01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	20.25460601	68.29143763	0		0		0.05949036	0	0	0	0	11.39447019	0	0
35		BU01_03	PM10	6.14597208	2.79737282	10.0008352	1.295006937	282	42.7598536	7.755694538	0	31.31013811	0		2.169097215	9.612839669	3.673548624	0	2.718827128	0	0	0
33		BU01_03	PM10	6.592951867	2.89731031	9.181348009	1.017473552	208	65.59867263	0	0		0		0	0	0	0	0	0	5.293151736	29.10817862
36		BU01_03	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	102	12.78593391	0	0		0.555159152		6.256932765	6.860394776	16.69999361	28.54752839	19.6826905	5.527733639	0.672757253	2.410866506
34		BU01_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	44	77.30910182	0	14.36332017		0		5.754338577	0.232461444	0.249152072	0.280219549	0.318183005	0.387410424	0.485480204	0.620340323
37		BU01_03	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	91	63.62048984	0	27.28115618		0		0	0	0	0	0	9.098357707	0	0
38		BU01_03	PM2.5	4.022818089	2.263186044	8.208065488	1.332727525	138	42.23885834	4.906160757	0		0.292825466		1.15695335	15.02594948	26.13760531	7.937615365	0	2.304034494	0	0
40		BU01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	41	0	19.40500438	3.612887114		7.746134698		0.020156719	5.440783128	27.99778283	18.66834909	17.10889935	0	0	0
41		BU01_03	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	67	22.86651284	51.02613568	26.10735893		0		0	0	0	0	0	0	0	0
42		BU01_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	54	73.19764495	0	9.191870689		0		0.515530771	3.536140174	4.803075641	0.168090384	0	0	1.025681011	7.561968267
43		BU01_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	63	39.0481621	29.51441705	0		0		0	0	0	0	31.43742681	0	0	0
44		BU01_03	PM2.5	3.464093354	2.100147767	8.470610535	1.648276158	102	25.36002398	50.03644228	11.6538316		0		1.231176499	0	0	0	10.86799875	0	0	0.850527547
45		BU01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	98.15464616	0	1.314226259		0.035280752		0.495847221	0	0	0	0	0	0	0
46		BU01_03	PM10	8.939595752	3.373758561	13.88077173	1.715139624	278	43.50548983	0.002515784	0		0		1.608774066	0	0	0	0	0	17.86862463	37.01459169
47		BU01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	46	44.78625953	21.62167281	0		0.007130391		2.944469079	4.327921197	1.440385729	0	0	0	17.11041331	7.76174888
48		BU01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	41	25.96355677	0	1.260380354		0.733674038		0.019735527	0	0	0	0	0	9.03622508	62.98642159
49		BU01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	23.84464443	37.455827	0.360756926		0		12.85384297	12.78134733	0	0	0	3.749821708	8.953757584	0
50		BU01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	66	78.18266749	0	0		1.237461064		0	8.165109903	6.932153553	0	0	1.579600014	0	3.90300341
51		BU01_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	76	59.79479551	2.973014303	0		0.012070558		10.97559035	0	3.600008041	21.34535164	0.325283245	0	0.392141286	0.581740309
52		BU01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	32.31104612	44.0731734	0		0		13.51877302	0.327776535	0	0	0.754856272	8.335217834	0.679151295	0
