Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		BU02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	32	52.63662934	21.4044258		0.540139573			0.013097932	24.25557971		0.23931975	0.09792659	0.109860068	0.124381762	0.150733301	0.188185833	0.239720359
1		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	65.37533998	15.51826447		0.037320523			2.562618814	14.76639807		0.162688515	0.168702612	0.189524435	0.214895396	0.261042383	0.326548191	0.416662032
3		BU02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	46	42.43658781	0		5.760138854			1.188433543	1.662564836		0	0	0	0	0	0.583736645	48.36853743
2		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	88.3159399	0		0.604049116			4.341229051	0		0.605064444	0.649661664	0.730913272	0.831629056	1.015540771	1.2748654	1.63110923
5		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	49	0	0		8.470146358			0.400108285	0.011981078		6.770145893	30.15106916	11.14371717	4.468425363	0	32.3078692	6.276536733
6		BU02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	24	49.86262023	0		7.194685191			0.014064848	3.499505296		0	0.084302493	2.321072482	0.554992212	4.476085305	0	31.99267387
7		BU02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	31	59.56917405	10.28311551		7.82340765			0.010472945	12.61699647		1.316991821	0.956344418	0.665832078	3.758273274	0	0	2.999386936
8		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	23.15714955		56.53051138			1.056841481	12.48243004		0	0	2.710366622	0.700014038	1.018440351	1.061530132	1.282715704
9		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	6	0	0		0			0.321778166	74.61112142		0	0	7.001395524	3.092622012	3.677863255	5.592224747	5.702996626
10		BU02_01	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	76	73.61331582	10.67168042		10.86776555			0.037811711	0.021573855		0	0	0	0	0	4.78785485	0
11		BU02_01	PM10	6.592951867	2.89731031	9.290097728	1.041719505	286	57.16791153	5.509867892		18.76650751			2.781743743	0		0.730901677	2.817638218	0	0	0	0.954024494	11.27141565
12		BU02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	46	55.04040718	0		4.283645004			0	0		0	0	0	36.42632067	0	4.249631241	0
14		BU02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	45	56.16019368	40.5210197		1.980762929			0.008860489	0		0	0	0.357271871	0.082749996	0.149155536	0.190646783	0.549343787
13		BU02_01	PM10	9.274830593	3.436434356	11.26851482	1.089475607	322	44.47627366	0		15.69274068	20.61962038		0.464777183	0		1.510930527	4.605309665	0	0	0	2.229289338	10.40105522
15		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	13	17.0789212	13.39733899		0			4.728100449	0.00975025		0	0	0	0	0	5.91956377	58.866328
17		BU02_01	PM10	6.369461974	2.847779989	13.69512435	2.34325389	216	50.25005341	21.56919092		0			0	2.815556154		15.14636725	8.654492348	0	0.814926997	0.749404402	0	0
18		BU02_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	49	66.20085239	0		0			0.660526473	7.266519964		0	0	0	0	23.16441536	2.707683481	0
19		BU02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	68.42229366	20.0664565		0.822624657			5.842401832	4.846215993		0	0	0	0	0	0	0
20		BU02_01	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	61	53.80654335	0		0.135753502			1.025735773	35.41072011		6.16562888	3.008172102	0	0.230671861	0.216770661	0	0
23		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	66.68349504	0		29.23007905			0.057381252	0.099840225		0.354616996	0.380176981	0.427543791	0.485655246	0.591653679	0.741666136	0.947893783
21		BU02_01	PM10	12.51543405	3.991884963	21.76258806	3.011378205	508	44.66279447	0		0.31797667			0.791594479	1.633670926		17.38277078	11.18239909	10.97630039	11.11177281	1.917153597	0	0.023558157
24		BU02_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	78	28.27089429	0		5.449063703			0	5.997126549		0	4.241595045	19.8422119	0	7.981797308	0	28.21732163
22		BU02_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	33	62.78239489	0		4.726678506			0.010814471	14.35065269		0	0	7.434733212	1.036113873	0	9.658607095	0
25		BU02_01	PM2.5	1.78791915	1.508790696	5.410161198	1.302754765	77	65.07869959	0		0			1.074214652	8.302447945		0.254280749	0.741649559	0.789719634	0.136828411	0	0	23.62215519
26		BU02_01	PM2.5	1.117449469	1.192803778	4.667571668	1.551473038	77	28.2448113	0		6.133824214			0	0.007492033		0	0	15.66105485	5.209289119	29.52519953	10.83218604	4.386135563
27		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	0	71.28187418		5.109518394			0	0.59299604		2.078320086	2.228003927	2.498419583	2.840861678	3.465036303	4.348006099	5.556957796
29		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	24.39142764	0		0			0.030978062	6.032856926		3.582882136	12.44807914	0	0	0	53.5137713	0
30		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	73.56489897	0		0			0.41600992	0.022072421		0	0	0	0	20.76975554	0	5.227262527
32		BU02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	44	24.49010164	37.63557076		0			0.617087679	35.84154248		0	0.131049904	0.353655312	0.165696349	0.19999994	0.248960033	0.316339103
33		BU02_01	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	65	30.24471104	0		1.72308255			12.65888512	7.227531821		0.470859883	1.271831896	0	0	0	10.60693935	35.79616547
34		BU02_01	PM10	5.475502398	2.640383718	9.661392493	1.356580636	147	59.75524187	14.49190229		1.218029857			1.875447296	19.86211389		0.429117726	0.995434914	0.780066242	0.592641579	0	0	0
36		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	14.6549508	46.78640962		32.96519518			0.083180564	0		0.498797512	0.53430628	0.600319635	0.681516388	0.829445757	1.038959343	1.326916832
35		BU02_01	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	58	0	0		0.674864324			0.035529691	5.178374052		0	0	0	0	12.08295152	9.685382247	72.3428905
