Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		BU02_02	PM2.5	2.681878726	1.847883667	6.569091101	1.280446892	108	66.45824313	0	0.505308062		0	10.29375419		1.436460949	0.447706087	3.789392486	9.940803796	0	7.128331065	0
4		BU02_02	PM2.5	2.90536862	1.923338301	12.61309211	4.357446154	157	42.0943737	30.48033118	4.081547633		5.096361414	1.116434019		5.245787278	0	0	0.980999786	0	0.819840375	10.08431911
3		BU02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	42	93.11179519	0	0		0.09463848	4.571364447		0	0.189842423	0.645774696	0.242941757	0.296225958	0.37179566	0.475623365
5		BU02_02	PM10	7.710401336	3.1332392	11.34541249	1.328476059	284	47.72191644	9.085243195	5.612548813	16.84257239	0.807466265	0.789472088		3.367814794	0	1.777093485	6.299161911	3.432221711	0	4.264482483
8		BU02_02	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	51	67.56106019	0	2.379507013		2.764594741	1.214674022		2.462709695	4.453292862	0	15.10952115	4.054639488	0	0
9		BU02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	14.28380758	32.19767213	0.651641237		0	14.17135894		20.60763091	6.862931699	9.864887595	1.36007024	0	0	0
10		BU02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	17	0	71.62530422	0		0	0.714210328		2.497976087	2.677853405	3.00133694	3.413100913	4.163727164	5.226448551	6.680042297
13		BU02_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	33	81.31175041	6.036579981	0.437273551		0.038853326	9.209708869		0	0	0.801550783	0.357689545	0.43545654	0.673655048	0.697482564
16		BU02_02	PM10	11.62147448	3.846676601	16.01298416	1.755793557	310	55.09384274	0	10.89698002		1.437064633	6.741420925		6.419819593	2.067641914	0	2.491112053	0	0	14.85211104
17		BU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	72.20560312	0	0		0.023058563	26.80691779		0.644708192	0	0	0.319710909	0	0	0
19		BU02_02	PM10	8.380871018	3.26662768	11.15976511	1.182527056	258	52.63981223	7.79601261	10.80111638		1.513267774	2.784261107		9.379801899	8.915870637	6.169855595	0	0	0	0
18		BU02_02	PM2.5	3.24060346	2.03127164	7.836770723	1.508129123	162	35.45968533	0	12.29524389	27.81225741	0	2.939211577		2.462873049	5.044689402	0	0	0	0.214080373	13.77196461
20		BU02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	28	87.32454777	0	0		0.171888864	0.305620185		1.09304497	1.174419373	1.320420951	1.50398491	1.838999055	2.31022127	2.956853248
22		BU02_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	20	52.30283737	7.439040393	0		0.741523039	0.035085977		0	14.48872387	17.42791384	0	3.663196042	3.176183254	0.725491066
25		BU02_02	PM10	9.945300275	3.55847574	14.51461154	1.685710804	371	79.02208567	0	0		0	0		3.239295632	0	0	0	0	0	17.73862094
23		BU02_02	PM2.5	1.229194416	1.251023157	4.405026622	1.256222687	55	30.39420247	0	0		0.251561077	1.422345731		10.07747054	17.18509048	27.36115456	0	5.466323346	3.857464343	3.984397277
27		BU02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	91.99051857	0	0		0.106818671	0.192141812		0.690441253	0.741943344	0.834884029	0.950806495	1.162532438	1.460402552	1.869498752
30		BU02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	10.48828885	0.479893247	0		0.013094099	2.216368727		0	0	5.009676144	5.91895394	0	51.80894136	24.06478822
28		BU02_02	PM2.5	4.805032717	2.473450559	12.16489968	2.450816811	185	31.36356473	35.90461612	8.80227685		4.626684263	0		0	0	3.979028761	11.44585609	0	3.877977654	0
