Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
6		BU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	88.52608204	0	0			0.159008044	0			1.013423782	1.089017373	1.224632375	1.39501188	1.706005633	2.143313549	2.743506432
4		BU02_03	PM2.5	1.676174204	1.46088031	4.853219051	1.118229051	54	18.76339912	0	11.60526276			4.868269339	30.55079579			0	0	1.189915091	0	33.02235603	0	0
5		BU02_03	PM2.5	2.458388832	1.769213915	6.569091101	1.396851155	99	27.65834928	35.61222851	3.178878129			0	3.090422601			8.289900422	18.17902327	3.991201147	0	0	0	0
3		BU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	16	0	15.23399353	0.277206069			0.048234331	0.071950682			0	0	31.67690039	5.820923671	19.02476102	21.65543437	6.190594658
1		BU02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	21	36.77623868	0	0			0.03966894	0			36.03647053	0	0	19.23786104	7.909762114	0	0
2		BU02_03	PM10	5.698992292	2.693730193	9.475745111	1.253772692	187	76.14709139	1.652978733	10.24348438			0	6.294497848			0	0	0	0	0	5.661951378	0
7		BU02_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	49	86.03510857	0.91754701	11.60155237			0.012655147	0.022748063			0	0	0	0	1.410379633	0	0
8		BU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	35	20.61002403	1.865854859	0			0.009376252	11.78001314			0	0	0	34.87046659	0	26.01591647	4.848361388
10		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	6.088336185	25.82449317	6.647955626			0.021304307	0.033290434			2.895988151	6.318268925	13.11180145	14.90186155	0	24.15668964	0
11		BU02_03	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	51	80.07777333	0	1.777238585			0.656578504	17.08344668			0.178964366	0.059158419	0	0.075345405	0.091500278	0	0
9		BU02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	24	0	31.18711412	61.63322926			0.088721514	0.14504065			0.502928579	0.538872136	0.604672357	0.684609637	4.61480841	0	0
13		BU02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	27	73.546803	24.20333177	0			0.030368776	0			0.198950432	0.21369562	0.240732287	0.273872167	0.334479893	0.420056982	0.537710171
14		BU02_03	PM2.5	2.123153991	1.644166543	6.383443719	1.527280156	88	33.5832119	0	2.83360891			0	9.535835683			14.64670449	24.13718551	9.18655023	6.076896563	0	0	0
15		BU02_03	PM2.5	2.793623673	1.88598837	8.995700627	2.305113008	112	32.05111325	0	0			0	23.68581146			0	0	0	14.67072666	9.461450577	12.71654367	7.414356619
16		BU02_03	PM10	21.90200959	5.280767437	18.28579835	1.214881794	678	51.17198825	0	0	14.84233588		0.193505373	0.402904442	22.43884355		3.981575742	6.968848407	0	0	0	0	0
18		BU02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	43	72.31116295	0	2.201836184			6.585533917	16.86631441			1.110975724	0.577684818	0	0.083520118	0.101394032	0	0.161577133
17		BU02_03	PM2.5	1.45268431	1.360005555	5.038866433	1.390863734	65	24.01756942	0	9.113576263			0	12.47803718			10.09866968	15.02266228	25.32694936	3.94253321	0	0	0
19		BU02_03	PM2.5	2.234898938	1.68687928	6.044001009	1.300712468	82	53.40961218	26.12879872	7.760696113			0.007352389	4.631207138			0.493855029	2.676942945	0.742256967	0.099685078	0	4.049598426	0
21		BU02_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	64	16.98051244	1.155621093	14.96328413			2.017446607	6.433920562			2.172873542	7.575029135	13.21700364	35.48431396	0	0	0
23		BU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	40	16.56265557	0	23.69678617			0.006740577	0.325103616			23.9967972	2.938397601	0	32.47351944	0	0	0
