Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		BU03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	0	11.19039357	0.126502092		0.015020242		0.021677041			0	0	0	0	0.110547943	7.551661134	80.98420501
2		BU03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	38	24.15440381	0	0		0.01487712		0			7.915325463	37.79765666	0	0	0	28.5243392	1.593389548
3		BU03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	14.83246237	0	0		55.73895574		0.420503551			0	0	13.59973848	1.923529617	5.457117781	5.803298578	2.22439114
7		BU03_01	PM10	5.475502398	2.640383718	10.89722006	1.725828374	159	30.05631864	0	23.61742854		1.937742531		11.45900041			13.95218223	2.259034291	0	16.71829075	0	0	0
11		BU03_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	59	51.95902586	45.38312554	1.829805039		0		0.052555569			0.49357079	0	0	0.281917094	0	0	0
9		BU03_01	PM10	7.375166496	3.06436839	14.29711211	2.205540068	248	48.12341034	10.21720469	9.870221466		0		0.003483035			6.75381124	6.079495698	3.56804952	0	0	0	15.38432539
10		BU03_01	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	44	0	31.17062151	7.850815356		0.04010562		0			8.382806927	13.70285749	0	0	0	8.210609108	30.64218462
12		BU03_01	PM10	8.604360912	3.309896157	11.08286744	1.135993366	343	40.41035175	3.239794448	1.107898541	29.74647582	3.835742548		3.591860458			5.497820303	1.96121335	2.114943229	3.756630793	4.737268016	0	0
14		BU03_01	PM10	9.833555328	3.53842783	14.32896416	1.661533734	345	44.09562945	0.51378957	17.23274738	18.15126091	0.121895177		0.347504206			0	5.137892812	5.606018007	5.090541765	0	3.702716529	0
13		BU03_01	PM10	49.94999127	7.97485449	33.43424971	1.780893229	1390	44.09287572	5.480579287	1.785274781	17.17183441	0.710690208	4.243557155	1.731046662	10.42872816	12.97540367	0	0	0	0.600651326	0.779360067	0	0
