Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	In Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		BU03_02	PM2.5	0.670469681	0.923941834	3.694289147	1.619842392	45	21.59397751	15.02177119		0		0.005229565		2.535956353		6.962903589	10.7981436	26.18386745	4.090229794	6.218131259	3.147912025	3.441875428
3		BU03_02	PM2.5	4.469797876	2.385607556	7.574225677	1.021359736	151	65.96560478	0		2.0336641		0		3.611866385		0	0.139740459	7.354308665	4.927006364	0	15.96782207	0
5		BU03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	52	37.7012521	0		19.19429749		0		0.013453561		0.978292525	0	0	0	0	0	42.11270809
4		BU03_02	PM10	17.99093645	4.786101936	16.12173388	1.149634696	708	39.75712061	0		1.879868656	38.18972707	0		0.636535324		3.88969481	6.163428351	4.797611758	0.977330562	0.96330177	0	2.745371871
6		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	53.19821239	41.35085046		0.173373614		0.070769223		0.126885227		0.45564957	0.489363167	0.550810294	0.62679993	0.765631767	0.961353909	1.230296399
7		BU03_02	PM2.5	1.564429257	1.411344463	5.672706244	1.636872287	55	34.82166827	0		6.428865343		2.660028636		0		4.973022267	12.41823062	29.3966502	0	9.30153951	0	0
8		BU03_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	19	64.60648179	0		12.20668554		0.016580685		21.83305919		0.214973907	0.120662712	0.135361205	0.153254834	0.185718131	0.23186442	0.295362761
11		BU03_02	PM2.5	3.017113566	1.959976608	6.044001009	0.963490717	138	43.89512837	0		0		40.60283899		0		6.689338386	4.598436877	0	0	0	0.163184397	4.051074013
12		BU03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	43	52.54043937	0		0.129957974		36.19803488		0		0	0	0	0	2.207582816	8.523058146	0.400933204
10		BU03_02	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	128	23.71378541	4.917515442		0		17.08464175	31.26915395	0		1.103880163	1.777619496	0	0	11.05946749	5.153705925	3.920224309
14		BU03_02	PM2.5	4.358052929	2.35559872	7.75987306	1.099529458	181	24.66844469	4.528675601		0		42.35029221		4.535144195		0	0	4.95040454	5.084395781	3.877723217	10.00491306	0
13		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	92.91664958	0		0		0		0.172036502		0.61879484	0.664967624	0.748394383	0.85227266	1.042035408	1.309043728	1.675807312
15		BU03_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	52	32.48125613	0		28.12621593		0		0.046995195		7.123861462	9.134706855	0	0	0	23.08696359	0
16		BU03_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	74	17.36499518	7.512940466		1.050429419		0		4.466065019		1.913484	0	0	0	0	11.05235294	56.63973093
18		BU03_02	PM2.5	2.793623673	1.88598837	6.569091101	1.229229016	76	0	29.08657193		5.871256813		57.5740993		3.529477119		0	0	0.079220952	0	0.77379141	3.085592389	0
19		BU03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	46.91553414	14.15178776		0		0.020393734		0.033821366		0	0	9.988930076	0	0	28.8895309	0
17		BU03_02	PM10	54.41978914	8.324027123	43.81957323	2.807821973	1243	60.239923	0	14.18463737	0.623555109		6.543215364		0.278111058		0	0	3.074172698	0	0	7.606367022	7.450020313
20		BU03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	34	24.37922657	1.922307536		1.559034735		0		30.0092876		5.148519576	0	0	36.11866534	0	0.112929894	0.750031974
21		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	20.64960003	0		17.89805442		32.91169107		0		0	0	15.85808992	0	2.440369502	7.12280795	3.119378723
22		BU03_02	PM10	34.97616838	6.673308078	41.08537305	3.840540721	838	55.02924323	12.40480319		0		5.881994218		1.64253246		0	3.425870463	10.5919838	11.02356538	0	0	0
23		BU03_02	PM2.5	3.128858513	1.995942481	6.940385866	1.225099731	125	0	0		0		42.07969606		1.457840484		0	0	0	11.70926243	32.36029446	6.629676372	5.763226748
27		BU03_02	PM10	8.827850805	3.352606261	12.79873949	1.476622733	262	56.59980774	0		20.59025168		0.887971371		4.690143466		0	0	7.57259503	1.285800617	3.051523492	0	5.321897939
26		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	21.59549743	33.51646364		0		1.79097224		23.99598211		3.181898966	9.227932245	5.615745857	0.210844842	0	0.86466549	0
28		BU03_02	PM10	7.59865639	3.110451704	10.18648259	1.086680375	239	51.2614429	5.054378137		19.87301707		0.593290292		0		0	0	4.678227007	0.307472865	10.36862507	2.61232201	5.251227319
30		BU03_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	33	39.03333843	42.44709611		0.006400096		7.979567349		6.927599758		3.605999798	0	0	0	0	0	0
29		BU03_02	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	60	38.21111023	0		0		0.40966724		7.612763345		20.73786706	13.17496598	5.109323561	13.11493516	1.629371755	0	0
25		BU03_02	PM2.5	4.581542823	2.415243569	8.022418106	1.117864001	169	30.38691282	1.958451606		0		30.56368828	32.83723891	0		0	0	0.272608898	0	0	3.981098905	0
31		BU03_02	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	140	23.1565237	0		1.190809347		22.04178125		1.965937577		18.04954112	22.28240818	8.423467726	0	0.928060897	1.961472258	0
32		BU03_02	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	42	46.71831727	12.35125363		0		1.812667772		11.02799401		0.600824784	0.991052855	0.828073639	0.163747347	0	0	25.50606728
34		BU03_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	11	0	5.204744264		6.701280177		0		0.104854652		18.81695539	52.72681713	14.88479972	0	0	0	1.56055633
35		BU03_02	PM10	7.822146283	3.15586216	16.90936901	2.908834458	218	55.35586476	0		1.22864861		2.001610585		8.307023346		12.40829378	3.48844938	0	0	6.742515415	0	10.46758965
36		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	13.12610805	0		0		0.027400508		0.040792354		0	16.22044295	5.00928387	0	46.95404172	15.14771879	3.474204615
33		BU03_02	PM2.5	1.45268431	1.360005555	4.405026622	1.062957658	62	19.71718967	19.99840587		1.384978741		3.546062484		7.395759225		0	0	2.187963389	0	0	2.173687704	43.59595776
37		BU03_02	PM2.5	2.234898938	1.68687928	7.388578295	1.94381087	92	43.66286099	0		0		0		12.06106395		0	0	13.55120689	17.35309958	7.661347836	5.710430071	0
40		BU03_02	PM2.5	0.558724735	0.84343964	3.246096719	1.50077349	27	0	0		0		59.9275291		35.83517075		2.804183587	0.772546651	0	0.660562655	0	0	0
41		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	36.74127758	0		0		0.190907414		1.883045398		0	0	24.71132278	0	11.60809845	19.18048263	5.684863403
42		BU03_02	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	39	22.67675996	55.79320192		1.564049721		0		16.93117321		2.32596416	0	0	0.332246441	0.145184842	0	0.231419108
45		BU03_02	PM2.5	1.78791915	1.508790696	5.487058862	1.340051527	100	0	0		0		26.93089843		0		1.073980611	0	0	0	52.2916317	19.70348954	0
46		BU03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	33	69.71626282	0		11.6688706		2.028462104		14.04529065		0.090137607	0	0	0.198057597	2.066589147	0.186335039	0
43		BU03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	27	14.96016979	0		0		14.22291249		1.323203184		0	4.745762423	2.374717593	0	17.09192246	2.891647071	42.38966107
47		BU03_02	PM2.5	2.458388832	1.769213915	6.492193438	1.364339536	93	40.16270041	14.60085511		0		11.598555		7.22663179		9.003355354	0	0	9.884165972	0	1.080309413	6.443420053
49		BU03_02	PM10	7.486911443	3.087496027	14.32896416	2.182312964	239	50.47287345	16.92212671		2.848505415		0		1.408057101		1.565832645	0.474948762	0	12.60847151	3.235191479	0	10.46399847
50		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	62.2788012	0		34.66972709		0.043238161		0.074788771		0.265104766	0.284103304	0.319469068	0.362735614	0.441623805	0.553372363	0.707037235
48		BU03_02	PM10	6.257717027	2.822688927	9.027552682	1.036368677	217	12.69559711	7.383969426		0		28.91856134	29.33936417	3.342125192		7.204636931	3.837541118	0	0	0	1.08825108	6.189953536
51		BU03_02	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	37	34.0719223	18.05231124		0		0.049640069		0.022082368		0.194130978	0.084779086	2.490877919	3.337875381	7.46191144	0	34.23446417
52		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	80.17551303	0		0		0.27560601		0.481932797		1.711603813	1.838183776	2.064327337	2.350919694	2.873617597	3.609751537	4.618550092
53		BU03_02	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	124	38.92691731	0		15.52881747		0		0		0	0	0	0.76240059	0	19.54464614	25.23722351
55		BU03_02	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	77	11.95453554	31.44227564		0		14.32643235		0		0.621993328	1.45965144	0	0	22.14741558	18.0476889	0
54		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	15.09663165	0		17.50534326		0.032250804		36.43962443		0	0	0.860817172	0	30.06533384	0	0
56		BU03_02	PM2.5	0.670469681	0.923941834	4.065583912	1.961809578	31	7.308056206	6.179132685		0.082499353		2.91409716		0.009220245		21.06629759	12.85183579	0.499911467	3.764905408	0	26.67933106	18.64471585
57		BU03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	12.27120608	14.29080218		0		0.015021404		3.654705361		0	0	41.66340828	0	14.86634165	13.23851496	0
59		BU03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	43	16.39739424	42.9853946		0.593312783		28.69870961		0		0	0	0.507726846	0	1.315552928	6.087667868	3.414238244
62		BU03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	24.45296347	13.41516823		0.262263138		0		0.067468546		8.70218128	2.321061864	0	0	0	50.7788837	0
58		BU03_02	PM10	9.051340699	3.394779067	12.08800202	1.284654289	367	15.35063088	0		1.919833757		34.1271162	38.53870332	1.56495478		0	0	0	8.498755842	0	0	0
63		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	15.85436463	7.183076441		0		0.013364296		0.020488669		0	0	38.7855947	21.03953511	0	17.10357517	0
60		BU03_02	PM10	7.039931655	2.993913722	10.63467501	1.27840994	244	17.06987023	0		0.079256314		15.69838822		1.753335819	50.35364032	6.629000604	8.416519314	0	0	0	0	0
