Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CA01_01	PM10	6.704696814	2.92176062	10.44902763	1.295873913	217	55.58956265	0		11.8474558	25.53836107	0.696075521	0.391423143			3.07610929	0	0	2.860995941	0	0	0
2		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	58.70622993	23.63900244		16.81909114		0.011386009	0.020219688			0.072405877	0.077669998	0.087449903	0.099350396	0.121087232	0.151878677	0.194230617
3		CA01_01	PM2.5	1.564429257	1.411344463	5.224513816	1.388436336	98	53.06813121	0		0		3.333475068	27.42809653			0	0	0	0.39514699	0	15.77515453	0
4		CA01_01	PM10	30.7298604	6.255115783	35.70706391	3.301701677	1031	45.26518285	0	4.662785307	0.622168649	19.07168031	0.242888951	0.542660616	11.06103137	10.94000936	0	0	1.930744015	4.704675823	0	0.956183299	0
5		CA01_01	PM2.5	1.564429257	1.411344463	4.405026622	0.987032111	67	62.94181347	0		15.47135562		2.040321194	6.496214122			1.536973752	0.768723665	2.069764398	7.054118067	1.620710827	0	0
6		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	32.7429682	23.6567989		0.968678668		0.006947677	37.74551749			0	0	0	0.123380357	1.439230889	3.316485509	0
7		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	66.3418889	27.43825912		2.512933314		1.38779711	0			1.744490117	0	0	0.26308368	0.119534822	0	0.192007236
8		CA01_01	PM2.5	0.558724735	0.84343964	3.246096719	1.50077349	40	66.36510491	5.756062269		0		0	16.97860807			0	0	0.453067711	0	0.723259803	7.270385325	2.453508042
11		CA01_01	PM2.5	1.117449469	1.192803778	4.065583912	1.177085747	86	56.23005629	0		4.49931249		0.029975412	22.86957651			0	0	6.495498121	9.875564277	0	0	0
12		CA01_01	PM10	6.816441761	2.946008012	9.552642774	1.065318533	246	61.79115176	4.911919311		0.686684716		0.288340356	19.26676631			4.006242007	3.284332156	1.664247364	0	0	0	4.100312665
13		CA01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	45	50.59710145	18.31544787		5.312474445		6.306418031	19.46855336			0	0	0	0	0	0	0
14		CA01_01	PM10	12.18019921	3.938059332	21.42314535	2.998487298	409	57.99454451	8.775208145		12.86910027	12.70699799	0	7.65414536			0	0	0	0	0	0	0
15		CA01_01	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	65	33.21637511	20.47825307		0		0.019860585	4.700281844			4.014671966	4.455491155	0	0	0	9.466526657	23.64854217
16		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	38.23816478	48.19480181		2.778595686		0.032140326	0			0	0	0	0	10.75629815	0	0
17		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	64.18007016	0		0		0.014563419	34.42083299			0.346164918	0.112261577	0.125740876	0.142152421	0.171847921	0.214106403	0.27226219
18		CA01_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	30	56.62207603	3.306583315		0.93853157		0.005968487	19.57380027			0	0	10.00024974	7.426427305	0	0	2.126365155
19		CA01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	56	60.18782258	0		1.138139702		0.753130764	15.52280635			0	0	0	0	0	0	22.39809334
20		CA01_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	53	10.59277803	44.30932105		0		0.012864267	0			0	0	0	1.483644359	0	43.60138178	0
21		CA01_01	PM10	9.610065434	3.497987327	14.93095192	1.84603013	359	63.8169229	0		3.326927498	10.77365428	0.741233723	15.94639271			0	0	0	4.832505062	0	0.562369218	0
22		CA01_01	PM10	22.01375454	5.294221643	22.58207526	1.843417547	724	66.28776193	0		0.360808335		0.22336673	27.77305841			0.358457258	0	0	4.996557161	0	0	0
23		CA01_01	PM10	7.710401336	3.1332392	13.1381822	1.781491328	374	37.42355108	7.330203056		2.928579599	27.72782445	0	0			2.527541295	7.295894623	6.144505739	3.609987348	0	5.011923984	0
24		CA01_01	PM2.5	1.78791915	1.508790696	7.728021005	2.6581461	109	64.38219547	8.48980248		3.686083108		0	8.7070629			0	1.04255164	1.340883784	0	0	4.535054043	7.816380262
25		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	30	61.0259831	23.72846603		10.6747888		0	0.016052699			3.257241473	1.297463849	0	0	0	0	0
26		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	34	51.86471939	19.46201026		0.01101134		2.09144149	4.391435534			14.51788843	6.762102991	0	0.899396837	0	0	0
27		CA01_01	PM10	6.257717027	2.822688927	12.42744473	1.963983777	213	59.76173282	6.734009832		7.282923162	15.83244354	0.538604474	0.970608462			0	0	0	0	0	0.760135986	8.119542897
28		CA01_01	PM2.5	4.69328777	2.444520318	8.022418106	1.091248192	142	51.11402869	14.16989267		2.695632726		0.680701202	18.85193139			0	0	0.902129617	0	1.960781403	0	9.624906629
30		CA01_01	PM10	37.43455721	6.903850997	35.1182697	2.621703991	1250	55.04788756	4.637413844		1.664638706		0.362398033	31.87304735			0	0	0	0.796313491	0	3.035649657	2.582646906
31		CA01_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	72	67.82925129	3.9958857		0		0	22.60830998			0	0	3.57320793	1.993345656	0	0	0
32		CA01_01	PM2.5	1.340939363	1.306651072	4.21937924	1.056520966	64	73.75103831	0		0		2.513668314	21.24737203			0.74211196	0.548310764	0	0	1.197497267	0	0
33		CA01_01	PM2.5	1.45268431	1.360005555	4.405026622	1.062957658	56	22.52591252	14.2499283		0		0.367763359	15.69241136			20.5032602	6.455093622	0	0	2.049435861	0	18.15619916
34		CA01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	39	36.73822284	0		0		0.769926375	21.34816498			4.900049046	0.535467127	0.603277562	10.07236466	0	20.85830718	4.174220562
35		CA01_01	PM2.5	2.123153991	1.644166543	5.858353627	1.286351947	99	43.69209707	33.85784924		0		0.091156428	0.750524597			11.80988774	0	0	0	0	0	9.79848057
36		CA01_01	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	82	42.73527563	9.333577007		0		1.958532073	7.168446481			16.429618	10.14409214	7.626417279	4.604052752	0	0	0
37		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	16.61431491	0		26.21085048		0.093571324	26.92875862			0	0	0	0	30.1525116	0	0
38		CA01_01	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	115	47.76513875	14.13169503		0		0.16664397	30.14430702			0.227054115	0.465031341	3.581970185	3.518170863	0	0	0
39		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	46.40016556	4.364681989		0		3.189300001	0			0	0	0	46.04585171	0	0	0
