Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		CA03_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	43	57.46971965	19.03314888	9.591897577		0	12.39500046		0.585581409	0.435148831	0	0.078619347	0	0	0.410893327
2		CA03_01	PM2.5	2.123153991	1.644166543	6.120898673	1.404232505	78	86.43350601	3.390834481	3.42396833		0	4.158919677		1.083490066	0.810813252	0	0.698469952	0	0	0
3		CA03_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	33	0	34.99789536	63.40789199		0.225658435	0		0.830845907	0.537700299	0	0	0	0	0
1		CA03_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	66	63.08659315	0	0		1.293500513	10.91146022		0	0	0	0	0.767187495	23.94125909	0
5		CA03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	59.42386389	0	0		0.013596396	35.11392176		2.662797645	0	0	0.575940218	2.209877968	0	0
6		CA03_01	PM10	7.486911443	3.087496027	11.63980959	1.440055372	305	51.92324519	8.538608998	3.65607813	23.1140703	0	3.747181967		0	0	0	0	6.836424768	2.184392698	0
9		CA03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	83.77907276	0	0		0	15.41871727		0.150502333	0.06961124	0.078243838	0.088739843	0.107852439	0.134972821	0.172283268
8		CA03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	93.41500401	0	5.617354438		0.037961453	0.069023622		0.249547209	0.267909653	0	0.34320089	0	0	0
10		CA03_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	46	0	3.106125444	5.9789747		0.853798632	29.80199158		40.19576013	16.1641717	0	3.899183497	0	0	0
12		CA03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	45.28369606	0	6.025729328		0.047443656	37.5490278		8.490285277	0	0	1.216250006	0.537705515	0	0.84985951
13		CA03_01	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	78	63.60465288	11.32430062	0.042673119		0.002377826	18.9808026		3.858888894	0	0	1.623207331	0.563088385	0	0
11		CA03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	47	50.35988092	33.27863514	0		0	0.548279798		6.481045485	5.889811367	0	0	1.231358759	2.124562114	0.086440839
15		CA03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	39	87.50177026	0	0		2.735373192	9.76286158		0	0	0	0	0	0	0
16		CA03_01	PM10	7.486911443	3.087496027	10.18648259	1.102899485	205	29.79842126	0	0.005159706		1.473662909	3.552080318	35.21222472	2.292808704	4.899400473	0.177275867	3.391776234	7.519238442	0	11.67795137
14		CA03_01	PM10	51.29093063	8.081190578	34.88757671	1.888387713	1677	49.02377725	2.201761119	2.7027959	38.18777204	0	0.517031271		1.195715833	0	0	0	0	3.828758374	2.342394367
18		CA03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	32	43.01134348	0	0.751803117		11.59105524	0.030657017		0	0	1.515578665	0	9.987292439	33.11227262	0
17		CA03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	70.01175284	0	0		0	26.78165734		0.299765496	0.312849856	0.350783579	0.397095969	0.481036631	0.600415561	0.764638977
19		CA03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	56.63078427	3.568603098	6.975527853		0.013819906	0.023213853		3.297402337	0	0	29.12738919	0	0	0.363262859
20		CA03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	24	45.50653398	0.40248814	0		0.008775867	0.764593901		0	3.082263097	3.39814499	0	0	0	46.83720171
21		CA03_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	25	93.82481575	0	5.031198636		0.015051046	0.027365913		0.098809309	0.10610855	0.119561248	0.135964481	0.165969762	0.208404032	0.266757468
22		CA03_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	42	68.96316409	0	3.072045557		0	26.86011791		0.26594284	0.090299762	0.101265498	0.114608661	0.138805667	0.173205847	0.220542867
23		CA03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	0	0	0		0	2.74994988		9.015131742	9.581021965	10.62825993	11.99826002	14.51848	18.24785024	23.26103896
24		CA03_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	73	40.424034	0	4.598196223		0.907985773	14.75769728		5.3335879	0	16.40553623	7.663566619	9.316140413	0	0.593248475
25		CA03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	7	0	0	0		0.350743672	0.503549678		0	0	0	0	99.14571047	0	0
27		CA03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	27.45559514	57.69527555	1.783867367		0.020930721	6.655045599		0.134493096	0.144010724	0.237798854	0.183648407	0.285139307	0.672850851	4.731347412
26		CA03_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	38	87.0177269	0	0		6.020448357	1.934219524		0	0	0.126960792	0	0.939248037	3.961391002	0
