Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CA03_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	48	36.21820509	6.243366003	1.674032025		0.555794826	22.89870828	3.765506297	21.65867537	6.985717267	0	0	0	0
6		CA03_02	PM2.5	2.346643885	1.728536893	6.306546055	1.348733333	77	45.28315663	12.52697855	3.855229542		0	3.552822396	8.229940385	12.32265234	8.148989081	0	0.32218718	5.758052692	0
3		CA03_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	41	10.77147946	0	17.37929732		0	0.523267407	6.342492998	10.51933542	0	0	40.60165584	11.1532025	2.709269896
4		CA03_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	40	53.9981246	26.69964433	0.617200648		0.007873601	9.235874563	0	0	0	7.062901556	0	2.378375269	0
5		CA03_02	PM2.5	4.581542823	2.415243569	9.475745111	1.55957091	171	47.58654833	0	3.525482118	36.60399616	0	0.721016573	0	0.022654321	0	0	0	11.5403004	0
7		CA03_02	PM2.5	3.687583248	2.166835669	7.01728353	1.062640469	109	55.25048971	12.68526018	4.574713856		0.537922233	11.30279899	0	0	2.653156035	0.245723967	0	11.07655242	1.673374884
8		CA03_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	44	34.22359526	13.49576563	1.395148691		0	20.20694762	9.960670769	20.60323656	0	0	0	0	0.114639674
9		CA03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	10	54.28442359	41.76773429	0.219791196		0.050967862	0	0.329802069	0.354198227	0.398806948	0.453747436	0.554160681	0.695824996	0.890537817
12		CA03_02	PM10	29.61241093	6.140333265	24.06725432	1.556572892	933	55.61119318	0	3.438355401	7.34629035	0	24.66295809	1.753919385	0.006695505	0	0.165504368	0	0	7.015089691
11		CA03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	35.67117751	15.24012685	0.093383889		0.015664482	5.201886594	0	0	5.499769747	1.07130073	7.814823091	3.230144456	26.16172135
13		CA03_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	41	64.59107399	13.11627924	10.82521528		0.166503235	0	0	0	0	0	0.383744179	10.91718525	0
14		CA03_02	PM2.5	1.340939363	1.306651072	3.956834194	0.929130466	64	57.08189011	12.79640347	0.404364243		0	15.68248719	4.76532653	3.210537881	0	0	0.897018518	0	5.161976069
16		CA03_02	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	76	52.85887718	14.66793418	0		0.970762968	15.76969922	0	5.658824742	9.57025066	0.339354458	0	0	0.16428344
15		CA03_02	PM2.5	2.123153991	1.644166543	5.487058862	1.128464444	87	53.54478955	0	1.224380359		0.658007106	12.86029667	6.598452479	4.553733394	0	0.103791885	0	20.45654207	0
18		CA03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	0	79.55724001	2.922197804		0.257735583	0	1.555218082	1.66833885	1.872752048	2.130395174	2.600176074	3.263392299	4.172540084
19		CA03_02	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	75	52.96019912	0	0		0	0	2.443862893	2.884403989	0	0	0	41.71152711	0
20		CA03_02	PM10	8.380871018	3.26662768	11.53105987	1.262523391	310	48.45982492	17.37886518	5.926099792	21.15623355	0.981040578	0	2.061603963	0	0	0	0	4.036326706	0
22		CA03_02	PM2.5	3.911073142	2.231531534	7.01728353	1.001918156	120	41.95022583	15.88335484	0.771104591		2.186349966	9.292534739	0	0	6.825920194	2.131373249	7.301589847	13.65752071	0
23		CA03_02	PM10	12.18019921	3.938059332	13.77202201	1.239170771	352	59.01563764	0	0		1.62985865	30.85300624	0	0	0	4.087238386	4.414263368	0	0
24		CA03_02	PM10	15.64429257	4.463063068	16.83247135	1.441218986	452	56.06014729	4.046893865	1.993889548		1.977444068	30.60226738	2.543988079	1.978833787	0	0	0	0	0.796536077
25		CA03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	4	0	61.34436131	1.072293799		0	9.669473767	2.54237093	2.71863509	3.042778932	3.451946378	4.196562991	5.256085843	6.705486774
26		CA03_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	72	77.60156989	4.831694812	0.773455575		0.289379875	13.30044121	1.525585819	0	0	0	0	1.677876525	0
27		CA03_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	34	27.25208998	47.27502465	0		1.375616807	11.69742495	0	3.077549301	0	0	0	9.322298318	0
28		CA03_02	PM2.5	1.340939363	1.306651072	4.776321387	1.353842302	51	4.353875294	0	5.239809677		2.311324514	0	0	3.205015883	31.86493814	25.47108829	8.452089876	13.44105601	5.660801008
29		CA03_02	PM10	36.65234258	6.831340424	24.03540226	1.254270445	1037	58.28921199	0	0		0	33.46021771	0	2.773524076	2.414652891	3.062401526	0	0	0
30		CA03_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	64	70.80998421	12.25009412	0.061768747		0.009143867	0	0	0	14.31469172	2.554318123	0	0	0
31		CA03_02	PM2.5	2.90536862	1.923338301	6.120898673	1.026169907	78	55.44698238	11.90624908	3.175474331		0.003663544	16.52469933	1.703745686	0.732270209	0.7031532	0.523355464	1.818503253	0.373166171	7.08874613
