Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CA03_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	103	35.2340132	22.27447629	2.938845754		0		15.88618904		3.636336699	7.035091519	0	0	12.99503744	0	0
2		CA03_03	PM10	6.592951867	2.89731031	10.89722006	1.43331509	206	42.35430658	9.817750007	17.51381755		0.130612124		0		8.50366056	18.67430508	1.631912217	0	0.76115285	0.612495421	0
7		CA03_03	PM2.5	1.899664097	1.555225852	4.776321387	0.95565339	87	75.70785284	0	0.244131079		0		24.04802591		0	0	0	0	0	0	0
39		CA03_03	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	83	54.52602506	5.122461915	0.682419538		0		4.61243242		0	7.868562639	3.8387876	3.623805195	0	0	19.72549558
40		CA03_03	PM2.5	3.017113566	1.959976608	6.044001009	0.963490717	83	77.8155148	0	2.96500884		0		11.10706031		0.854882877	4.000193253	2.608752809	0	0.377675658	0.2108627	0.06005239
41		CA03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	5.183750018	0	0		0.00900929		10.02820879		0	7.456425577	20.44852376	46.1925596	6.063256413	0	4.618263617
44		CA03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	29.03763056	0	0		3.145951778		0.015204916		11.17729619	47.85987437	7.887338102	0	0	0	0.876707677
46		CA03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	35	56.60067201	0	4.387640208		0.005725757		13.23533058		9.811855108	0.408917619	0	0	8.184835315	6.155711412	1.209316961
49		CA03_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	72	72.43347168	0	1.620164514		0.354827964		24.23811257		0.161581847	1.19184358	0	0	0	0	0
50		CA03_03	PM10	6.704696814	2.92176062	10.63467501	1.342330437	227	55.05264401	12.45774105	15.97227901		0.797695201		0.465577189		0	0	0	0	5.724657327	6.758671999	2.770737931
52		CA03_03	PM10	6.034227133	2.771825501	8.841905299	1.031003645	156	73.98719788	0	0		0		20.86681128		3.141420335	0	0	0	2.004567161	0	0
51		CA03_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	32	39.73829746	9.491016716	0		0.636119116		4.788934812		34.91457701	6.014692411	0	4.416370392	0	0	0
54		CA03_03	PM2.5	3.464093354	2.100147767	6.67784082	1.024407322	133	38.74956965	9.995735437	0		0.340163684		11.32431403		6.362543255	19.96977627	9.606912732	0	0	0	3.650990874
53		CA03_03	PM2.5	1.564429257	1.411344463	5.410161198	1.488862589	59	55.19142747	0	0		0		25.53022206		0	0	0	19.27834749	0	0	0
