Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CB01_01	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	38	51.32645369	3.16234529		5.466977879		0.006416149		8.546790481			0	0.272483099	26.98685527	4.231674224	0	0	0
3		CB01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	63.97535205	0		0		0.026737739		33.76691043			0.334812491	0.204951386	0.229554949	0.259546749	0.313801621	0.391030498	0.497300969
4		CB01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	47.67497778	21.21990323		27.71737874		0.365582365		0.160982704			0.258403597	0.276972121	0.311496365	0.353737711	0.430777064	0.539881224	0.689906301
5		CB01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	43.59256029	0		6.352426112		0		50.05500913			0	0	0	0	0	0	0
7		CB01_01	PM2.5	2.234898938	1.68687928	5.487058862	1.072041222	107	52.061975	30.98087907		0		0		2.51232069			5.194583908	7.989005744	0	0	0	1.261240058	0
9		CB01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	35	43.60685945	13.89849633		2.259354293		0.008527336		0			0	21.52077109	18.70598942	0	0	0	0
12		CB01_01	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	93	40.6339258	1.015760284		11.25173196		0		1.534076594			1.176722813	1.27025675	0	0	0	11.07007563	32.04745352
10		CB01_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	92	58.52039456	0		0.470305467	35.57578921	0		0			0	0	0	2.987570129	1.537136454	0.908811111	0
13		CB01_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	74	74.6029079	2.373802662		0.988071039		0		4.404235631			2.548815683	0	0	0	2.466928214	12.61523217	0
11		CB01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	18	75.304842	0		1.509010047		0.010236085		22.24538028			0.216010446	0.076680182	0.086072856	0.097497035	0.118249375	0.147729681	0.188293005
15		CB01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	31	23.24185073	5.849811062		7.643063366		0.033192828		0			41.56492949	16.22408777	0	4.084639251	0	0	1.358432975
14		CB01_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	54	47.80723453	8.310750127		4.284960777		0.014806858		8.902354538			21.52031809	4.399169609	0	4.760406539	0	0	0
16		CB01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	14	54.30619121	31.38681054		0.115613639		0.009715207		13.39687705			0	0	0.23422637	0.090264704	0.109703711	0.175317726	0.175285211
17		CB01_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	31	54.13756967	27.87624896		3.954971954		0.005571973		13.03301156			0.116053305	0.042235965	0.045170981	0.051227235	0.062273612	0.097686483	0.577982888
18		CB01_01	PM10	9.38657554	3.457073787	19.96981835	3.380891125	341	62.29615808	7.110831887		10.3279531		2.008936554		1.076225378			4.516972974	3.845223412	0	0	0	3.720804676	5.096878111
22		CB01_01	PM2.5	1.340939363	1.306651072	4.699423723	1.310600129	88	69.94493604	3.585664555		13.84531856		5.133466795		5.623747036			0	0	0	0.084854115	0	1.782009937	0
20		CB01_01	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	95	47.90351689	11.47411689		12.24562526	23.45452905	0		0.040896374			0	0	0	0.310892682	1.445309352	2.238653414	0.886473525
21		CB01_01	PM10	8.939595752	3.373758561	16.86432341	2.531687513	306	56.58626556	0		10.76608896	15.40462673	1.413586456		5.001269281			0	0	5.115110055	0	4.977941513	0.276269391	0.458842982
23		CB01_01	PM2.5	1.229194416	1.251023157	4.513776341	1.31901468	44	70.04096508	10.24028882		8.489918709		0.008992744		0			0	0	0	0	11.21982336	0	0
24		CB01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	28	40.1646018	0		19.56543624		0.01604937		0			14.30330575	14.40950483	0	0	4.23200056	6.845927984	0.463168463
27		CB01_01	PM2.5	1.899664097	1.555225852	5.038866433	1.063601679	79	67.63941646	0		10.24644151		0.123858859		14.33775425			0	0	0	0	0	7.652533054	0
29		CB01_01	PM2.5	2.681878726	1.847883667	6.229648392	1.151537463	80	32.98716247	4.950939864		10.66994891		0.132484536		0			0	8.546016365	19.46947128	0.809531473	0	22.43445665	0
31		CB01_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	42	65.7143116	12.51505166		9.590308368		0.00695295		0			0.16309882	0	0	0	0	4.655134678	7.35514164
34		CB01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	0	0		19.10451651		1.44969048		2.163552493			7.145743817	7.603581995	8.451538533	9.551805258	11.5637362	14.49820548	18.46763939
35		CB01_01	PM2.5	2.123153991	1.644166543	7.01728353	1.845638709	71	69.89387274	10.49462482		8.92271921		0		0.962496363			0	0	5.023300648	0	4.702981934	0	0
37		CB01_01	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	36	71.04264498	16.87984318		0.639285473		2.612353303		7.490511239			0.138988288	0	0	0	1.196378097	0	0
38		CB01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	35	22.12913483	20.3692615		4.391623288		0.008160746		1.673690602			0	0	5.728865042	4.621419683	5.219350755	35.85849404	0
42		CB01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	64.42582607	5.385474861		7.881201059		0		21.47110105			0	0	0.330562051	0	0.117729488	0.229933602	0.158169901
39		CB01_01	PM2.5	3.24060346	2.03127164	8.022418106	1.580428415	139	65.59633017	0		0.754050398	25.96081793	2.152774855		0			0	5.536027625	0	0	0	0	0
46		CB01_01	PM10	14.3033532	4.267504531	14.96280397	1.245598984	383	43.5919255	4.727561399		0	7.894115895	0.802822504		0		36.01798117	2.675998211	1.421036292	1.749830693	0.369122089	0	0.749617582	0
50		CB01_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	39	46.63245976	3.012724407		0		0		8.270599693			0	0.616207113	19.92426813	21.54373825	0	0	0
52		CB01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	70.66252828	5.5556871		14.03412372		0.120663433		1.491992828			0	0	4.462100193	0	0.715274643	2.059328184	0.898298901
51		CB01_01	PM2.5	1.78791915	1.508790696	4.590674005	0.937983431	89	46.29200995	7.53384009		2.18635574	39.02432621	0		2.102817781			0	0	0	0	0	2.86065042	0
55		CB01_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	24	41.46774411	28.45304012		5.847110972		0.010682792		1.186320186			0	0	0	0	0	23.03510755	0
56		CB01_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	18	11.43960431	20.41068077		7.84458369		0		0.029574614			18.73390973	33.12579691	8.415856212	0	0	0	0
60		CB01_01	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	27	77.43282318	0		0.387568655		0.007821086		0.013552971			1.539975498	3.801367059	0.250795274	0	11.90162376	0	4.664471373
59		CB01_01	PM10	6.257717027	2.822688927	9.290097728	1.097525907	203	59.07813907	0		1.642363332	19.72421557	0.68092295		11.96795925			0	3.186891973	0	0	0	3.719510883	0
64		CB01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	44	59.69346166	0		31.38857484		0		0			1.173617039	2.895906009	0	0	0	4.848445952	0
62		CB01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	73.93878698	0		14.12193179		0.010337764		11.67639121			0.158729195	0	0	0.093820941	0	0	0
65		CB01_01	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	59	60.10919213	0		10.23969725		0		0.012064712			9.568861127	20.0701803	0	0	0	0	0
66		CB01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	51.71769857	0		0		0.010448896		9.956236184			0	0	3.66894044	0	0.310393726	23.1516853	11.18459031
67		CB01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	45	50.56048632	10.3002049		20.86795121		0.017254244		0			0	0	0	0	0	7.096108049	11.15800142
68		CB01_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	47	20.03110796	0.8043373		3.106064722		0		0			7.609371841	18.2479769	30.48711121	0	18.99006367	0	0.723978085
77		CB01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	19.44684237	60.71385741		1.080522407		0		14.35738504			0	0	0	0	0	4.401382059	0
76		CB01_01	PM10	40.89865057	7.216216407	31.87217299	1.976534981	1713	46.65946066	3.906799853	5.662263557	0	23.01022261	0.22705982		0.722246803		17.52792001	0	0	0	2.284033224	0	0	0
78		CB01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	28	38.36507797	11.64289564		0.104346487		2.612946182		12.9825756			0	0.982266571	19.61925179	13.69064152	0	0	0
79		CB01_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	49	8.240418881	0		43.92867386		0.003541597		0.154453609			5.1320903	8.141253889	11.76299751	0	0.642965036	4.165778309	17.82783568
81		CB01_01	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	45	61.47911549	0		11.94131374		1.524864137		0			0	0	0	0	0	21.44445926	3.610247001
