Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CB01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	28	36.75599098	0			11.79928705		2.555613965		0		11.16261929	15.19944668	14.40744549	0	2.084400319	3.331146762	2.704040147
1		CB01_02	PM2.5	1.899664097	1.555225852	7.126033249	2.127203358	83	76.250422	0			5.324521661		5.363963172		0.012979857		13.04810494	0	0	0	0	0	0
3		CB01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	30	55.67699075	24.96401072			1.72897689		16.65676683		0.02426865		0.085911812	0.092025881	0.10348428	0.117426633	0.142831123	0.178868102	0.228444533
4		CB01_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	72	60.19018292	3.513356671			0		1.191893872		0.16507461		0	0	0	0	0	8.311420679	26.62806809
6		CB01_02	PM2.5	0.782214628	0.997971241	3.87993653	1.531487459	40	70.68488598	0			2.753339522		0.005887725		11.22518405		4.969260097	4.046428204	0	0	1.962528378	4.352486879	0
7		CB01_02	PM10	6.257717027	2.822688927	9.552642774	1.160436259	205	57.68066049	0			12.3315379		0.749437045		2.682623081		0	0.682515092	0.169930083	0	4.547021165	6.755652279	14.40063268
5		CB01_02	PM10	5.922482186	2.746040517	8.918802963	1.068807547	187	37.39842474	13.62705678			7.712192833		0		3.726841509		0	0	1.350378245	3.972312808	0	12.1834442	20.02934366
9		CB01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	20.63877434	60.25369763			4.782748595		1.792552881		11.44277081		0.107557233	0.105003943	0.11797857	0.1337694	0.162495207	0.203276309	0.259383908
8		CB01_02	PM10	23.68992874	5.492081034	20.26421545	1.379386496	732	62.31008172	0			12.70806491	16.00815505	0.057250739		1.204247866		0	0	0	0	0.094199623	7.618008554	0
11		CB01_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	92	59.32574868	8.129253983			3.075523116		2.408728749		1.84618514		2.225143649	2.218495123	3.65328677	4.043360427	0	0	13.07428032
13		CB01_02	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	26	74.05396104	7.983326167			5.437610671		11.65274754		0.021586308		0.076832541	0.082354579	0.092662958	0.105203665	0.128079648	0.160510605	0.205122773
10		CB01_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	76	46.72789872	0			4.35792394		0		0.090036128		7.885890454	20.08498758	0	0	6.763190776	8.910691738	5.179380253
15		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	49.65622425	21.3675335			2.799760178		0		0		1.133291796	0.288315187	0	0	0	4.790227488	19.96465176
14		CB01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	22	59.00855064	10.58644056			26.99773908		0.012104161		2.553165518		0.076134288	0.081578176	0.091762783	0.104153063	0.126743142	0.158779579	0.202851556
16		CB01_02	PM2.5	1.78791915	1.508790696	6.306546055	1.7702125	60	48.5776484	39.72999752			7.960267365		2.183761075		0		0	0	0	0	1.199111342	0	0.349218817
12		CB01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	44	68.67743731	10.02285033			5.071239546		9.716273844		0.041268952		1.223136485	2.109377831	0	0	0	3.138409182	0
18		CB01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	20	63.24498057	0			0.042382287		1.792198047		6.118349731		0	0	0	0	0	24.05492216	4.74716574
17		CB01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	41	81.89026117	0			2.326079272		0.008072732		11.53341904		0	0	0	0	4.242168367	0	0
19		CB01_02	PM10	24.36039843	5.569256916	18.99653583	1.178839206	620	67.32757688	0			10.72499231	17.90996939	0		4.037457332		0	0	0	0	0	0	0
21		CB01_02	PM10	16.76174204	4.619709168	19.89292069	1.878746072	443	41.13635123	13.60993981			1.830313914	22.30068147	0		2.160622925		0	0	2.706228569	9.41265896	6.118568033	0.724633131	0
22		CB01_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	130	84.25546885	0			0.622646604		2.504320443		7.099364698		0	0	0	2.580584213	0	2.876959555	0.060659251
