Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CB01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	30	85.60623527	0	12.94246763		0	0.035411146		0.127252645	0.136579224	0.153816899	0.174846512	0.213282346	0.26766446	0.342449965
3		CB01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	50.11234879	0	0		0.097537134	1.011080947		0	6.429637223	3.175088391	0	22.95659184	6.197506189	10.02021208
8		CB01_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	117	54.43744063	0	30.34870625		0	0		0	0	0	0	8.648204803	5.863355845	0.702299317
9		CB01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	91.86655879	0	0		0.10852071	0.195141404		0.701130088	0.753428787	0.847787783	0.965509843	1.180517208	1.482996717	1.898413897
11		CB01_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	53	56.86482191	5.047537759	4.845841974		0.005375208	10.12804285		0	0	13.10718209	4.758287221	0	5.242916942	0
10		CB01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	32.63753057	11.32197529	0.075779826		0.299839186	27.84815431		1.342962869	0.956182647	5.52020818	9.156130999	10.84123477	0	0
12		CB01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	20	22.83589542	3.018065915	4.632591084		6.654607505	0		0	2.675072104	25.81911087	22.68941849	7.258689404	1.706616022	2.709933557
13		CB01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	0	13.03237677	9.953849763		0.062720146	0.093017088		0	0	0	0	2.700442635	74.15759563	0
18		CB01_03	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	81	26.27500296	19.28100288	3.067486919		0.140022067	0		5.50025329	15.56829363	0	0	0	14.87849355	15.28944969
15		CB01_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	61	60.00500917	3.357360512	0.447900081		3.091188706	0		0	2.702266909	10.0088723	1.341851708	3.331612796	15.71393907	0
20		CB01_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	39	25.28893948	0	7.166936249		0	8.98604244		42.10659862	11.93239987	0	0	4.519073665	0	0
21		CB01_03	PM10	7.710401336	3.1332392	10.63467501	1.167243858	328	57.07903504	0	1.662040502	39.69643116	0.679819891	0		0	0	0	0	0.882676896	0	0
23		CB01_03	PM10	17.20872182	4.680900035	18.81088845	1.636289478	757	55.66609502	4.711645097	1.246092096	35.57860255	0.426377822	1.636427082		0.696107373	0	0	0	0	0.038661686	0
22		CB01_03	PM10	19.33187581	4.961260804	16.75557369	1.155672405	814	56.34981394	0	0.673263147	36.91208959	0.158626179	0		0.893200189	1.671661809	0.092854811	0	0	0	3.248501942
25		CB01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	36	72.27924466	3.989006951	7.939081639		0.009630188	15.78303277		0	0	0	0	0	0	0
28		CB01_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	73	32.32057691	17.26476252	12.61697412		4.204370081	0		0	0	0	0	0	6.807026267	26.78629756
29		CB01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	29	31.76227212	1.402912103	1.082518883		2.519631386	23.7389639		0	0	0	0.276729814	29.8835367	0	9.333431721
31		CB01_03	PM2.5	2.90536862	1.923338301	6.306546055	1.089361538	103	63.77605796	4.07406725	12.36390024		1.523232739	0		18.26274395	0	0	0	0	0	0
30		CB01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	30	13.55431974	17.25535989	26.57054663		0.01736363	7.274739444		0.125876162	0	0	34.61233974	0	0	0.589450356
33		CB01_03	PM10	26.48355242	5.806884382	21.76258806	1.423098561	961	52.44322419	8.52221027	0	17.28383899	0	1.096553635	15.06143957	0.999117084	2.263779752	0	0.68505914	1.644774154	0	0
37		CB01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	94.40146089	0	2.952499129		0.204858417	0.870426651		0.140924391	0.151328288	0.170481671	0.193879067	0.23666718	0.297153974	0.380326086
35		CB01_03	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	69	42.8534776	0	13.57622296		0	0.255528954		0	12.04649881	11.60471514	0	4.039715976	5.206522346	10.4173176
34		CB01_03	PM10	12.18019921	3.938059332	15.33409874	1.536215898	519	47.85102308	5.682232603	1.673682779	35.33754647	0	0		4.253059998	0	0	3.927800804	0.287340418	0.987318438	0
38		CB01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	43	82.16356635	0	1.186211593		0	16.25605673		0	0.050587778	0.102840457	0.064466463	0.078307005	0.097973645	0
39		CB01_03	PM10	51.62616547	8.107556686	29.02922309	1.298945988	1582	57.35399723	0	0.282933493		0.131854112	33.3866477		0	0	1.963314414	1.166263223	2.520289272	3.194686398	0
40		CB01_03	PM2.5	3.575838301	2.133752265	6.940385866	1.071962265	121	77.72558928	0	0.222204486		1.541427616	17.6681608		0.040701395	0	0	0	0	2.80190967	0
