Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
1		CB02_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	29	26.61898732	3.758705407		1.028024312		1.12234056		0			10.86112931	17.24560261	26.5865624	0	5.279903486	3.639389575	3.85934487	
5		CB02_02	PM2.5	1.229194416	1.251023157	5.038866433	1.643748049	72	20.14105618	30.68423867		32.99473524		4.849550501		0.372212101			2.961971238	0	0	0	0	7.996240258	0	
3		CB02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	28	92.6959753	0		0		0		0.475271652			0	2.12344043	2.652396262	0.358538446	0.43746517	0.551085966	0.705821393	
2		CB02_02	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	49	66.71515107	0		13.21642399		0.011233427		0.441347249			11.4245981	0	0	6.140406802	2.050835453	0	0	
4		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	57.28791356	0		0.120613177		0		0			19.99017149	0	0	0	3.360822797	19.24048364	0	
6		CB02_02	PM2.5	2.570133779	1.808976496	6.044001009	1.13105432	125	30.47139347	8.973802626		13.03238273		1.869030669		2.223549597			0	6.092793867	13.30688	12.3910591	0.301367347	11.3377437	0	
7		CB02_02	PM10	14.5268431	4.300715184	16.04483621	1.410228432	497	56.78603649	0		9.37410444	19.64634359	0.68513914		3.868497908			0	0	0	0	0	9.639882296	0	
8		CB02_02	PM10	5.922482186	2.746040517	14.14331678	2.687750246	48	19.72023994	0		7.722698897		0		39.0612185			0	0	0	0	19.55349445	13.942343	0	
10		CB02_02	PM10	13.63288352	4.166284485	14.73211098	1.266870944	506	51.00010633	0		1.555444021	42.58219302	0		0			0	0	2.727909572	2.134351991	0	0	0	
9		CB02_02	PM10	66.04126362	9.169860873	31.78208177	1.217136939	2081	50.82710385	4.08414565		5.982157961	12.97248751	0.026603063	3.254999965	17.80945361			1.333614625	0.746494578	0	2.962949872	0	0	0	
14		CB02_02	PM10	9.163085646	3.415670212	13.58637463	1.603081349	329	55.58193326	20.01536787		14.26331848		0.071367278		0.561769074			0	5.978302658	0	0	0	3.527949378	0	
13		CB02_02	PM2.5	1.899664097	1.555225852	9.366995392	3.675478903	118	44.00004447	10.46754941		15.5449003		0.013740847		0			0	0.587780867	1.133909263	0.107597257	0	18.02181304	10.1226598	
12		CB02_02	PM10	6.816441761	2.946008012	10.44902763	1.274630079	349	48.57211709	5.945808813		9.590879083	26.36539936	1.254950371		0			0	0	0	4.036049917	0	4.234804958	0	
16		CB02_02	PM10	12.627179	4.009666276	12.87563716	1.044771358	525	44.98475194	2.386409789		3.220603988	32.91088641	0		1.138614863			0.241084164	1.777443103	1.967556402	0.561416941	1.843542047	1.624967344	7.342718542	
15		CB02_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	30	77.09167004	0		10.28521582		9.592366964		0.024202651			2.862492204	0	0	0	0.144046615	0	0	
17		CB02_02	PM2.5	2.570133779	1.808976496	6.044001009	1.13105432	72	29.79021966	24.24661368		10.44586152		0		0.006967026			0	0	8.470549434	0	12.25746349	0	14.78232294	
19		CB02_02	PM10	32.85301439	6.467592835	42.01360996	4.275578758	1299	40.92859328	11.36660725		12.2533001	16.03686661	0.64706346		0.382478861	14.1436249		0	0.259074662	3.500319645	0	0.482067373	0	0	
24		CB02_02	PM10	6.034227133	2.771825501	12.76688744	2.149505404	248	49.20066595	0		1.48664508	40.47773182	0.137287262		0			0	0.688847993	7.238810509	0	0	0.77000414	0	
23		CB02_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	14	0	0		2.679049782		0.022511644		0.031775419			0	0	0	0	0	22.93502688	74.3316412	
22		CB02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	51.06834769	32.50871003		3.744607791		0		0.30298878			0	0	3.71902287	0	0	8.656325191	0	
25		CB02_02	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	113	33.15829039	14.35991675		12.5056684		0.090284256		0			0	0	16.36304706	0	2.498145215	21.02464437	0	
21		CB02_02	PM10	65.48253889	9.130988884	34.22188485	1.423221441	1981	62.1763289	0.232762517		0.760894222	2.252485789	0.035953356		34.54157114			0	0	0	0	0	0	0	
26		CB02_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	58	42.12809205	9.429144114		18.04730594		0.035118364		0			0	16.98757112	11.34947166	0	2.023301274	0	0	
28		CB02_02	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	104	52.66039968	0		9.615538269		0.005919542		1.997981034			21.06529176	6.106179208	0	1.382501237	0	7.166190445	0	
27		CB02_02	PM10	11.17449469	3.771976741	12.87563716	1.180591634	225	41.50125086	0		7.338112593	22.87669182	0	13.47781569	4.922252148			6.873888522	3.00998874	0	0	0	0	0	
32		CB02_02	PM2.5	3.24060346	2.03127164	6.831636147	1.146076745	143	46.78143263	0		0	33.79516602	0		0			0	1.232159045	4.993357137	13.19788247	0	0	0	
29		CB02_02	PM10	24.69563327	5.607446554	20.18731779	1.313188916	852	48.82179797	0		7.587241381	39.84949291	0		1.040089782			0	0	2.291711047	0	0	0	0.409670966	
31		CB02_02	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	53	56.2110424	1.753834635		4.704648256		0		17.58022606			0	0	12.19533458	7.554913312	0	0	0	
30		CB02_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	149	32.78031051	8.506003767		0	30.87030649	1.392282639		0			8.265218884	4.27229479	3.814756498	0	7.161847502	1.988990046	0.947985519	
34		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	18.39720756		32.72572756		0.06075867		1.333002653			6.294071674	27.58536637	9.297715127	0	0	4.306148738	0	
33		CB02_02	PM10	19.33187581	4.961260804	20.92990732	1.803228446	645	43.50694418	5.996853858		0	14.66796845	0		0.347336475		34.37123597	0	0.598688424	0	0	0	0	0.510973902	
35		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	87.77225018	0		0		0.186791352		0			0	1.27352355	1.431641821	1.631449722	1.993712038	2.504465729	3.206155449	
38		CB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	15	12.43295595	23.17186743		53.41852307		0.168138859		0.276199519			0.958910584	1.025527716	1.150033902	1.304112282	1.584232599	1.981786266	2.527707815	
39		CB02_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	52	47.22245932	10.17078161		2.698075585		0		0			0	4.437319562	22.88342118	9.558910131	0	0.547065353	2.481962368	
36		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	23.04354757	0.461567799		0		0.012182875		0.019691691			46.60413265	26.00797713	0	3.850906342	0	0	0	
40		CB02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	16	54.04723883	0		9.552558511		0.010361812		0.017061962			3.659653664	0	0	0	0	9.764889628	22.94823974	
37		CB02_02	PM10	8.604360912	3.309896157	12.53619445	1.453459574	323	61.01098061	0		21.80726826		0		4.036092386			7.681807876	5.463842303	0	0	0	0	0	
41		CB02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	43	0	12.24436238		14.01640624		0.011828959		0.017465377			0	0	0	0	0.090943644	6.424214691	67.19477773	
42		CB02_02	PM2.5	2.346643885	1.728536893	6.044001009	1.238773779	99	66.88631177	0		8.895859867		0.007428074		0			0	0	0	0	24.21040088	0	0	
45		CB02_02	PM2.5	4.805032717	2.473450559	7.836770723	1.017110339	173	47.33752608	15.14369845		24.90655482		1.383324899		1.452055201			0	0	0	0	1.323744096	5.527161434	2.925932594	
43		CB02_02	PM10	6.592951867	2.89731031	11.34541249	1.553641493	239	41.9313997	0		7.045800239		0		1.324946806			6.680363417	6.121788546	0	0.296060182	0	5.090526491	0	31.50911629
47		CB02_02	PM10	16.53825214	4.588807757	18.68894517	1.680622243	669	37.44946122	4.449590296		15.55074602	22.25982547	0.133599574	7.890345156	0.694407849			0	0	5.360515043	3.425256163	0	2.786239795	0	
48		CB02_02	PM2.5	1.005704522	1.131593022	4.21937924	1.408694622	57	43.90582144	0		0		2.110422775		0.026814733			0	11.435242	3.14277932	0	31.43640459	4.736042395	3.206469491	
51		CB02_02	PM10	64.14159952	9.037013941	31.02083374	1.193870668	2241	55.10956049	0.668981066	2.95706857	13.19042742	21.13768756	0.133635814	5.881473422	0.829838496			0	0.091334345	0	0	0	0	0	
53		CB02_02	PM10	11.17449469	3.771976741	16.90936901	2.036184121	338	67.63834953	0		13.09055984		3.237012029		1.196115743			0	0	4.225805774	0	0	10.61215699	0	
54		CB02_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	106	40.10573924	28.82233858		9.13683176		0		0.08938901			0	0	0	14.39735144	5.195415765	2.252942882	0	
52		CB02_02	PM10	36.65234258	6.831340424	28.36353122	1.746662502	879	37.95411885	9.710039198	5.918290094	3.658933192	14.84187692	0		15.36292881	11.04507297		0	0	0	0	0	1.508740988	0	
55		CB02_02	PM2.5	1.005704522	1.131593022	4.590674005	1.6675261	72	34.4489634	0		0		0		4.866464809			0	4.311857373	36.27551794	4.658158123	12.54769564	0	2.891344577	
58		CB02_02	PM10	9.051340699	3.394779067	11.15976511	1.094932459	296	42.07025766	1.974612847		15.99933058	23.4771356	0		0.191983592			0	0	0.00849756	7.762954384	0	0	8.515231311	
59		CB02_02	PM10	6.257717027	2.822688927	9.738290157	1.205978697	165	43.64937246	0		20.11078894		0		2.968176082			2.384208329	10.81226096	4.586599395	3.938572481	11.55001149	0	0	
60		CB02_02	PM10	12.96241384	4.062543279	15.56479173	1.48727364	544	53.79664898	0.654336065		2.765127644	35.93228161	2.177749015		2.517160587			0.321575906	1.43827321	0.396844093	0	0	0	0	
