Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CB02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	42.2129631	30.32514453		1.63239073		0.896009803	21.90794945		0	0	0.337832468	0.101043296	0.203555636	0.440892763	1.942226477
1		CB02_03	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	56	35.70833802	33.96288455		1.183189359		1.815725118	0		2.335195802	7.097943127	0	0	0	17.89672077	0
5		CB02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	54	54.53525782	0		2.755815163		1.981043443	40.49522281		0	0	0.069201982	0	0.038351689	0.064560992	0.060546433
3		CB02_03	PM2.5	3.799328195	2.199421492	6.940385866	1.008905661	141	59.11083221	7.226543128		2.677402645		0	24.07348156		0	0	0	4.399578273	0.599740352	0.245811953	1.666612737
4		CB02_03	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	130	58.24380517	0.291078445		0.917510968		0.011946241	22.26765603		0.237260386	6.727255881	9.33708474	1.966402121	0	0	0
6		CB02_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	99	43.7372148	10.88723764		0	37.02276051	1.797433011	5.639917403		0	0	0	0	0	0.915439241	0
7		CB02_03	PM10	5.698992292	2.693730193	8.656257917	1.046290886	264	48.43806028	4.475824907		24.08510894		0.74756965	1.685665362		0	4.54666391	7.257604599	0	4.440246895	0	4.323259369
9		CB02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	35	27.856794	9.730636328		18.84791702		0.006860739	0.011038782		16.79125577	0	0	4.739744216	6.946813315	0.748643046	14.32029903
8		CB02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	72.95912504	0		10.26524529		1.993720047	13.83134872		0.130752765	0.087731559	0.098555465	0.111722597	0.135669904	0.169671909	0.21645478
11		CB02_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	106	50.71374178	0		5.192632228		0	0.009255607		16.95788503	6.470977515	0	0.285463291	0	0.452880561	19.91717368
10		CB02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	5.348042771	0		0		0.011476952	2.354654483		0	0	54.54663634	34.66674984	0	0	3.072441556
16		CB02_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	45	45.27734816	28.55822444		3.68004106		0.005627436	8.672172576		4.376850277	4.04150337	0	0	2.579398267	2.808824182	0
17		CB02_03	PM2.5	1.564429257	1.411344463	4.96196877	1.252397696	62	59.02242661	20.10135204		2.026651613		3.109030053	8.71764496		0	0	4.007963091	1.758214086	0	1.256710757	0
18		CB02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	18	19.21829432	3.229315206		0.223922753		0.041657651	7.923330367		0	0.083324837	1.380739175	0.367918308	5.13160713	0	62.399894
20		CB02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	35.31262577	61.19269729		1.794833876		0	0.041421954		0.148960424	0.159905502	0.18009356	0.204757741	0.249842717	0.313596823	0.401262054
19		CB02_03	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	68	41.58551395	0		3.865129873		0	5.92463091		1.505794469	3.258760646	20.80119997	7.046506554	5.569859594	2.199578285	8.243018389
21		CB02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	24	67.41141081	29.55598533		0		1.613960601	0.034474352		0.124238979	0.133393484	0.150270609	0.170869962	0.208537467	0.261803879	0.335050491
