Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	45.18182874	0	0		0.031560464	5.887977779	0	0.997783616	0.298482855	0	0	0	47.60237336
1		CB03_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	31	76.25632286	0	1.714732684		0.010225346	21.37824297	0	0	0.089851522	0.097275747	0.117988861	0.147420703	0.187933294
3		CB03_03	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	55	46.88685834	18.87592077	11.37079		0	17.51521975	0	0	0	1.881683432	1.227984764	0.213762769	2.027782612
4		CB03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	53	39.2986834	19.17013973	0		0	27.26933658	0.765028084	0	0	0	1.523327641	10.17331928	1.800169237
6		CB03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	38	17.09235013	12.22351417	5.609340966		0	4.224717617	7.930153608	14.01503831	29.573524	4.584982991	0	4.746390134	0
7		CB03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	16	53.85912657	31.40537441	1.338007767		10.10167003	0	0.297355396	0.318818004	0.35860918	0.407355698	0.496285269	0.622160221	0.795223098
8		CB03_03	PM10	13.07415879	4.080016665	18.58019546	2.101246182	394	53.49305272	10.95549762	4.091287404	18.18466336	0	1.417049672	0	0	0.806878135	2.840573527	0	0	8.211007714
9		CB03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	21	73.24860692	12.0081678	1.816940494		2.304974012	9.693204612	0.091266446	0.08920806	0.100324175	0.113847188	0.138490298	0.173443579	0.221527647
10		CB03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	36	54.6001792	0	0		0	21.54807448	0.257748831	0.599156553	0.951509178	0.263262982	1.208956167	0	20.57111561
12		CB03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	35	61.88837886	8.527950943	12.59297282		14.53954279	0	1.42739797	0	0	0.390020665	0.164584117	0.206052745	0.263094157
13		CB03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	39	23.27894121	10.22491157	0		7.231537998	5.487386137	5.81093356	14.62354511	0	0	0	33.34273994	0
14		CB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	35	40.62128663	0	0		0	23.41388017	5.824567378	0.692936685	4.516919702	13.12644631	11.80396751	0	0
15		CB03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	41	78.09920907	0	1.027716696		0.037242737	0.064531993	0	0	0	0	0	20.77130079	0
16		CB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	31.55866265	3.587188572	0		0	21.11912519	0	0	11.75308451	14.64503855	8.809861541	0.831778161	7.695262879
18		CB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	22.83364832	0	0		0.013390962	0.017365231	12.72577494	54.43964005	8.966177702	0	0	0	1.003998239
21		CB03_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	41	29.88186181	8.676347136	0		0	2.125960402	4.169607535	9.146936238	13.69269639	32.30659366	0	0	0
22		CB03_03	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	59	37.90712953	0	0		0	7.170269638	50.50954819	0	0	1.530005783	2.883049846	0	0
23		CB03_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	13	63.81905079	0	0		0.036743804	0.062126009	4.148065671	18.16353202	13.77047598	0	0	0	0
25		CB03_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	22	73.62800241	1.40884174	0		0.029010675	5.86457625	0	0.304758828	0	0	0	0	18.76480579
26		CB03_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	16	68.88971925	28.63864601	0.665595662		0.023824121	0.043224494	0.155953888	0.16748677	0.188687677	0.214615487	0.262034708	0.329038873	0.421167165
27		CB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	94.86183524	0	0		0	0.124534767	0.448875688	0.482351659	0.543094752	0.618338678	0.755860843	0.949510653	1.215601526
