Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		CM01_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	15.08802325	5.412273854	0.266212947			0.013332888	6.245005131		12.36871257	21.55386209	0	0	7.928990573	1.535434462	29.58815098
5		CM01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	72.27099538	18.81812662	1.861604117			0.022280666	5.346442387		0	0	0.447478192	0.203044526	0.24741115	0.385852926	0.396757852
3		CM01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	45	72.54670858	0	13.78964782			1.928666048	0		0	0	0	0	0.375205115	11.35977134	0
1		CM01_01	PM2.5	1.78791915	1.508790696	5.487058862	1.340051527	73	80.58530688	3.288181871	1.026778296			0.01654439	1.251999196		0	0	6.628675759	1.832209155	2.039625123	0	3.330675513
2		CM01_01	PM10	15.86778246	4.494829042	16.41613098	1.351498335	468	63.79843354	0	5.374616385			0	25.60397387		1.962131262	0	0	0.791417528	0	2.469423227	0
6		CM01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	32	30.87579906	0.382695184	0			3.507307917	1.697710156		0	0	16.3741231	13.16361725	0	25.17157197	8.827160299
7		CM01_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	38	43.3362186	42.55500138	0.686905067			4.47634384	8.174549043		0.075181044	0.074224203	0.083458843	0.094689114	0.115148153	0.14417296	0.184105569
10		CM01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	53.11633348	0	0.255860132			0.037287053	0.018926414		41.25154614	5.164315552	0	0	0.15573143	0	0
9		CM01_01	PM10	6.592951867	2.89731031	11.15976511	1.50321236	203	28.73242199	6.417385489	0		21.02470994	5.077914894	10.32143906		0	8.45964998	11.3415353	0	4.118892923	0	4.506054148
11		CM01_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	49	30.05827963	10.69695354	4.208947346			0	17.09998399		0	0	3.881851584	24.06268716	0	3.412278742	6.579021364
