Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CM01_02	PM2.5	1.005704522	1.131593022	4.328128958	1.482245422	46	56.24964833	0	0			0.860800222	7.180448622		3.914578259	3.014056757	0	0	0	28.78047526	0
4		CM01_02	PM2.5	1.45268431	1.360005555	5.410161198	1.60339048	53	53.92860174	3.097864985	25.6696105			11.78785861	3.814574704		0.656866468	0.127152936	0	0.161830778	0.196540751	0.245724269	0.313378545
5		CM01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	12	67.10910201	0	0			0.030576007	0.051707524		0	0	13.19030374	0	6.256050617	10.30140445	3.060861118
7		CM01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	17	0	4.616772756	12.0619677			0.048520201	6.442765892		0	0	0	0	61.73831224	0	15.09166658
10		CM01_02	PM2.5	2.123153991	1.644166543	5.147616152	0.99316396	75	21.35404497	45.71191669	1.785566099			4.728480428	6.692993641		0	0	11.02986708	7.526527345	0	1.170596387	0
14		CM01_02	PM2.5	2.458388832	1.769213915	9.738290157	3.069763956	139	58.33012462	0	0			3.244940937	7.234346867		0	0	14.78761584	10.17961577	0	6.223354861	0
15		CM01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	39.0853554	38.37187588	0			0.286145555	0.396045996		11.48054153	10.38002595	0	0	0	0	0
17		CM01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	0	0	27.16563046			0	4.788736999		0	0.364185008	40.92398584	26.75745487	0	0	0
18		CM01_02	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	69	52.88873315	0	1.689422876			1.260110084	2.632497437		0	0.572800636	0.744506111	0.178238354	0	33.87649953	6.157190725
20		CM01_02	PM2.5	4.134563035	2.294403878	8.841905299	1.504708023	172	71.03361487	20.24487555	1.893378794			3.970446065	0		1.922933571	0.421566563	0	0	0.513184816	0	0
21		CM01_02	PM2.5	3.017113566	1.959976608	6.120898673	0.988163615	109	35.51097214	26.75787508	8.919365704			0.003170849	0		0	0	19.20620501	3.61850597	0	5.983901024	0
22		CM01_02	PM10	7.375166496	3.06436839	10.44902763	1.178067194	295	49.92040992	8.825390786	4.014757276		9.485188872	0	13.82035315		0	2.256804518	5.948730931	1.667374186	1.621788181	2.43919827	0
23		CM01_02	PM10	11.73321942	3.865125995	12.79873949	1.110982818	407	36.4746809	24.02734905	3.234685957	24.70247746		0	0		0.738329533	0	0	0	0	10.82248017	0
24		CM01_02	PM2.5	3.128858513	1.995942481	6.229648392	0.987032111	96	44.37094629	15.00296295	11.73985898			2.174663357	0.006305923		0	0	17.48287231	3.5461694	0	5.676227063	0
25		CM01_02	PM2.5	4.358052929	2.35559872	8.656257917	1.368226543	147	53.83133888	5.647461116	0			0	25.54795742		0	0	5.68148531	4.256091639	0	5.035673454	0
26		CM01_02	PM10	13.63288352	4.166284485	13.88077173	1.12468172	492	42.41213202	0.966668036	0.842820667	21.45330906		0	0	22.48041481	1.620713808	3.779204562	2.895975299	0.255776523	2.147365175	1.145624649	0
27		CM01_02	PM10	18.77315108	4.889040635	15.78229117	1.055827729	728	43.8487649	2.79661864	0.796608347	36.31855547		1.257438865	1.521877293		2.452756651	4.952132329	3.908772022	2.146482281	0	0	0
28		CM01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	45	29.4536531	0	4.399452731			3.166015446	13.27774525		2.048730478	5.932244286	0	0	33.35033059	8.371817321	0
29		CM01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	25	36.93599105	13.73513341	13.15026283			0.164271146	0.014734193		0	4.548544064	18.96146685	12.48959452	0	0	0
30		CM01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	0	0	18.55610162			0	0.024700051		11.90897673	0	0	0	46.64948881	19.16752309	3.693206608
