Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	Be Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CM01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23		39.02764618	10.26567072	6.871943921			0	0.705422927			2.395785041	7.217969745	0	0	20.06324232	4.794070125	8.658250421
2		CM01_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	40		56.73336387	0	6.80276826			1.023096032	0			0	0	0	19.67409104	10.37155017	0	5.395131931
3		CM01_03	PM2.5	0.893959575	1.066876133	4.142481576	1.527542937	47		40.35164118	8.700118214	0.125385972			2.578192391	1.864747703			0	0	5.062972382	24.62580204	13.68958354	0.267666089	2.73389183
4		CM01_03	PM10	5.475502398	2.640383718	9.552642774	1.326212867	170		48.85793924	0	2.428287081			0	12.81354874			4.11914289	10.46932563	13.48633766	6.888293475	0	0.937130023	0
5		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21		51.47979856	9.633188695	2.141846158			0	0.020273628			4.050861299	0	0	29.50953245	0	0	3.164507821
6		CM01_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	22		0	5.658845231	1.928772032			2.806926705	0			0	0	34.79055762	40.46407938	0	14.35081512	0
8		CM01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	39		40.43256342	6.471585482	11.19573861			1.405453868	12.67151982			0	0	0	0	0	17.70806164	10.11508554
11		CM01_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	187		57.38479495	3.374089301	1.306003332			0.008470939	17.81245023			12.995781	0	0	7.118406892	0	0	0
9		CM01_03	PM10	13.52113858	4.149174415	17.65195854	1.833845187	985		67.72791743	0	4.231888056	13.23084235		1.591040753	5.823537707			0.570176914	0	0	0.230386481	2.328345738	4.265853018	0
12		CM01_03	PM2.5	1.899664097	1.555225852	7.728021005	2.501784565	259		51.08026862	37.45052218	0			0	6.225975975			0.259075221	0.506753474	0.314880232	0.11196055	0.161207817	0.171405287	3.717954084
16		CM01_03	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	91		54.82041836	0	0			0.367954327	5.761991069			0	0	0	0	0	39.04963434	0
