Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		CM02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	60	41.62530601	0	1.14573529		0.043861783	0.596674718	1.129032765	7.185904682	10.24129316	18.10374856	2.203395404	0	17.72504747
1		CM02_01	PM10	8.604360912	3.309896157	11.08286744	1.135993366	276	86.2683773	0	8.951275796		2.795835212	1.98451411	0	0	0	0	0	0	0
2		CM02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	51	53.66784334	3.226002678	25.00225306		0.011524009	0	8.941123635	0	0	0	2.6985595	6.452697515	0
4		CM02_01	PM10	9.721810381	3.518265684	23.77285722	4.626001335	379	39.99080956	8.223801851	11.15409657	25.51609278	0.118994422	1.128859073	2.367259748	3.627724573	1.240563858	0	0.197719922	0	6.434088945
5		CM02_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	23	69.45430636	0	29.37874198		0.014285881	0.164568599	0.089185103	0.095608359	0.107585022	0.122163666	0.148764846	0.186468149	0.238330895
6		CM02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	53	33.72547626	5.551892892	5.844071135		0	10.78524143	0.607886026	3.866145015	0	0	0	39.61929083	0
8		CM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	11.44707128	6.415601075	7.897305489		3.588736802	0.016447988	0	0	0	0	2.547373064	2.791313455	65.29615521
11		CM02_01	PM2.5	3.017113566	1.959976608	9.475745111	2.368237308	169	60.61948538	0	0		1.96297355	35.19643545	0	0	1.171854138	0	0.958821643	0.090424187	0
12		CM02_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	68	32.14588463	28.76850069	1.771116629		1.364998054	0	12.53683418	11.62795499	0	0	0	8.770739287	3.013963811
15		CM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	26.27538443	40.1937753	19.90408003		0	2.361623198	0	0	6.091925874	0	2.459373139	2.713839523	0
14		CM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	37	26.0992527	13.76683116	4.099230841		0	0.010065222	4.532794282	15.71261585	15.17783999	16.63210988	2.799837478	0	1.169437263
16		CM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	0	12.39303499	35.81362963		0	9.945140779	0	0	18.04964542	0	0	23.7985447	0
18		CM02_01	PM2.5	2.011409044	1.600314199	6.306546055	1.573522222	92	71.66003585	0	0		0	22.3864004	0	0	2.120260894	0	0.330111105	3.503190726	0
17		CM02_01	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	90	22.29280919	22.77095467	11.26903296		0	1.267444994	4.894028977	10.6563583	0	0	0	15.72598815	11.12339124
20		CM02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	88	58.23752284	12.50123531	12.91745901		0.008271166	0	0	0	0	0	1.469051559	14.86646682	0
19		CM02_01	PM10	16.53825214	4.588807757	17.0950164	1.406175641	635	53.99431586	16.34412557	14.72796798		0	2.106351778	3.357495368	4.649359733	0	0	0	4.820379987	0
22		CM02_01	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	16	39.88577127	21.99199796	19.7376281		0.267143128	0.45412071	1.595759764	1.710484922	1.919416711	2.181683853	2.659589797	3.335165232	4.261248186
21		CM02_01	PM2.5	2.681878726	1.847883667	6.229648392	1.151537463	158	19.978185	10.602846	0.8501729	24.98417646	0.874183513	2.420247905	0	0	2.602567896	3.258026391	11.92746907	1.735737361	20.76639086
24		CM02_01	PM2.5	4.358052929	2.35559872	9.290097728	1.575934636	173	34.89643335	1.634194516	0	44.40050125	0	0	0	0	0.151406624	0.130335952	3.752439469	4.436107725	10.59857383
23		CM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	4	83.37144256	0	8.929978311		2.99455747	0.115378655	0.412640395	0.442838995	0.498297578	0.566591322	0.691298116	0.867440924	1.109530684
25		CM02_01	PM2.5	2.234898938	1.68687928	6.940385866	1.715139624	83	44.72989738	0	2.24290546		0.020981381	20.01943141	5.173731968	9.711244702	10.85047871	7.251339406	0	0	0
26		CM02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	34	81.34256005	0	0		0.015205477	0	9.329998493	0	0	0	0	9.312231094	0
27		CM02_01	PM10	9.163085646	3.415670212	11.53105987	1.154747004	279	38.75309527	0	10.09558886	19.16621476	0.040330188	0.977968518	0	0	4.511322454	1.382354088	6.722438335	1.697223075	16.65346324
28		CM02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	67.21145511	4.213732854	27.43968964		0	0.028019503	0.099880854	0.107087544	0.120510906	0.136857328	0.16668943	0.208963035	0.26711002
