Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CM02_02	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	22	29.26330268	40.9599036		24.07526672			0.022392982		0			3.319888189	0	0	0.694352156	1.664883085	0	0
3		CM02_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	81	36.87248528	0		13.38249594			0.048338511		0			0	0	0	0	23.04466963	22.20870107	4.443309829
9		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	18.59593391	73.39442968		0.901009515			0.063188624		2.544186264			0.405306043	0.434807409	0.489133224	0.555986539	0.678013312	0.850479305	1.087517757
8		CM02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	15	77.8160274	8.450229466		6.739710271			0.094644894		0.168660691			0.60409396	0.648693694	0.729846302	0.830529723	1.014396269	1.273566484	1.629598625
11		CM02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	14.28178698	0		3.238578513			1.169417892		12.20697612			0	34.03590322	27.7267009	0	0	0	7.34064132
12		CM02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	43	27.15020776	46.89299166		1.286017243			0.697040651		1.692317799			10.43972373	11.84169725	0	0	0	0	0
14		CM02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	52	81.91350698	0		0			0		17.52033532			0.379721471	0.11661913	0	0.069812278	0	0	0
15		CM02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	46.67819738	19.31677461		6.521051377			1.236157864		0.017355119			7.392914593	3.595877811	0	0.810042396	0	0	14.43163306
16		CM02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	42.13968813	0		16.26383811			0.753280334		0			0	0.056524662	0.808260683	0.21041045	2.982368693	0	36.78562939
17		CM02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	41	17.85249561	63.66792917		0			0.278344098		0.602455297			0	0	0	0	0.213357806	17.38542169	0
18		CM02_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	34	30.68248332	23.0963096		19.2835778			0.016827477		9.966519475			0.279325293	0	2.84083467	7.093687356	6.740427017	0	0
20		CM02_02	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	51	41.9885695	12.62280941		0			0.018040203		8.199292421			0	1.54729709	2.83043012	13.48236203	0	19.31120604	0
19		CM02_02	PM2.5	2.90536862	1.923338301	7.574225677	1.571322671	108	55.66433072	0		1.239802316			1.685406826		0			0	0	2.532588132	0.995767303	0.941055641	9.369988739	27.57106721
21		CM02_02	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	72	55.02776504	9.960543364		1.000381727			0		17.62841791			0	5.938363448	9.648010135	0.79651447	0	0	0
26		CM02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	9.470444173	0		0			0.011452565		0.270812097			10.97117066	62.25261688	14.97671902	0	0	2.046779729	0
27		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	74.21632409	0		0.955827069			2.867199481		20.62226534			0.199195044	0.122268649	0.137232814	0.155448378	0.188526197	0.235523563	0.300188013
28		CM02_02	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	23	3.536056727	15.69726318		2.089791745			0.013059404		1.073116157			0	7.901021093	11.2860404	0	42.16238856	12.25235686	3.988894448
30		CM02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	41	88.54060173	0		1.172153186			0.437085237		7.416538894			1.780160517	0.433847448	0	0	0	0.219606678	0
32		CM02_02	PM2.5	1.676174204	1.46088031	5.410161198	1.389605083	103	51.04935169	21.10889405		0			3.983209655		0.005698981			8.680453897	3.946088254	0	6.542990357	4.241985455	0.441331835	0
31		CM02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	28.14926207	18.72215122		0.105061708			1.009581331		0.812067091			39.42703307	6.83305487	0	4.941781983	0	0	0
34		CM02_02	PM2.5	1.229194416	1.251023157	4.405026622	1.256222687	68	50.91978312	0		0			0.954706036		0.029522943			7.150314748	10.52634045	0	0	3.351477161	4.400742054	22.66712189
36		CM02_02	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	132	50.26760697	0		0.705729891			0.883878395		17.25159883			0	0	0.273942505	9.723939747	0	20.89330256	0
35		CM02_02	PM10	17.54395666	4.726273309	18.65709312	1.57888518	677	61.87090874	1.009075437		2.348695323	30.05231917		0		0			0.557694351	0	0	1.293665264	2.867637947	0	0
37		CM02_02	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	57	71.51807547	0		0.79573812			0		3.885263205			12.55517602	0	0	0	0	11.24573946	0
38		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0.460754614	0		0.008911256			0.010955579		1.328464225			4.315511882	7.007627934	46.2398231	15.87682366	12.89668381	6.004335731	5.850096047
40		CM02_02	PM10	18.99664097	4.918055968	18.39454807	1.417397185	589	45.39933801	2.610897645		0.771245081			0.537791708		4.10666354		46.2741375	0	0.299923145	0	0	0	0	0
41		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	26.36246681		0			0.023826931		0.036032798			2.865172923	3.130874038	4.652263597	9.138747305	6.622733176	0	47.16788828
42		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	22.35693634	5.77817969		5.369047448			0.005888238		0.00921735			6.960269809	12.13972569	28.93854082	4.333620518	6.775452942	3.507446125	3.825684637
43		CM02_02	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	28	58.77330303	29.37721908		0.100333523			3.138573468		2.379652113			0	0	2.942862362	0.459406385	1.163859665	1.186001021	0.478780223
44		CM02_02	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	167	44.53469813	15.91377854		9.570790082			0		1.831079461			3.495087847	6.61740303	11.9625546	2.896965854	3.17765139	0	0
45		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	58.49373937	0		18.1499511			0.021071169		21.7183128			0.214108941	0.151003059	0.169336377	0.19166756	0.23215015	0.289719622	0.368938548
47		CM02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	71.83737755	0		0.720808562			0		25.52986443			0.208564545	0.18317838	0.205470272	0.23263304	0.281891623	0.351925171	0.448286766
51		CM02_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	63	66.03428721	5.102844909		0			1.885888167		17.71474779			6.537649035	0	0	2.26601474	0	0	0.458565028
50		CM02_02	PM2.5	2.681878726	1.847883667	5.672706244	0.954842168	96	34.74515975	4.726243764		3.454947844			0.202252786		0	51.80125833		0	0	0	0	0	0	5.070140958
52		CM02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	40	18.31415743	66.05550051		13.08028549			0.037459226		0.06590535			0	0	2.446687222	0	0	0	0
53		CM02_02	PM2.5	1.229194416	1.251023157	4.96196877	1.593960703	37	0	8.878888935		3.743840009			7.714443654		0			0	0	0	18.47205311	12.26667091	0.606829952	48.31726551
54		CM02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	95.36731839	0		0			0.075702596		0			0.407969067	0.438395515	0.493658753	0.562027562	0.687002111	0.863019563	1.104901917
55		CM02_02	PM2.5	2.011409044	1.600314199	5.038866433	1.004512697	74	48.98084402	0		3.13998796			0		17.45969653			0	0	10.704045	0	0	19.71542537	0
																										
																										
																										
																										
