Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CM02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	25	36.39490008	13.46804798	2.293639071			2.52211988	0.359956268	0	0.509717781	32.87926912	11.57233715	0	0	0
2		CM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	82.902807	0	7.628660649			0.129141915	0.2288691	0.817823317	0.878190622	0.987601001	1.12403417	1.373084076	1.723980159	2.205808647
4		CM02_03	PM10	6.14597208	2.79737282	12.61309211	2.059883636	271	69.07078028	0	0			0.397210475	24.12744612	0	0	0	0	6.404566765	0	0
6		CM02_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	96	46.47643864	7.705215365	2.580739558			2.147972956	21.74959332	12.9686594	5.498895049	0	0.87248534	0	0	0
5		CM02_03	PM2.5	2.011409044	1.600314199	5.858353627	1.357815944	102	50.04796386	0	23.75874072			0	2.063378692	4.603270814	14.94759172	4.579053447	0	0	0	0
3		CM02_03	PM10	7.151676602	3.017581393	9.629540438	1.031794934	247	56.76009655	9.153922647	0.648989109			0.951709505	22.94550985	0	0	0	2.510655485	5.965907872	1.063216198	0
7		CM02_03	PM2.5	2.011409044	1.600314199	5.672706244	1.27312289	86	59.08102989	11.92614585	1.221239753			0	24.26433563	0.959226955	1.743767969	0	0.804263912	0	0	0
8		CM02_03	PM10	30.61811545	6.243732488	36.75724409	3.511539551	937	51.77490711	0	4.017918557		6.682819128	0	24.55365062	3.147344291	4.703972116	4.361184314	0	0	0	0.758217834
9		CM02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	39	26.46519244	7.799510658	3.134001791			6.42523542	0.569035858	4.235330969	7.235726714	17.75458604	4.972550273	3.182505816	13.34237009	4.883963242
11		CM02_03	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	32	19.2779094	46.74681425	15.82228988			1.560114324	4.85817939	9.852101654	0	0	0	0	1.882592589	0
10		CM02_03	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	111	37.59985566	10.21325514	3.431462497			0	27.31410861	13.27068806	0	0.924985856	5.020339414	1.599054039	0.626254641	0
15		CM02_03	PM10	9.274830593	3.436434356	14.48275949	1.799644764	368	54.44253087	0	15.46174139			1.579403318	0	13.59667033	0.843800325	0	7.979147881	3.090993315	3.005707078	0
12		CM02_03	PM10	17.76744656	4.756281695	16.12173388	1.16409551	566	48.33549261	11.29806191	5.996786803	24.5605424		0	0.377290091	0.419841474	2.954133973	1.864704862	4.193130136	0	0	0
16		CM02_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	65	44.59766448	0	0			0	24.59712327	0	0	7.565286756	8.631830662	13.91464323	0	0.693459157
17		CM02_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	52	65.37426114	0	0			2.283822931	0	0.126232218	0.156293076	0	0	0	28.18286121	3.876532614
19		CM02_03	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	26	51.88806653	19.36806291	26.25750005			0.034843944	0	0	0	0.260736095	0.620839186	0.540249795	0.451945653	0.577750942
18		CM02_03	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	96	43.74238253	17.73165315	9.639234096			2.632677369	1.825885475	0	0	0	0	0	4.971462861	19.45669353
20		CM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	43.58341396	12.70689815	10.90578884			0.005250853	0.008656928	0	0	0	0	0.049248926	9.562072903	23.17867279
