Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		CM03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	79.42005396	0	19.38992739		0.047451735		1.142569445		0	0	0	0	0	0	0
4		CM03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	94.6696043	0	0		0.070388208		0.127519586		0.459537841	0.493803853	0.555970846	0.632999744	0.773778604	0.972009636	1.244389359
5		CM03_01	PM2.5	2.234898938	1.68687928	5.672706244	1.145810601	61	43.9219743	0	17.49694645		3.693130612		2.139955759		0	10.33147424	13.22234124	0	0	0	9.194169194
1		CM03_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	77	17.15148836	17.65542626	7.884798199		0.003161728		3.47735621		0	12.7109915	23.36953431	5.913421884	0	11.83383018	0
2		CM03_01	PM2.5	3.575838301	2.133752265	6.67784082	0.992394593	168	57.60378242	7.675224543	4.613745958		0		2.445316873		11.21858284	3.650607541	0	1.828293316	0.385509524	0	10.57894155
7		CM03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	55.4972589	0	0.805804133		0		0		10.04861593	6.760478765	3.575131297	4.059572518	4.975759983	6.269065291	8.008313179
12		CM03_01	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	153	35.02863646	8.562965691	19.11294311		0.950135291		2.340046875		0	10.07494777	6.653801352	1.804812066	0	12.34178841	3.129920363
11		CM03_01	PM2.5	4.69328777	2.444520318	9.552642774	1.547248345	188	47.71292508	0	37.70677447		0.236883247		0		5.819302797	0	0	0	8.524116874	0	0
15		CM03_01	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	45	45.14200985	0	0		0.072573719		9.218040854		20.35371214	3.54979299	0	0	0	11.58242747	10.08144319
16		CM03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	34	61.27181053	0	0.951073412		0.072086928		13.16995174		0	0	0.233872351	6.786949933	10.99768057	0	6.516584754
19		CM03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	49	45.99800408	44.11655962	5.124884844		1.898550056		2.023055404		0.075590331	0.08107379	0.091269764	0.103676645	0.126331719	0.158428086	0.202574953
17		CM03_01	PM10	14.07986331	4.23403339	13.4325793	1.019789471	581	39.48252499	4.117806256	1.174097788	37.82527447	0		0		2.431872301	2.009874769	0	0	0	3.625730053	9.332819283
18		CM03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	64.01392221	0	4.093049467		0.029342069		0.04980776		8.405412734	12.71524578	10.69321632	0	0	0	0
