Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		CM03_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	40	89.74632025	0		8.328808099		0.025592223	0.046195174			0.166340452	0.178595411	0.201161578	0.228752173	0.279195281	0.350500038	0.448544649
1		CM03_02	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	41	45.47776878	12.02302948		9.713929147		1.075958181	0.030740444			0	0	0.347847259	0	0	3.82046029	27.51025856
2		CM03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	40.92444479	34.03144479		0.322737684		0	11.46585569			1.767996326	3.898407891	1.415180601	1.084211189	1.319037471	1.656035334	2.11463552
5		CM03_02	PM10	8.492615965	3.288333086	11.53105987	1.245911241	290	54.51379418	5.587041751		0.853206404		1.949975453	20.6639424			1.775187068	8.693130314	0.169993157	0	3.810264543	1.983459108	0
6		CM03_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	90	55.01688719	23.70176464		16.12527966		0	0.285437889			0	0	0	0.587234646	0	4.283393547	0
8		CM03_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	50	31.44010901	6.262600422		0		0	6.294443458			1.848924719	2.779629268	0	0	33.11381638	14.27524984	3.98523137
7		CM03_02	PM2.5	3.352348407	2.065996747	7.574225677	1.361812981	116	24.71236736	38.66950274		6.754609942		0	0			0	0	0	0	0	29.8635155	0
9		CM03_02	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	60	62.26671934	0		1.496198215		5.663071945	0			0	0	0	0	0	7.482878119	23.09113592
11		CM03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	34	35.54899395	33.38174224		15.61784148		8.660774678	0.122977723			3.502100706	3.165566176	0	0	0	0	0
10		CM03_02	PM10	17.32046677	4.696073171	16.49302864	1.249773669	657	44.09624338	6.868369132		2.872195654	10.81456617	0	0.977336708		16.79434776	3.253458813	5.034385249	0	0	0	2.667001635	6.622101367
12		CM03_02	PM2.5	1.45268431	1.360005555	5.487058862	1.649294187	82	24.17121679	27.47387886		0.119874231		1.3869958	21.17635906			12.48575002	13.18592727	0	0	0	0	0
13		CM03_02	PM2.5	3.352348407	2.065996747	7.01728353	1.168904516	131	66.35617614	0		18.88222098		2.011392079	0.123688858			1.536267716	5.778567865	0	0	0	5.311689153	0
15		CM03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	79.11545038	17.53989458		0		0.044125417	0.08002221			0.288582477	0.310009904	0.349154579	0.397326332	0.48540202	0.609634537	0.780399051
14		CM03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	63	34.00804996	18.03496629		6.225271523		2.431426384	1.48496395			10.83876938	22.63666838	0	0	0	4.33989428	0
16		CM03_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	24	93.44342351	0		0		0	4.532561451			0	0	0.548212742	0.242939941	0.296246004	0.46106209	0.475551141
18		CM03_02	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	78	56.87863827	27.40801573		1.549882535		1.710510626	11.5846239			0	0	0	0.868328009	0	0	0
20		CM03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	47	52.3753643	8.08904171		2.736338973		0.027722135	8.81510675			0.40426082	0	0.549373403	7.664159685	3.239062056	12.67978549	3.419780731
19		CM03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	30	17.16228724	0		0.600662036		0.03397112	0			0	0	0	0	0	70.50585151	11.69723347
21		CM03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	34	56.98734522	28.33294868		0		0	0.025331596			0	0	0.438899687	0	14.21547383	0	0
22		CM03_02	PM2.5	1.340939363	1.306651072	4.776321387	1.353842302	34	34.26332474	16.24813676		0		1.363079157	29.74418402			0	0	0	4.814578965	5.789869279	7.776819915	0
23		CM03_02	PM2.5	1.229194416	1.251023157	4.776321387	1.476918875	43	31.24333918	31.6069454		15.59417248		0.714571076	8.510714769			7.969114184	4.187732935	0	0.173411716	0	0	0
24		CM03_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	49	32.33901858	0		7.072601467		1.222178433	0.477808155			0	0	8.083473891	1.445086859	30.02109528	19.33874041	0
26		CM03_02	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	29	51.3538897	0		0		0.008248375	0			0.829647295	0	0	0	33.52741599	11.70005426	2.580750547
28		CM03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	16	64.95792866	0		0		0.029963301	0.050734443			10.63697711	5.413737148	3.426488861	15.48417062	0	0	0
27		CM03_02	PM10	52.74361494	8.19483107	46.20113715	3.220516835	1656	24.48778003	9.328373522		3.057880327	5.443100631	0.204532617	1.274783816	42.40685105		4.296408221	4.109424353	0	0	1.171339769	0	4.219536111
