Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
6		CS01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	38	20.14648467	35.3962481		0	0.033443997	0.054540974	0	0	17.47249514	0	7.693046331	14.8503229	4.353423044
8		CS01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	32	0	45.67558467		0	0.055664778	7.391062379	1.545413956	2.64305789	1.111413352	6.644933671	0	0	34.93287265
33		CS01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	29	40.93291759	0		0.135671161	0.102585636	0.028823505	0	0	32.89368451	25.90631843	0	0	0
44		CS01_02	PM2.5	1.340939363	1.306651072	5.224513816	1.619842392	43	0	8.158516139		4.066635296	19.34085488	0	0	28.81051302	22.57958651	10.01324877	3.059676103	1.065808535	2.905168198
45		CS01_02	PM10	13.63288352	4.166284485	13.65007874	1.087608831	415	19.53622103	0	35.48262119	0.343015441	37.89526522	0.092293136	2.680785395	0.996417366	0	0	0	0	2.973374724
48		CS01_02	PM2.5	2.234898938	1.68687928	5.93525129	1.254326129	38	40.11092782	11.08848974		8.665380627	1.483344845	0	0	0	0	38.6518538	0	0	0
49		CS01_02	PM2.5	3.017113566	1.959976608	6.044001009	0.963490717	62	14.52096403	0		8.77353102	5.15406616	11.68366224	42.88572669	13.13567311	0	0	0	0	3.846361116
50		CS01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	74.53528643	0		0	0.030943714	0	0	12.23786101	12.51874417	0	0.677170698	0	0
51		CS01_02	PM2.5	3.799328195	2.199421492	7.126033249	1.063601679	121	0	21.93941474		0	42.37615764	1.711895876	6.459031999	16.59480333	9.89240855	0.42593861	0	0	0.600349763
52		CS01_02	PM10	12.96241384	4.062543279	13.69512435	1.151426481	365	14.35643584	0	24.45060611	0	37.87762523	0	3.189082816	0	0.839534588	3.302333876	14.60481137	1.379573252	0
