Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CS01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	41	83.36846828	1.086661499	3.037318029		0	0.096842524	7.763624936	2.793485112	0.173313834	1.257904712	0.161731662	0	0.260651694
9		CS01_03	PM2.5	1.676174204	1.46088031	5.487058862	1.429388295	55	63.44183683	0	2.846423537		0	12.78852671	8.998032659	0	0	0	1.932951622	9.992223978	0
10		CS01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	4.189531505	6.767250597	1.554621104		0.009430447	0	19.4755137	15.50178081	0	0	40.66538811	8.846990764	2.989488468
11		CS01_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	48	0	7.221505791	5.464170501		0.00800856	0	0.934793241	24.01387841	36.84798777	10.54121107	6.27412945	2.718319558	5.975998566
12		CS01_03	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	39	31.31977618	0	1.138044987		0	0.011865285	24.7559756	5.392419919	0	6.618560106	0	26.14396513	4.619397223
14		CS01_03	PM10	11.28623964	3.790789709	13.80387407	1.34351601	260	64.29204941	0	14.32119608		0	0	0	0	0	10.89414507	10.49260646	0	0
13		CS01_03	PM2.5	4.69328777	2.444520318	7.651123341	0.992575059	117	29.46702242	2.924049459	0		0	0	0	0	2.915215865	9.09672603	7.461734116	6.629662216	41.5055871
15		CS01_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	0	70.08283734	9.100226313		11.70925573	0.109302672	3.046671487	2.642033622	0	0.522629125	0	0	2.787041664
16		CS01_03	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	66	19.75780278	0	0		0	0.722322008	1.820393093	2.739037573	0	0	56.84131384	14.64821845	3.470916674
24		CS01_03	PM10	18.21442635	4.815737525	19.21403527	1.612916204	362	48.75079095	25.35466254	2.015360445		1.603279822	0.473125046	9.886971861	4.882118851	0	4.505009204	0	0	2.528683841
23		CS01_03	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	47	59.90086198	20.35774142	1.792608947		3.917012736	0.313592446	2.429698035	2.629368752	0	0	0	8.659118414	0
25		CS01_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	56	24.76492077	0	0		0.067631115	0	8.220117539	8.502954245	25.96426308	13.52076828	0	18.95934194	0
26		CS01_03	PM10	68.94663224	9.369395853	36.78909615	1.562123315	1463	62.52277493	21.89250886	0		0	1.898284256	7.844977081	3.012868203	0	0	2.828575298	0	0
27		CS01_03	PM2.5	1.78791915	1.508790696	5.147616152	1.179382202	59	77.49224305	0	4.840380698		0	0.039863258	3.20465751	6.925822794	0.171348825	0.571089052	0	6.754589081	0
30		CS01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	33.51785243	25.28350651	22.23928422		0.050526991	0.085017242	0	0	0	0	18.82380694	0	0
29		CS01_03	PM10	7.263421549	3.04106487	10.18648259	1.136834854	214	69.26065087	0	2.895410545		0	0	6.679380685	0	0	0	0	11.71627492	9.44827795
31		CS01_03	PM10	29.83590082	6.16346078	21.60879274	1.245408969	766	52.1178484	0	9.988924861	21.95494622	0	0.159634557	2.593986131	4.625846073	1.365779713	0.549617363	0	6.643424183	0
33		CS01_03	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	86	56.92647099	0.882822089	0		6.764867157	6.410522014	25.48103631	0	0	0	0	3.534281254	0
36		CS01_03	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	18	22.77570367	0	0		0.937562902	1.783464104	5.10225296	20.86876482	20.70393413	22.36558199	3.831017762	0	1.631713472
34		CS01_03	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	81	53.44852209	0	10.65386683		1.726722531	12.38357127	8.170351386	10.15999392	0	0	1.891959459	1.040637866	0.524372933
35		CS01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	33	79.61261272	0	0		0.685204752	3.38560082	0	0	8.999411017	0	1.401051972	4.105713964	1.810401119
37		CS01_03	PM10	10.83925985	3.714966255	12.16489968	1.086444566	274	39.86958563	10.69102883	0		0	0	15.41985273	0.737339957	0	0	0	29.35042977	3.93175967
38		CS01_03	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	27	89.84943628	0	0		0	6.265282631	0.349868834	0.375329703	0.42230417	0.479959557	0.585203385	0.734022399	0.938592851
40		CS01_03	PM2.5	2.570133779	1.808976496	5.672706244	0.996357044	78	31.74982667	31.25048876	0		0	0	7.508535683	4.935799912	0	0	24.55534935	0	0
42		CS01_03	PM2.5	3.687583248	2.166835669	7.126033249	1.095832033	110	24.31370318	0	1.265661884		0.793983601	0.12346009	14.06868249	32.78990686	20.89713365	2.282098681	0	0.171972695	3.293395042
43		CS01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	6.538149714	34.96768177	0.663795089		0.067998056	0.107103074	0	0	1.754307747	0	55.90097308	0	0
41		CS01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	40	40.23555517	51.02364421	4.659071937		0	0	1.562537998	0.960768666	0.20783837	0.23622429	0.288486853	0.362337986	0.46353233
