Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CS02_01	PM2.5	0.782214628	0.997971241	4.328128958	1.905744114	38	45.27736902	0		1.208329573		0.007047347	1.110385079		8.629838377	36.98886931	6.104898825	0	0	0	0.673269248
2		CS02_01	PM2.5	1.117449469	1.192803778	4.590674005	1.50077349	62	34.476161	0		0		20.08500844	0		0	0	17.13602543	3.172571957	10.30449271	11.59064248	3.235102072
4		CS02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	24	0	14.40006942		11.07887551		0	0.026619801		1.65749304	0	0	15.24491161	46.71939611	10.64719334	0.225430867
3		CS02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	96.13872766	0		0		0.050720462	0.092242769		0.332934596	0.357740605	0.402910216	0.458634505	0.560519518	0.704110367	0.901463535
5		CS02_01	PM10	31.84730987	6.367829639	43.43508491	4.714099362	907	51.30651593	3.378133476		2.393044345	18.21610183	0.526082562	3.119359538		2.795713767	0	1.034180913	6.036718935	0.195762631	4.153444245	6.844951957
8		CS02_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	68	40.68693817	2.450947464		2.56426353		3.458116576	0		0.525130425	14.5480752	6.721181422	0	0	21.92960531	7.115741819
11		CS02_01	PM2.5	3.911073142	2.231531534	7.574225677	1.16726827	152	69.83159184	11.00550294		1.027720887		4.911490157	12.86090016		0	0	0	0	0	0	0.36278856
10		CS02_01	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	155	0	15.82628787		0		56.32495284	0		7.776409388	20.07235885	0	0	0	0	0
13		CS02_01	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	70	49.77656901	25.57575107		6.970658153		0	0		0	0	0	3.682212159	0	13.99480551	0
14		CS02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	47.16744125	45.99651396		0.194499851		0.019073048	5.223035067		0.126147119	0.135283929	0.152262521	0.172956497	0.210731709	0.264235702	0.337820267
15		CS02_01	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	60	40.9240067	2.501693368		0		5.13565205	7.045193017		19.66559738	3.499546275	0	6.052229926	0	13.48363459	1.692452841
17		CS02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	72.51702547	9.653583169		10.60269475		1.723010466	0.135158736		0.48283264	0.518155191	0.582933007	0.662867492	0.808806065	1.01487916	1.298063062
16		CS02_01	PM10	5.475502398	2.640383718	8.656257917	1.088996636	191	35.60970724	1.535113156		0.230422709		1.17727723	1.55586917		0	14.03100342	11.9765617	0	0	18.83724779	15.04680812
19		CS02_01	PM2.5	2.570133779	1.808976496	5.672706244	0.996357044	104	21.04417086	44.60282624		0		31.79947734	2.088163048		0.031375585	0	0	0.16340022	0	0	0.270579755
20		CS02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	58	0	0		22.87215889		29.65242565	0		5.319192633	0	0	20.16566545	14.56369162	4.887131602	2.539738454
23		CS02_01	PM2.5	3.575838301	2.133752265	6.754738484	1.015381726	146	26.56877637	0	22.47585803	1.077659335		35.1811558	0		0.885624159	0.472138915	0	0.574894296	5.090043694	1.192568615	6.481283158
25		CS02_01	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	146	18.0595383	6.579648703		1.025577541		8.034648001	0.597227365	50.89362264	6.683684886	3.086348064	0	5.039703101	0	0	0
26		CS02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	79	0	47.56402671		0		39.62397575	0.98819565		2.969071642	2.82522589	1.563534886	4.173619673	0	0	0.292353006
29		CS02_01	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	28	24.18379039	0		10.0790441		0.006970458	0.01090601		10.79342291	17.2597602	26.7197907	0	5.192334205	3.142688796	2.611291967
27		CS02_01	PM10	21.11979496	5.18561068	19.18218321	1.386425405	601	72.1979022	1.084969379		0		0.271254918	2.002517134		1.088855416	8.187464625	4.44194451	7.900193334	2.824904397	0	0
30		CS02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	41	80.08598089	0		0		3.855337203	0.040475078		0	0	0	0	0	16.01820439	0
31		CS02_01	PM2.5	3.24060346	2.03127164	6.754738484	1.120421215	137	40.14983773	13.34456056		1.321513392		0	21.75739408		0	0	12.58806437	10.8386308	0	0	0
32		CS02_01	PM2.5	1.005704522	1.131593022	3.771186811	1.125319451	47	24.47033077	38.24424744		5.555879325		12.06707135	5.616435036		12.76493371	0	0	0	1.281095855	0	0
33		CS02_01	PM2.5	4.469797876	2.385607556	11.08286744	2.186787229	147	68.46891642	0		0		0	4.634939134		3.581138328	5.554371327	0	0	13.6322841	4.12835218	0
35		CS02_01	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	38	44.6004957	40.00190496		8.165833354		0.012181036	0.021482035		0	3.085900284	3.703859448	0	0.408345507	0	0
36		CS02_01	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	64	79.11019325	0		5.589666218		0	6.229213625		0	0.754457107	0	0	0	1.949041709	6.367429346
37		CS02_01	PM10	7.93389123	3.178324096	10.37212997	1.079045589	266	50.10550618	5.306548253		11.19475663		8.721861243	6.391720474		5.963697657	3.799406067	2.3949489	6.121557206	0	0	0
38		CS02_01	PM2.5	4.69328777	2.444520318	8.918802963	1.348733333	188	17.56690145	22.05587327		0		25.92153549	1.126950141		0	1.422564592	10.51399633	4.912568256	8.953727037	7.52588734	0
39		CS02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	10.26707366	24.23535436		0.057171565		0.020988173	0.032364597		0	0	5.804991722	0	0.602516206	39.78837132	19.19117123
41		CS02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	28	16.60382003	11.21154502		0		1.094786264	0		60.00632048	0	0	11.08351946	0	0	0
40		CS02_01	PM10	9.38657554	3.457073787	21.35944124	3.867788622	361	31.47828281	36.26550734		2.021869831		23.06514531	0		0	0	0	0	5.426966399	0	1.742220856
42		CS02_01	PM10	7.59865639	3.110451704	11.45416221	1.373978661	288	70.6846416	16.49986655		0		0.774904154	1.17578702		0	0	0	0	0	10.86479723	0
