Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CS02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	12	0	15.25050402	0	0.119676266	0.037399109	0	0	0	0	0	15.3545022	69.2379117
3		CS02_02	PM2.5	1.676174204	1.46088031	7.126033249	2.410830472	89	25.5362004	0	0	0	29.70552742	13.27999532	9.266424924	0	0	5.500122905	16.71172231	0
5		CS02_02	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	33	19.06467378	0.818811636	14.19486254	0	11.08798385	0	0	0	0	0	9.820477664	45.0131923
4		CS02_02	PM10	15.08556783	4.38264093	15.59664378	1.283189451	501	58.66368413	0	2.319102921	1.212050859	34.53852832	0	0.666418765	2.377849631	0.222368236	0	0	0
2		CS02_02	PM10	13.07415879	4.080016665	19.81602302	2.390063156	457	43.37022305	3.020082973	0.866487343	0.859925244	30.77204227	2.169691399	3.57738547	3.088482842	0	0	1.91088412	10.3647925
7		CS02_02	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	85	17.02771634	25.50756931	7.409460098	23.5558182	0	11.2929374	0.827817246	0	14.37867284	0	0	0
6		CS02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	28.53314877	0	0	2.817509882	0	29.70596552	7.051844895	0	31.89153671	0	0	0
9		CS02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	0	23.07617813	0	1.325613353	19.9147135	24.3653208	0	4.071281105	27.24689543	0	0	0
11		CS02_02	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	28	4.035456851	38.11309934	2.963522635	11.54710799	0.249570818	37.11327314	0	0	5.977966264	0	0	0
12		CS02_02	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	48	74.90569353	0	3.212808445	0	20.96444964	0.202074694	0.076688762	0.086095295	0.09753601	0.118323404	0.147850683	0.188478176
13		CS02_02	PM2.5	4.469797876	2.385607556	8.995700627	1.44069563	163	40.49087465	8.152322471	0	0	7.965489477	0	5.64304702	13.28096688	9.060722589	11.51418686	0	3.892393038
