Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Cl Wt%	Ca Wt%	Zn Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CS02_03	PM2.5	2.011409044	1.600314199	5.93525129	1.393695698	98	42.8502053	33.68972242		2.257741988	0	0		2.765288018	4.664320499	0.205820869	0	12.61969954	0	0.947204418
3		CS02_03	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	45	37.73586452	16.4007768		0	9.090279043	1.973136701		7.986908406	10.82678884	10.24743691	0	1.480401121	2.349281311	1.909128763
8		CS02_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	58	10.68603173	0		5.22432439	9.709904343	2.62427479		0	3.431617469	15.77860564	7.140307128	0	38.35406005	7.050871849
5		CS02_03	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	62	56.44555092	31.23930097		6.354087591	3.169286624	2.206175961		0	0	0.151777209	0.115827273	0.141060771	0.176932977	0
7		CS02_03	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	37	0	14.05037493		0	83.89955759	0.056756113		0.186745834	0.198214129	0.221067388	0.248966296	0.298941298	0.370445289	0.468937401
6		CS02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	93.60586405	0		0	0.084776815	0.153134612		0.551201403	0.592315942	0.666728849	0.759201497	0.92815822	1.165961381	1.492654998
4		CS02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	48	78.80125642	0		1.046804152	9.593083709	0		0	0	0	0	10.55886373	0	0
9		CS02_03	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	140	18.36741716	0	30.97405434	2.222832665	35.00041664	0		2.745143883	0.260799052	0.160273374	2.315157279	7.953909785	0	0
10		CS02_03	PM2.5	4.581542823	2.415243569	8.022418106	1.117864001	227	0.578258792	0		1.162826177	28.30858827	0	47.68766165	5.120256171	6.396161765	9.109182656	0.790016446	0.797663815	0.049398275	0
14		CS02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	37	14.61725086	47.18559384		0	28.13298106	7.030466944		0	0	1.077154838	0	0.488516409	0.915986951	0.552047463
18		CS02_03	PM2.5	4.581542823	2.415243569	8.547508198	1.268987774	156	52.93302536	15.78094363		4.849560186	0.427240785	18.39832962		2.760620043	1.089526992	0	0	2.928694896	0.832063332	0
17		CS02_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	39	0	43.05777848		0	0	0.236358494		43.4055537	13.30030411	0	0	0	0	0
19		CS02_03	PM2.5	4.022818089	2.263186044	8.470610535	1.419348914	144	27.47370303	1.71188619		0	1.015898492	12.84781694		2.438836358	9.89741534	20.8932817	0	11.95805818	4.568224028	7.194871455
20		CS02_03	PM2.5	3.017113566	1.959976608	6.492193438	1.111684066	114	56.69263601	9.127506614		0.926214736	0	26.07609034		0	0	0	6.426914036	0	0	0.750641292
21		CS02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	30	67.6902771	0		0	31.34092689	0.033106602		0.508996658	0.426695496	0	0	0	0	0
22		CS02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	12	45.24374604	15.77320993		0	0	0.077162683		25.46392977	11.86749637	0	1.574454829	0	0	0
23		CS02_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	49	25.2830267	57.77477026		4.418619722	2.742974274	1.106678788		0	0	0	0	0.274664978	8.399271965	0
24		CS02_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	50	40.96986949	0.80181798		0	1.559103653	0		5.59480004	9.752330929	24.33520257	3.718220815	5.833680183	3.147312999	4.287652299
