Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		CS03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	22	68.32216382	0		0		0.020891421		15.76756686		0	0	0	0	0	0	15.88938385
6		CS03_01	PM2.5	4.69328777	2.444520318	13.44577286	3.065381223	217	31.70789778	0		12.78835833	34.70553458	0		3.070760891		0	0	1.236424968	2.44362168	2.689222246	11.05515733	0.303017767
1		CS03_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	13	0	1.210443303		15.91994017		0		0.022444635		0	0	0	0	0	14.04721737	68.79995465
3		CS03_01	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	58	58.73960257	0		8.527579159		5.501316115		0		0	0	0	0	5.571720377	8.754011989	12.9057765
2		CS03_01	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	98	41.44513607	38.40035498		9.294330329		1.265557855		4.076903686		1.749258116	3.564865515	0	0	0	0	0.203588209
5		CS03_01	PM10	64.47683436	9.060599055	57.0533116	4.017428393	1586	76.36443377	0		10.71943492		0.280702184		6.894635409		0	0	5.740784854	0	0	0	0
8		CS03_01	PM10	14.3033532	4.267504531	22.58207526	2.837134819	492	63.97536397	4.079342261		5.686203018	14.99673724	0		9.46604237		1.241026353	0	0.555285159	0	0	0	0
10		CS03_01	PM10	6.816441761	2.946008012	10.18648259	1.211381401	181	57.73940682	5.791879445		3.59005332		6.511139125		0		0.165335042	0	0	0	0	16.20056331	10.00163257
9		CS03_01	PM2.5	2.234898938	1.68687928	6.492193438	1.50077349	76	47.94045091	0		17.46751219		0		10.27637273		20.07086575	0	0	0	0	0	4.244797677
11		CS03_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	30	89.90759254	0		8.679933846		0.015049423		0.027187343		0.097930734	0.105253886	0.118593592	0.134772295	0.913682859	0	0
13		CS03_01	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	47	34.33684707	0		0		7.216395438		7.362356782		11.88118011	15.92481285	14.93479162	0	2.142684907	3.416055441	2.784885094
14		CS03_01	PM2.5	3.799328195	2.199421492	8.284963152	1.43768747	158	68.49448681	14.05203789		6.950194389		3.745185956		3.478012234		0	0	1.01410225	0	0	2.265977114	0
