Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Mn Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		CS03_02	PM10	7.151676602	3.017581393	11.00596978	1.347841737	358	17.7690804	1.607622206	23.29948992	0			32.95037448	0			0	0	5.307166278	7.280450314	0	4.817892984	6.96791485
1		CS03_02	PM10	10.50402501	3.657067134	12.53619445	1.190599864	362	8.316881955	0	26.99458301	1.106084604			40.85851014	0			0	0	0	0	14.52280581	2.512022667	5.689118057
4		CS03_02	PM10	6.928186708	2.970057456	10.26338025	1.209905335	181	35.38603485	15.21954387	21.90055847	1.041070465			1.650510542	1.9416444			2.673329599	8.064677566	6.572636217	0	1.152745821	0.064801186	4.332460463
7		CS03_02	PM10	6.369461974	2.847779989	9.629540438	1.158506592	308	22.59815782	0	28.36691737	0			36.67936325	2.629444376			0	1.400761493	0	0	7.308619469	1.016734447	0
10		CS03_02	PM2.5	4.469797876	2.385607556	8.022418106	1.145810601	138	61.39884591	4.136897996		20.29629648			14.16795701	0			0	0	0	0	0	0	0
11		CS03_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	70	55.39460182	37.0847255		4.055572301			2.650847286	0			0.073230837	0.078582461	0.088502275	0.100575364	0.122638629	0.153879728	0.19684732
12		CS03_02	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	64	54.06275392	0		11.0649474			0	6.283096224			5.642407387	13.99542838	0	0	0	8.951362967	0
13		CS03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	18	74.64920282	18.18867326		0.015324408			5.132222921	0.049215823			0.176675792	0.189616322	0.213507027	0.242705783	0.296058715	0.37151936	0.475280872
16		CS03_02	PM2.5	1.229194416	1.251023157	6.460341383	2.701969816	72	58.97180438	30.35541475		10.13608351			0	0.01310221			0.0470842	0.050526351	0.056911079	0.064673013	0.078859885	0.098953478	0.126590813
15		CS03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	11	0	84.99889374		0			9.068676829	0.147766771			0.522704376	0.560201751	0.629616622	0.715107471	0.870952103	1.091498975	1.394573599
14		CS03_02	PM10	16.76174204	4.619709168	18.65709312	1.652566489	754	47.71181047	1.515178382		0.242889626	39.26789761		1.045257133	0.024212558			2.644631267	0	0	0	7.289634645	0	0.258482411
17		CS03_02	PM10	18.1026814	4.800942597	20.5267605	1.85220076	542	67.8732574	1.201716717		6.207115576			0	17.23475158			0	0	0	5.139371008	0	0	2.343777195
19		CS03_02	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	74	30.84357083	0		20.56924701			0.006260753	0.132964202			2.42699869	32.04585016	12.41486669	0	0	0	1.560239866
18		CS03_02	PM10	15.19731278	4.398842985	14.88590631	1.16030963	602	10.75043529	0	36.31695509	0.020154056			42.37647057	1.579273306			2.437771112	0	0	0.296703679	6.222244725	0	0
20		CS03_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	37	34.40415561	27.07566023		0.048357152			16.98311269	0.462606642			0	0	13.50296289	7.523148507	0	0	0
21		CS03_02	PM2.5	4.581542823	2.415243569	7.836770723	1.066725477	178	0	24.38611537		0			59.10440683	0.058683858			0	0	0	3.384409472	5.03042303	3.651108593	4.384854808
24		CS03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	40	0	39.16297853		0			9.452313185	0.024111911			3.220895678	11.56834811	1.615441777	0	0	16.62598401	18.32992285
23		CS03_02	PM10	11.06274974	3.75306947	16.49302864	1.956716351	573	21.6549471	4.668784142	28.27962637	0.895187631			34.82590616	1.504834648			0	2.974159829	2.790041082	0	2.212059684	0	0.194463239
22		CS03_02	PM2.5	2.346643885	1.728536893	7.990566051	2.165200104	104	49.23154712	0		1.815889962			0	0			4.236994684	7.114869356	15.4909119	1.823931746	2.860517986	13.68196458	3.74337025
26		CS03_02	PM2.5	3.352348407	2.065996747	6.754738484	1.083073842	183	44.65554953	17.2569856		4.787063971			0	6.399857253			0	0	6.04608655	0	0	4.070293158	16.78416133
27		CS03_02	PM10	5.698992292	2.693730193	11.34541249	1.797349963	176	51.25318766	4.186445847		5.813674256			0	1.800149679			0	0.110074901	6.399615109	3.443505615	0	0	26.99334025
28		CS03_02	PM2.5	2.458388832	1.769213915	6.044001009	1.18246588	80	53.15354466	0		7.274447381			7.433787733	0.007032217			0	0	9.386669099	22.7445215	0	0	0
30		CS03_02	PM2.5	3.128858513	1.995942481	6.492193438	1.071981064	110	0	38.56144547		0			50.04357696	5.66803813			0	0	0	0	0	1.595243998	4.131699353
29		CS03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	34.31745768	40.82921445		0.767527847			0	13.62734735			1.499281917	1.837313548	0	0	0	7.121862471	0
31		CS03_02	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	122	51.99898481	0		0	27.04202831		0.283491914	0.036540721			2.744685672	0	0	0.79712728	0.504438626	0	16.59270972
32		CS03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	68	18.99341345	10.93084961		0			1.958143339	0.984983705			0	2.180806175	22.48655558	36.55124009	0	5.914003029	0
33		CS03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	18	32.06976652	32.83506036		0			33.39470029	0			0	0	0.681577809	0.172309577	0.256216014	0.2691417	0.321230991
34		CS03_02	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	110	3.125949204	22.13663906		0			41.68352783	1.043374743			0	0	19.81142461	5.752173439	1.593037322	4.853871092	0
