Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		DI01_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	45	60.59929132	12.37462908	0	5.104628205	12.56724	5.969405919	2.898492664	0	0.357138575	0	0	0.129185012
3		DI01_02	PM2.5	4.022818089	2.263186044	8.547508198	1.445236075	113	16.92422181	16.87383652	2.697342634	19.83008236	1.14865955	8.742464334	24.49417859	0	0	1.652197726	6.273709238	1.363311242
4		DI01_02	PM2.5	1.340939363	1.306651072	6.229648392	2.303074925	73	59.59383249	0	0.769277848	0.580078224	34.36611891	0	0	0	0	0	4.690689594	0
6		DI01_02	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	72	48.49555492	0	0	5.258965865	3.173594922	0.72551514	2.13241335	17.49424189	16.74638987	4.439074546	0.050631975	1.483621541
5		DI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	24.89302754	40.54664373	0	0.512462854	0.859642867	2.999307029	3.214754537	3.601179272	4.0948838	4.994857684	6.270285696	8.012958616
7		DI01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	16.95415676	21.70985341	0.119695195	7.814508677	0.078465178	25.10870993	0	0	0	4.266794771	23.94781411	0
8		DI01_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	57	39.43389356	23.32815677	1.933645271	0	0.767249288	0	0	5.793931708	2.58531291	15.71812332	0	10.43968052
9		DI01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	28	56.34672046	0	0	7.447659224	7.937730104	0.647624163	0	0	12.0438382	9.643109888	5.933310837	0
10		DI01_02	PM2.5	2.123153991	1.644166543	5.147616152	0.99316396	84	68.2238996	0	0	1.955291629	3.589883447	0	26.00391805	0	0	0	0	0.227003312
12		DI01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	37	18.877846	21.22672796	1.387935504	15.50359875	0	7.092283666	30.33574522	5.028245598	0	0	0	0.547623215
13		DI01_02	PM2.5	2.234898938	1.68687928	5.858353627	1.22203435	80	30.76075613	17.24670678	0	13.37874979	13.96057308	6.210890412	12.11933345	6.322986633	0	0	0	0
14		DI01_02	PM2.5	1.78791915	1.508790696	6.120898673	1.6675261	48	33.35700631	16.07877761	0.451884093	11.91397458	6.965439767	0	0	10.034886	0	8.867058903	0	12.33097985
15		DI01_02	PM2.5	2.570133779	1.808976496	7.311680631	1.65526996	106	57.06888437	22.82084227	12.51086146	1.177001186	1.898868009	0	0	0	0	0.67263525	3.850909695	0
17		DI01_02	PM2.5	4.69328777	2.444520318	8.022418106	1.091248192	148	79.61332798	0	1.268723514	4.787347838	4.177524149	0	0	0	2.498992905	0	1.828435995	5.825649574
18		DI01_02	PM10	9.051340699	3.394779067	11.71670725	1.206947506	312	62.01840639	3.896002844	0.143556087	0.520562148	33.4214747	0	0	0	0	0	0	0
