Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		DI01_03	PM2.5	2.011409044	1.600314199	4.96196877	0.974087097	65	57.57375956	8.97725597	1.041387953		0		13.00212145	0	0	8.905994147	3.087517805	0	7.411959767	0
3		DI01_03	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	40	36.0044837	29.4293046	0		0.532441307		2.01114323	15.42353481	16.59909487	0	0	0	0	0
2		DI01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	45.59822381	42.37709641	7.990056276		0		0.098826899	0.353804673	0.379730668	0.427358178	0.485949172	0.592961954	0.744112674	0.951871555
5		DI01_03	PM2.5	1.564429257	1.411344463	6.306546055	2.0231	67	46.41244709	0	32.90282488		0		0.017995673	0	0	0	20.66673338	0	0	0
4		DI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	8.5077703	39.31631148	19.45031881		0.053118559		0.086861808	14.13629055	0	0	0	0	18.44932884	0
6		DI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	63.96175027	24.13177043	3.914235532		0		0.195510779	0.699686818	0.751385838	0.845222175	0.961963553	1.175117213	1.475440618	1.887913421
7		DI01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	28.62261534	0	16.10237956		0		25.75793266	9.220150858	4.611188546	2.801197395	12.88453788	0	0	0
10		DI01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	47	15.20404369	24.98966455	3.641656414		0.008913816		0.763702346	0	0.049368455	1.120746788	0.257145986	4.170377553	0	49.79438484
12		DI01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	37	36.40335798	0	2.797633596		1.776762493		0	49.78732765	0	0	9.234920144	0	0	0
8		DI01_03	PM10	6.14597208	2.79737282	9.290097728	1.117480924	253	29.8656404	12.23398522	2.070997283	28.26627791	0		1.509943791	2.945086546	5.467136949	13.07402849	2.611214481	0	0	1.955694333
11		DI01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	29	13.6853531	4.347030073	0		0.999899115		0	45.60495615	32.25913048	0	3.103628941	0	0	0
9		DI01_03	PM10	9.833555328	3.53842783	11.71670725	1.110940318	396	42.96532571	3.962721303	1.458017342	30.01489639	1.45790847		1.186034083	3.753243759	6.30691126	2.569463663	1.60008017	2.672810853	2.052590623	0
13		DI01_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	48	92.14279652	0	0		4.916457832		0	0	0.93984073	1.132006198	0.152080413	0.185453903	0.233073928	0.298291887
15		DI01_03	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	54	44.92804408	2.48019062	5.480390042		8.337043226		22.33528048	0.298919063	0	0	0	0	5.998300388	10.14183313
17		DI01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	58.22966099	0	17.89378226		22.0869109		0.045481068	0.158832211	0.169864064	0.190725457	0.216149911	0.262351031	0.32797656	0.418267446
14		DI01_03	PM10	47.26811254	7.757810908	27.94719085	1.314916565	1399	51.44650936	4.76337187	12.75915354	19.62551177	0	7.09425807	0	0	0.341604347	1.480753627	2.488839813	0	0	0
16		DI01_03	PM2.5	0.893959575	1.066876133	3.956834194	1.393695698	45	30.87108731	6.396170706	0		1.41995661		0.082439382	0	5.418033898	11.03652492	22.28742093	4.248338193	0	18.24002564
18		DI01_03	PM10	7.59865639	3.110451704	11.63980959	1.418878087	302	49.6887058	3.965468705	5.002851784	25.28418005	0.581373321		0	7.376657426	4.265178367	0	0	3.835585341	0	0
22		DI01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	12.93488741	72.42104411	0		0		0.377647718	0	0	0	11.45383716	0	2.812588215	0
23		DI01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	12.06923798	62.61139512	0.545015419		0.031557359		0.053291948	0	0	5.995026603	0	0	0	18.69446486
21		DI01_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	65	75.78338385	0	0		15.9364596		7.62353465	0.485236757	0.171380339	0	0	0	0	0
19		DI01_03	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	73	46.98296785	0	0		5.739381164		4.362852126	0	0	11.38526499	10.87314785	5.658011511	5.092562363	9.905809909
