Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		DI02_01	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	86	30.91938198	0			0		2.483670786		25.2032131	0	0	7.676637918	16.03308916	0	15.15644491	2.52756495
3		DI02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	37	65.84819555	0			9.512180835		0.037901523		11.86281368	0	0	0	12.7389133	0	0	0
6		DI02_01	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	103	72.77638316	3.990769386			1.393024158		8.392693102		9.829547256	0.979456306	1.440222282	0.151000929	0	0.057380507	0.682321982	0.307208672
4		DI02_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	34	0	24.46304411			3.388963267		1.945283078		7.387747616	0	0	39.16876018	10.45602858	13.19018304	0	0
2		DI02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	46	82.37238526	0			0.513573317		0.006163432		16.46423638	0.163875625	0	0	0.070479058	0.409288425	0	0
7		DI02_01	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	100	58.95139575	0.097552995			4.706839472		0.061831571		27.34585404	0	0	0	4.01058495	1.362131909	0.090289529	3.373511881
5		DI02_01	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	67	18.80571395	0			1.827023551		0.422312971		0.221725483	0	0.946256332	0	34.53322053	0	34.88801718	8.355736732
8		DI02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	17.32369065	42.76014864			0.784310605		0.017835945		0	0	0	0	0	26.99761391	0	12.11640835
9		DI02_01	PM2.5	3.24060346	2.03127164	10.07773287	2.493962557	105	0	5.839410424			27.10521519		3.214703128		28.19562554	0	1.562459394	0	0	21.64072543	12.44186237	0
10		DI02_01	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	180	58.45529437	3.387036175			0.79041943		2.593316324		31.62103891	0	0	0	3.152892739	0	0	0
11		DI02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	34	0	14.62542415			20.21074742		0.321287429		6.126391143	0	0	0.941813737	0	0	57.77432919	0
14		DI02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	37	84.76493955	0			15.23506641		0		0	0	0	0	0	0	0	0
17		DI02_01	PM2.5	1.117449469	1.192803778	4.065583912	1.177085747	30	66.48572087	0			14.43638057		0.016676956		0	0	0	0	19.0612182	0	0	0
20		DI02_01	PM2.5	1.676174204	1.46088031	6.940385866	2.286852831	60	25.22068322	15.17304927			3.26253362		0		4.866919294	10.58919877	0.890277419	0	11.24306545	0	8.42076987	20.33351064
19		DI02_01	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	25	81.5939486	0			0		16.86869562		0.038193766	0.135542103	0.145240617	0.163356785	0.185430981	0.225673779	0.282724877	0.361198443
21		DI02_01	PM2.5	1.005704522	1.131593022	3.87993653	1.191156913	46	31.06532097	14.27344084			36.0136956		2.848025411		15.79951495	0	0	0	0	0	0	0
23		DI02_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	53	34.87971723	18.66659671			27.81031728		2.442800999		1.822225936	0	0	2.318045869	9.219773859	0	2.840517089	0
22		DI02_01	PM2.5	4.246307982	2.325202624	10.07773287	1.903287215	163	62.79020309	7.06006363			4.826338589		6.82727173		0	6.87245056	4.605716094	0	1.614091173	2.059783787	3.344093636	0
24		DI02_01	PM2.5	3.128858513	1.995942481	6.940385866	1.225099731	105	44.3868041	16.77002162			0		21.2462768		0	5.42033501	12.17655391	0	0	0	0	0
27		DI02_01	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	29	27.74471641	66.34867191			1.388833206		0.021509026		0	3.382481262	0	0	0.509613473	0.231849798	0	0.372329191
28		DI02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	10.4106456	21.87755257			0.154717779		0.010841838		0.096745678	0.693855388	1.398660429	0.800966099	0.411621435	0	54.3328166	9.811581671
32		DI02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	84.73527431	0			13.41760159		0.074771751		0.04328014	0.155419915	0.166805962	0.1878371	0.213522557	0.260461541	0.326860021	0.418165512
30		DI02_01	PM2.5	1.229194416	1.251023157	6.863488203	3.049715594	76	35.52843332	0			6.508295983		0		11.04659811	0	0	6.57671541	39.53245282	0.807507336	0	0
34		DI02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	10	11.10381335	0			19.9845016		0		2.859983221	0	0	0	52.09813118	0	13.95356953	0
37		DI02_01	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	63	51.69041753	0			4.240795597		0		0.008373726	1.013399847	0	0	0	13.64317685	5.066342652	24.33749884
35		DI02_01	PM2.5	1.229194416	1.251023157	5.826501571	2.197785446	44	29.98047471	23.74887913			0		0.013355847		0.021616212	0	0	0	11.84367314	4.58753854	1.149127353	28.65533531
36		DI02_01	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	44	43.00868809	34.12579298			0		3.610331193		9.182027727	0	0	0	3.522476181	4.268781096	2.281911671	0
38		DI02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	20	19.00217235	0			1.208065636		0.006480194		0.019729989	0	10.67001745	16.42964035	24.10324365	17.83005595	0	10.73061004
39		DI02_01	PM10	11.17449469	3.771976741	12.61309211	1.132936	333	44.12673712	9.439010173			2.84224432	27.95757651	0		4.200494662	0	2.538227104	2.655663155	1.41394604	3.034247831	0	1.791853458
42		DI02_01	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	82	68.52462292	8.889724314			1.805401035		5.15496023		4.364793375	1.164082531	0	0	6.83862716	0	3.257793933	0
